"station","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"29P",1990,0.02,0.06,0.05,0.09,0.09,0.1,1.34,0.07,0.09,0.13,0,0,2.04
"29P",1991,0.55,0.41,1.23,0,0,0,0.43,0.24,0.76,0.07,0,1.06,4.75
"29P",1992,0.23,2.23,2.03,0.17,0.1,0,0.07,1.23,0,0.3,0,1.01,7.37
"29P",1993,2.63,0.95,0.14,0,0.02,0.05,0,0.02,0,0.04,0.25,0.24,4.34
"29P",1994,0.15,0.47,0.5,0,0.31,0,0,1.06,0.2,0,0.16,0.88,3.73
"29P",1995,2.13,0.86,0.29,0.18,0,0,0.07,0.03,0.13,0,0,0,3.69
"29P",1996,0.05,0.3,0.12,0,0.02,0,0.49,0.37,0,0.03,0.25,0.06,1.69
"29P",1997,0.51,0.01,0,0.38,0.64,0.01,1.05,1.34,3.96,0,0.17,0.47,8.54
"29P",1998,0.25,1.25,0.82,0.01,0.03,0,0.65,0,0.28,0.04,0.03,0.15,3.51
"29P",1999,0.03,0.4,0,1.37,0.02,0.02,1.11,0.03,0.39,0,0,0,3.37
"29P",2000,0.02,0.33,0.16,0,0,0,0,2.28,0.03,0.47,0,0,3.29
"29P",2001,0.86,1.33,0.29,0,0,0,0.6,0,0,0,0.01,0.46,3.55
"29P",2002,0,0,0.12,0.14,0,0,0,0,0.02,0,0.3,0,0.58
"29P",2003,0.18,0.93,0.24,0,0,0,0.09,3.66,0.5,0,1.02,0.29,6.91
"29P",2004,0.14,0.92,0.76,0.42,0,0,0,1.02,0.07,0.38,1.32,2.13,7.16
"29P",2005,1.14,3.19,0.06,0,0,0,2.77,2.07,0.18,0.47,0,0,9.88
"29P",2006,0.01,0.02,0.04,0.13,NA,NA,NA,NA,NA,0.07,0,0.04,0.31
"29P",2007,0.02,0.01,0.09,0.25,0,0,0.02,1.06,0.52,0,0.28,1.3,3.55
"29P",2008,1.02,0.13,0,0,0.02,0,0.72,0.96,0.14,0,0,1.3,4.29
"29P",2009,0,0.51,0,0.02,0,0,0,0.01,0,0,0.05,0.74,1.33
"29P",2010,1.01,0.34,0.8,0.02,0.02,0,0.05,0,0,0.75,0,0.77,3.76
"29P",2011,0,0.5,0.12,0.02,0,0,0.53,0,0.2,0,0.15,0.11,1.63
"29P",2012,0,0.45,0.04,0,0,0,0.11,0.8,0,0,0,0.03,1.43
"29P",2013,0.07,0,0,0,0,0,0.24,0.61,0.62,0,0.74,0.04,2.32
"29P",2014,0,0,0.23,0.03,0,0,2.25,0.81,NA,NA,NA,NA,3.32
"3RV",1990,2.57,2.95,2.48,0.55,2.98,0,0,0,0.38,0.03,1.28,0.51,13.73
"3RV",1991,1.16,0.65,12.66,0.59,0.42,0,0,0,0.08,1.71,0.75,2.14,20.16
"3RV",1992,1.87,4.99,4.36,0,0.14,0.01,1.98,0,0,3.37,0,4.95,21.67
"3RV",1993,7.87,5.96,4.99,0.43,0.59,1.58,0,0,0,0.68,2.79,2.24,27.13
