'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TWENTYNINE PALMS (29P), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:34
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
29P,2,1990,,0.02,0.06,0.05,0.09,0.09,0.10,1.34,0.07,0.09,0.13,0.00,0.00
29P,2,1991,,0.55,0.41,1.23,0.00,0.00,0.00,0.43,0.24,0.76,0.07,0.00,1.06
29P,2,1992,,0.23,2.23,2.03,0.17,0.10,0.00,0.07,1.23,0.00,0.30,0.00,1.01
29P,2,1993,,2.63,0.95,0.14,0.00,0.02,0.05,0.00,0.02,0.00,0.04,0.25,0.24
29P,2,1994,,0.15,0.47,0.50,0.00,0.31,0.00,0.00,1.06,0.20,0.00,0.16,0.88
29P,2,1995,,2.13,0.86,0.29,0.18,0.00,0.00,0.07,0.03,0.13,0.00,0.00,0.00
29P,2,1996,,0.05,0.30,0.12,0.00,0.02,0.00,0.49,0.37,0.00,0.03,0.25,0.06
29P,2,1997,,0.51,0.01,0.00,0.38,0.64,0.01,1.05,1.34,3.96,0.00,0.17,0.47
29P,2,1998,,0.25,1.25,0.82,0.01,0.03,0.00,0.65,0.00,0.28,0.04,0.03,0.15
29P,2,1999,,0.03,0.40,0.00,1.37,0.02,0.02,1.11,0.03,0.39,0.00,0.00,0.00
29P,2,2000,,0.02,0.33,0.16,0.00,0.00,0.00,0.00,2.28,0.03,0.47,0.00,0.00
29P,2,2001,,0.86,1.33,0.29,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.01,0.46
29P,2,2002,,0.00,0.00,0.12,0.14,0.00,0.00,0.00,0.00,0.02,0.00,0.30,0.00
29P,2,2003,,0.18,0.93,0.24,0.00,0.00,0.00,0.09,3.66,0.50,0.00,1.02,0.29
29P,2,2004,,0.14,0.92,0.76,0.42,0.00,0.00,0.00,1.02,0.07,0.38,1.32,2.13
29P,2,2005,,1.14,3.19,0.06,0.00,0.00,0.00,2.77,2.07,0.18,0.47,0.00,0.00
29P,2,2006,,0.01,0.02,0.04,0.13,m,m,m,m,m,0.07,0.00,0.04
29P,2,2007,,0.02,0.01,0.09,0.25,0.00,0.00,0.02,1.06,0.52,0.00,0.28,1.30
29P,2,2008,,1.02,0.13,0.00,0.00,0.02,0.00,0.72,0.96,0.14,0.00,0.00,1.30
29P,2,2009,,0.00,0.51,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.74
29P,2,2010,,1.01,0.34,0.80,0.02,0.02,0.00,0.05,0.00,0.00,0.75,0.00,0.77
29P,2,2011,,0.00,0.50,0.12,0.02,0.00,0.00,0.53,0.00,0.20,0.00,0.15,0.11
29P,2,2012,,0.00,0.45,0.04,0.00,0.00,0.00,0.11,0.80,0.00,0.00,0.00,0.03
29P,2,2013,,0.07,0.00,0.00,0.00,0.00,0.00,0.24,0.61,0.62,0.00,0.74,0.04
29P,2,2014,,0.00,0.00,0.23,0.03,0.00,0.00,2.25,0.81,m,m,m,m
29P,2,,
'End of Data
