'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station THREE RIVERS PH NO 1 (3RV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:45
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
3RV,2,1990,,2.57,2.95,2.48,0.55,2.98,0.00,0.00,0.00,0.38,0.03,1.28,0.51
3RV,2,1991,,1.16,0.65,12.66,0.59,0.42,0.00,0.00,0.00,0.08,1.71,0.75,2.14
3RV,2,1992,,1.87,4.99,4.36,0.00,0.14,0.01,1.98,0.00,0.00,3.37,0.00,4.95
3RV,2,1993,,7.87,5.96,4.99,0.43,0.59,1.58,0.00,0.00,0.00,0.68,2.79,2.24
3RV,2,1994,,1.73,4.86,0.97,2.40,0.79,0.00,0.00,0.00,0.47,1.19,3.37,2.46
3RV,2,1995,,9.25,1.74,11.63,2.37,4.45,0.95,0.00,0.00,0.00,0.00,0.02,3.19
3RV,2,1996,,6.05,6.88,3.23,2.21,0.75,0.00,0.00,0.00,0.00,1.29,7.07,8.98
3RV,2,1997,,12.11,0.60,0.77,0.04,0.00,0.00,0.12,0.00,0.65,0.82,2.51,3.08
3RV,2,1998,,6.94,10.24,5.90,5.74,3.17,2.29,0.00,0.00,0.12,0.61,1.39,1.86
3RV,2,1999,,5.64,3.58,1.36,2.02,0.19,0.00,0.00,0.00,0.12,0.00,1.66,0.01
3RV,2,2000,,5.61,9.89,2.89,1.99,0.78,0.49,0.00,0.00,0.18,3.55,0.55,0.42
3RV,2,2001,,4.12,4.26,0.67,4.78,0.00,0.00,0.12,0.00,0.00,0.66,4.22,6.42
3RV,2,2002,,2.12,0.77,3.08,0.57,0.63,0.00,0.00,0.00,0.00,0.02,5.17,4.43
3RV,2,2003,,0.16,2.83,1.69,4.86,1.98,0.00,0.12,0.11,0.10,0.00,1.20,4.93
3RV,2,2004,,1.70,3.84,0.96,0.17,0.01,0.00,0.00,0.00,0.00,2.45,2.07,4.32
3RV,2,2005,,3.25,2.21,4.74,1.40,3.64,0.00,0.00,0.03,0.21,0.36,0.21,5.60
3RV,2,2006,,6.69,1.63,7.27,6.00,0.72,0.00,0.08,0.00,0.00,0.21,0.32,3.44
3RV,2,2007,,0.92,4.91,1.53,1.35,0.06,0.00,0.00,0.03,0.85,1.29,0.48,4.88
3RV,2,2008,,5.70,5.24,0.46,0.00,1.49,0.00,0.00,0.00,0.00,0.18,2.42,2.99
3RV,2,2009,,0.65,4.28,1.35,1.07,0.62,1.05,0.00,0.03,0.00,3.01,0.33,4.75
3RV,2,2010,,4.80,6.34,2.75,5.28,0.21,0.00,0.02,0.00,0.00,1.01,4.07,12.27
3RV,2,2011,,2.01,3.11,6.64,0.84,1.39,0.86,0.15,0.00,0.00,0.33,1.44,0.00
3RV,2,2012,,3.64,0.53,4.52,5.35,0.07,0.00,0.00,0.00,0.00,0.63,1.21,5.77
3RV,2,2013,,1.85,1.18,1.10,0.25,0.27,0.00,0.17,0.06,0.02,0.32,0.47,0.52
3RV,2,2014,,0.50,2.82,1.49,2.48,0.47,0.00,0.00,0.00,0.88,m,m,m
3RV,2,,
'End of Data
