'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station AUBERRY 2 NW (ABR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:48
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ABR,2,1990,,4.98,4.26,1.55,1.11,2.87,0.00,0.00,0.00,0.02,0.10,0.67,1.72
ABR,2,1991,,1.17,1.14,13.78,0.63,0.24,0.21,0.00,0.00,0.04,3.36,1.22,2.67
ABR,2,1992,,1.91,7.09,4.21,0.28,0.08,0.02,1.38,0.00,0.00,3.63,0.00,6.74
ABR,2,1993,,10.96,6.80,3.80,0.55,0.51,1.40,0.00,0.00,0.00,0.83,2.03,2.42
ABR,2,1994,,2.11,5.36,0.93,2.05,0.92,0.00,0.00,0.00,0.50,1.70,4.50,3.19
ABR,2,1995,,13.35,1.68,14.22,3.80,3.01,0.52,0.09,0.00,0.01,0.00,0.06,5.84
ABR,2,1996,,5.97,6.25,4.06,2.60,1.54,0.04,0.01,0.00,0.00,2.85,7.04,10.85
ABR,2,1997,,13.19,0.19,0.42,0.00,0.00,0.24,0.00,0.00,0.16,0.44,3.61,2.90
ABR,2,1998,,10.43,10.77,7.31,3.08,3.62,2.53,0.00,0.00,0.38,0.28,1.64,1.60
ABR,2,1999,,6.17,3.59,1.37,2.72,0.15,0.68,0.00,0.03,0.00,0.02,2.26,0.06
ABR,2,2000,,8.60,11.78,2.44,3.57,0.68,1.07,0.00,0.00,0.82,3.18,0.25,0.23
ABR,2,2001,,5.44,5.16,1.99,2.90,0.00,0.00,0.17,0.00,0.02,0.90,3.44,7.10
ABR,2,2002,,2.19,1.13,2.33,0.96,0.83,0.10,0.00,0.00,0.00,0.00,4.32,6.07
ABR,2,2003,,0.50,2.70,1.49,3.64,1.84,0.00,0.02,0.38,0.00,0.01,1.27,5.38
ABR,2,2004,,2.21,5.81,0.96,0.19,0.24,0.00,0.00,0.00,0.32,5.33,1.57,6.14
ABR,2,2005,,5.44,5.16,4.86,1.08,4.85,0.06,0.00,0.03,0.47,0.66,0.42,7.14
ABR,2,2006,,6.48,2.37,7.50,10.08,0.96,0.00,0.00,0.00,0.00,0.55,0.00,3.65
ABR,2,2007,,0.99,4.80,1.52,0.75,0.00,0.00,0.00,0.11,m,0.43,0.19,3.57
ABR,2,2008,,7.37,4.72,0.59,0.03,1.21,0.00,m,0.00,0.00,0.61,2.73,3.45
ABR,2,2009,,3.07,5.59,2.01,1.11,0.77,1.20,0.00,0.13,0.04,2.33,0.31,4.83
ABR,2,2010,,6.44,5.19,2.52,4.45,0.60,0.00,0.00,0.00,0.00,3.62,3.72,12.57
ABR,2,2011,,3.18,4.67,9.23,0.65,1.77,1.63,0.35,0.00,0.03,1.69,1.37,0.00
ABR,2,2012,,4.64,1.32,4.92,3.73,0.00,0.07,0.00,0.02,0.00,0.68,5.00,5.76
ABR,2,2013,,m,m,1.00,0.38,0.25,0.00,0.01,m,m,0.34,0.54,0.67
ABR,2,2014,,m,3.42,0.74,m,m,0.00,0.09,0.00,m,m,m,m
ABR,2,,
'End of Data
