'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ADIN RS (ADN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ADN,2,1990,,1.47,1.06,2.07,0.66,3.13,0.64,0.15,1.01,0.84,1.09,0.82,0.74
ADN,2,1991,,0.43,0.48,3.32,1.34,3.53,0.31,0.66,0.01,0.00,0.58,2.55,0.73
ADN,2,1992,,0.21,0.82,1.35,0.52,0.02,0.80,0.20,0.17,0.00,2.79,0.26,2.91
ADN,2,1993,,3.71,1.67,2.48,1.76,1.13,2.54,0.00,0.87,0.50,2.09,0.59,1.06
ADN,2,1994,,0.18,1.12,1.28,1.26,1.89,0.49,0.39,0.00,0.46,0.00,2.92,2.00
ADN,2,1995,,3.82,2.07,3.37,3.99,1.37,2.55,0.18,0.00,0.00,0.14,0.42,4.73
ADN,2,1996,,5.62,3.85,1.40,1.50,3.46,0.28,0.91,0.28,0.15,1.18,1.35,5.25
ADN,2,1997,,4.74,0.39,1.13,1.00,0.72,1.41,0.32,0.09,1.01,1.06,1.98,1.50
ADN,2,1998,,4.40,2.35,2.63,1.23,5.36,4.10,1.00,0.00,1.89,0.62,4.67,1.13
ADN,2,1999,,2.07,3.18,1.04,0.49,0.55,1.22,0.42,0.99,0.00,1.45,1.21,0.54
ADN,2,2000,,3.36,2.07,2.08,1.23,0.95,0.76,0.17,0.00,0.76,2.20,0.97,0.46
ADN,2,2001,,0.44,0.53,0.59,1.13,0.01,0.26,0.09,0.00,0.91,0.21,2.46,2.37
ADN,2,2002,,1.62,1.22,1.40,1.84,0.46,0.10,0.00,0.00,0.00,0.05,1.69,2.37
ADN,2,2003,,1.04,0.78,2.28,3.19,1.69,0.02,0.00,0.69,0.15,0.00,1.19,4.38
ADN,2,2004,,1.12,2.76,0.50,0.51,2.36,0.66,0.00,0.11,0.09,2.92,2.18,1.19
ADN,2,2005,,0.78,0.93,1.45,1.53,4.91,0.66,0.00,0.00,m,1.16,3.23,6.02
ADN,2,2006,,2.41,1.35,2.57,2.75,0.75,0.58,0.12,0.04,0.01,0.59,1.90,1.03
ADN,2,2007,,0.27,2.76,0.72,0.78,0.41,0.79,0.32,0.14,m,1.43,0.98,1.85
ADN,2,2008,,2.36,0.89,0.57,0.42,1.55,0.17,0.04,m,m,0.50,1.07,1.89
ADN,2,2009,,1.16,1.36,1.26,2.15,0.65,m,0.01,0.27,m,1.00,1.48,1.58
ADN,2,2010,,1.14,1.70,1.79,1.94,0.92,0.64,0.03,0.38,0.60,2.00,1.36,4.17
ADN,2,2011,,0.18,1.44,2.79,2.23,2.16,0.40,0.01,0.00,0.07,0.39,0.85,0.18
ADN,2,2012,,1.70,0.91,2.06,2.09,1.19,0.56,0.00,0.01,0.00,1.14,1.57,3.38
ADN,2,2013,,0.73,0.24,0.42,1.00,2.54,0.54,0.00,0.38,0.09,0.20,0.20,0.14
ADN,2,2014,,0.41,2.65,3.52,1.01,0.30,0.24,0.09,0.28,0.33,m,m,m
ADN,2,,
'End of Data
