'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ALTURAS RS (ALT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ALT,2,1990,,0.91,1.08,1.13,0.59,1.61,0.24,0.22,0.79,0.03,0.25,1.33,0.55
ALT,2,1991,,0.53,0.41,3.34,1.43,2.45,0.68,0.07,0.41,0.00,0.83,1.42,0.43
ALT,2,1992,,0.12,0.33,1.30,0.57,0.29,1.63,0.14,0.00,0.02,1.92,0.65,1.75
ALT,2,1993,,2.90,0.91,2.08,1.41,1.89,1.54,0.09,1.18,0.53,1.47,1.13,0.94
ALT,2,1994,,0.26,1.28,2.41,0.78,1.72,0.66,0.00,0.00,0.00,0.02,2.85,2.31
ALT,2,1995,,2.19,0.53,3.18,3.24,1.75,1.77,0.06,0.00,0.08,0.35,0.42,3.97
ALT,2,1996,,2.89,3.10,0.93,1.04,2.57,0.62,0.22,0.18,0.51,0.66,1.05,3.12
ALT,2,1997,,3.20,0.46,0.67,1.12,0.88,1.59,0.75,0.08,1.04,0.39,1.44,0.90
ALT,2,1998,,2.84,1.08,1.59,0.59,4.30,1.93,1.29,0.00,2.21,0.41,3.85,0.80
ALT,2,1999,,1.49,2.21,0.53,0.19,0.48,0.85,0.82,1.56,0.02,0.77,0.33,0.51
ALT,2,2000,,2.10,0.89,1.40,0.77,1.81,0.08,0.41,0.00,0.15,1.62,0.71,0.28
ALT,2,2001,,0.28,0.54,0.70,1.42,0.00,0.21,0.31,0.03,0.79,0.27,2.61,1.86
ALT,2,2002,,0.79,1.46,0.45,1.25,0.32,0.00,0.03,0.00,0.10,0.06,1.25,0.86
ALT,2,2003,,0.75,0.96,1.76,1.84,2.03,0.07,0.26,0.76,0.24,0.00,2.11,3.66
ALT,2,2004,,0.96,1.58,0.78,0.90,m,0.32,0.00,0.75,m,3.14,2.06,0.47
ALT,2,2005,,1.04,0.76,1.40,1.79,3.21,m,m,m,m,0.76,m,m
ALT,2,2006,,m,1.25,m,m,m,m,m,m,m,m,m,m
ALT,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
ALT,2,2008,,m,m,m,m,m,m,m,m,m,0.43,1.24,1.45
ALT,2,2009,,0.76,0.95,0.75,1.47,0.29,1.13,0.01,0.34,0.00,1.03,0.92,0.78
ALT,2,2010,,0.88,0.27,1.58,1.17,1.25,0.90,0.02,0.29,0.56,1.95,1.19,2.84
ALT,2,2011,,0.43,0.73,1.75,2.69,1.63,1.13,0.00,0.00,0.18,0.69,0.72,0.10
ALT,2,2012,,0.81,0.97,1.10,1.64,0.89,0.49,0.00,0.06,0.00,0.29,1.48,2.68
ALT,2,2013,,0.48,0.25,0.32,1.44,1.58,0.36,0.00,0.72,0.51,0.17,0.29,0.17
ALT,2,2014,,0.12,1.48,2.16,0.62,m,m,m,m,m,m,m,m
ALT,2,,
'End of Data
