'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SANTA ANA FIRE STA (ANA), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ANA,2,1990,,2.84,3.00,0.34,0.49,0.52,0.05,0.00,0.00,0.00,0.00,0.33,0.12
ANA,2,1991,,1.36,3.32,6.45,0.00,0.00,0.00,0.07,0.00,0.06,0.38,0.00,1.60
ANA,2,1992,,1.63,6.04,5.48,0.14,0.00,0.00,0.20,0.00,0.00,0.72,0.00,3.65
ANA,2,1993,,11.78,4.12,1.66,0.00,0.00,1.31,0.00,0.00,0.00,0.11,0.17,0.88
ANA,2,1994,,1.70,6.44,1.10,0.58,0.16,0.00,0.00,0.00,0.00,0.22,0.91,0.87
ANA,2,1995,,13.20,1.36,6.96,1.04,0.52,0.53,0.00,0.00,0.00,0.00,0.00,1.47
ANA,2,1996,,2.13,4.10,2.85,0.63,0.00,0.00,0.00,0.00,0.00,0.98,3.19,5.43
ANA,2,1997,,5.20,0.11,0.00,0.00,0.01,0.00,0.00,0.00,1.20,0.01,1.70,5.35
ANA,2,1998,,2.19,14.07,2.95,0.94,2.48,0.07,0.00,0.00,0.05,0.06,1.51,1.17
ANA,2,1999,,1.76,0.32,1.02,1.92,0.00,0.12,0.13,0.00,0.00,0.00,0.08,0.06
ANA,2,2000,,0.65,4.65,1.70,0.82,0.03,0.00,0.00,0.01,0.06,1.36,0.00,0.00
ANA,2,2001,,4.50,7.33,0.65,0.20,0.05,0.00,0.00,0.00,0.00,0.00,0.63,1.19
ANA,2,2002,,0.67,0.23,0.50,0.23,0.01,0.00,0.00,0.00,0.00,0.10,1.80,2.49
ANA,2,2003,,0.11,3.99,3.21,1.82,0.82,0.00,0.26,0.00,0.00,0.02,0.66,0.75
ANA,2,2004,,0.39,4.23,0.52,0.56,0.00,0.00,0.00,0.00,0.00,6.97,0.49,3.46
ANA,2,2005,,6.98,8.41,0.59,1.30,0.26,0.00,0.00,0.00,0.35,0.18,0.30,0.58
ANA,2,2006,,0.64,1.68,2.13,2.88,0.70,0.02,0.00,0.00,0.00,0.02,0.11,0.67
ANA,2,2007,,0.03,0.98,0.10,0.34,0.00,0.00,0.00,0.00,0.52,0.40,1.19,1.02
ANA,2,2008,,3.76,1.95,0.06,0.02,0.17,0.00,0.00,0.00,0.00,0.00,1.79,3.69
ANA,2,2009,,0.75,3.27,0.04,0.17,0.00,0.10,0.00,0.00,0.00,0.62,0.00,3.39
ANA,2,2010,,4.86,4.21,0.26,1.22,0.05,0.00,0.02,0.00,0.00,2.66,1.36,10.10
ANA,2,2011,,1.02,1.91,1.81,0.00,0.45,0.03,0.00,0.00,0.06,0.85,1.67,0.63
ANA,2,2012,,1.30,0.78,1.51,3.09,0.00,0.00,0.12,0.00,0.00,0.32,0.54,1.62
ANA,2,2013,,0.84,0.32,0.37,0.03,0.54,0.00,0.06,0.00,0.00,0.22,0.46,0.37
ANA,2,2014,,0.00,1.42,0.67,0.37,0.00,0.00,0.00,0.03,0.00,m,m,m
ANA,2,,
'End of Data
