'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ANGWIN PACIFIC UNION COL (APU), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:50
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
APU,2,1990,,6.71,3.40,1.70,0.40,4.50,0.00,0.00,0.00,0.50,0.67,0.60,0.92
APU,2,1991,,0.61,5.18,16.57,0.57,0.39,0.66,0.00,0.22,0.00,2.28,1.80,3.21
APU,2,1992,,2.31,11.07,6.22,1.70,0.00,1.39,0.00,0.00,0.00,4.45,0.40,12.09
APU,2,1993,,15.59,8.52,3.23,1.72,3.05,1.66,0.00,0.00,0.00,1.33,3.13,5.18
APU,2,1994,,2.12,5.98,0.35,1.94,1.82,0.05,0.00,0.00,0.00,1.53,8.91,5.00
APU,2,1995,,28.91,1.17,18.72,3.29,2.80,0.72,0.00,0.00,0.00,0.00,0.24,11.15
APU,2,1996,,9.81,11.36,3.94,4.37,4.70,0.00,0.00,0.00,0.14,1.55,5.28,24.92
APU,2,1997,,15.91,0.59,1.67,0.88,0.77,0.27,0.00,0.45,0.34,1.95,8.72,2.82
APU,2,1998,,13.26,21.45,2.57,5.20,1.25,0.00,0.00,0.00,0.27,1.01,9.27,2.10
APU,2,1999,,4.35,11.50,4.35,2.83,0.25,0.40,0.00,0.00,0.04,1.38,5.36,0.65
APU,2,2000,,7.50,13.67,4.26,2.60,1.99,0.28,0.00,0.00,0.49,4.78,1.58,1.32
APU,2,2001,,7.10,10.05,3.70,1.90,0.00,0.32,0.00,0.00,0.52,1.44,9.16,15.12
APU,2,2002,,5.70,2.48,3.69,0.44,1.40,0.00,0.00,0.00,0.00,0.03,5.30,22.15
APU,2,2003,,4.02,2.56,3.52,6.19,1.16,0.00,0.00,0.31,0.03,0.09,6.02,15.56
APU,2,2004,,4.17,11.35,2.11,1.20,0.00,0.00,0.00,0.00,0.00,5.38,2.99,13.36
APU,2,2005,,6.10,4.69,6.93,1.54,6.40,0.98,0.00,0.00,m,0.95,3.33,23.33
APU,2,2006,,6.96,6.58,9.44,6.87,1.14,0.00,0.00,0.00,0.00,0.29,3.21,6.16
APU,2,2007,,0.48,9.82,0.39,1.76,0.63,0.00,0.17,0.00,0.16,2.42,0.70,4.56
APU,2,2008,,14.76,4.47,0.27,0.25,0.24,0.00,0.00,0.00,0.00,1.39,3.99,4.20
APU,2,2009,,0.81,13.18,4.35,0.85,3.18,0.00,0.00,0.00,0.03,5.25,1.68,3.41
APU,2,2010,,13.07,6.71,4.11,5.65,2.45,0.00,0.00,m,m,5.26,3.69,11.31
APU,2,2011,,2.34,7.18,13.00,0.97,2.78,2.66,m,m,0.03,2.86,2.74,0.20
APU,2,2012,,7.16,0.65,11.47,2.87,0.31,0.07,m,0.00,0.00,1.44,13.07,13.54
APU,2,2013,,1.22,0.54,m,1.10,m,1.17,0.00,0.00,1.04,0.00,0.94,0.52
APU,2,2014,,0.15,13.36,4.97,2.03,0.00,0.00,0.00,0.01,0.81,m,m,m
APU,2,,
'End of Data
