'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LAKE ARROWHEAD (ARR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:51
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ARR,2,1990,,7.76,7.82,2.45,1.44,1.40,0.05,0.00,0.25,0.01,0.00,2.25,0.13
ARR,2,1991,,3.10,8.61,20.94,0.06,0.00,0.00,0.17,0.00,0.10,2.90,0.31,5.46
ARR,2,1992,,5.85,14.03,15.60,0.23,0.16,0.00,0.70,0.00,0.00,5.82,0.00,14.59
ARR,2,1993,,36.93,25.68,3.65,0.00,0.00,4.21,0.00,0.00,0.00,m,2.42,1.51
ARR,2,1994,,0.98,12.51,3.70,1.52,1.13,0.00,0.00,0.00,0.00,2.80,2.82,3.43
ARR,2,1995,,27.79,8.46,19.27,0.55,0.97,1.34,0.00,0.75,0.00,0.00,0.04,1.92
ARR,2,1996,,3.33,12.44,6.69,1.54,0.08,0.00,0.08,0.00,0.00,0.10,4.14,7.05
ARR,2,1997,,10.86,0.53,0.00,0.00,0.00,0.00,0.22,0.00,1.34,0.82,3.87,4.41
ARR,2,1998,,6.22,24.35,8.15,5.54,7.19,0.00,0.00,0.57,0.47,0.05,2.09,0.96
ARR,2,1999,,2.13,1.73,0.37,5.13,0.00,0.66,0.20,0.00,0.04,0.00,0.92,0.01
ARR,2,2000,,0.57,11.61,3.56,3.97,0.11,0.00,0.00,0.33,0.06,1.26,0.21,0.09
ARR,2,2001,,8.06,7.71,1.96,2.50,0.24,0.00,0.07,0.00,0.00,0.00,1.85,1.37
ARR,2,2002,,1.86,0.53,2.40,0.33,0.41,0.00,0.00,0.00,0.00,0.00,4.08,2.78
ARR,2,2003,,0.00,10.10,6.25,3.70,1.69,0.00,0.71,0.00,0.05,1.00,2.21,6.77
ARR,2,2004,,0.85,8.22,0.32,0.70,0.00,0.00,0.00,0.00,0.00,19.23,3.71,8.85
ARR,2,2005,,36.46,12.43,2.68,1.86,1.26,0.00,0.00,0.00,0.62,1.61,0.05,1.08
ARR,2,2006,,7.35,11.60,7.71,12.57,0.42,0.00,1.02,0.00,0.00,0.00,0.80,0.00
ARR,2,2007,,1.53,1.60,0.73,1.85,0.00,0.00,0.00,1.56,1.50,0.00,2.50,7.21
ARR,2,2008,,24.04,4.72,0.41,0.00,2.33,0.00,m,0.00,m,0.00,m,6.35
ARR,2,2009,,0.40,m,0.59,0.10,0.00,m,m,m,m,1.87,m,7.03
ARR,2,2010,,m,m,0.59,m,m,m,m,m,m,2.52,m,m
ARR,2,2011,,1.10,m,m,m,m,m,m,0.00,0.37,1.74,m,0.37
ARR,2,2012,,m,2.38,m,m,m,0.00,m,0.00,0.64,m,2.62,m
ARR,2,2013,,m,m,m,m,m,0.00,m,m,m,3.35,m,0.90
ARR,2,2014,,m,2.98,m,m,m,m,m,m,m,m,m,m
ARR,2,,
'End of Data
