'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ASH MOUNTAIN (ASM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:51
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ASM,2,1990,,3.63,3.14,2.78,0.90,3.00,0.01,0.00,0.02,0.18,0.07,1.84,0.66
ASM,2,1991,,1.28,0.52,14.54,0.70,0.54,0.00,0.00,0.00,0.04,1.94,0.91,1.79
ASM,2,1992,,1.68,5.42,3.65,0.01,0.19,0.19,1.36,0.00,0.00,3.95,0.00,6.01
ASM,2,1993,,9.55,6.88,4.72,0.90,0.08,1.72,0.00,0.00,0.00,0.49,2.71,2.37
ASM,2,1994,,1.77,5.34,1.65,2.39,0.90,0.00,0.00,0.00,0.67,1.42,4.36,2.66
ASM,2,1995,,9.29,1.88,13.16,3.50,5.87,1.42,0.09,0.00,0.00,0.00,0.05,3.52
ASM,2,1996,,6.26,8.59,3.08,2.40,0.90,0.22,0.00,0.00,0.11,1.23,6.79,9.59
ASM,2,1997,,13.51,0.88,0.31,0.00,0.00,0.01,0.16,0.00,0.20,0.73,4.38,3.55
ASM,2,1998,,5.89,12.77,6.24,5.46,4.85,4.48,0.27,0.00,0.40,0.52,1.67,2.12
ASM,2,1999,,5.95,3.31,1.48,2.22,0.19,0.13,0.01,0.03,0.14,0.00,2.02,0.11
ASM,2,2000,,5.57,11.34,3.28,2.55,1.24,0.47,0.00,0.06,0.97,3.69,0.47,0.25
ASM,2,2001,,4.84,5.10,1.03,5.19,0.00,0.00,0.26,0.00,0.00,0.76,4.63,7.91
ASM,2,2002,,2.52,0.89,6.14,0.81,1.01,0.00,0.04,0.00,0.00,0.52,5.92,5.59
ASM,2,2003,,0.30,3.54,3.12,6.12,2.30,0.00,0.24,0.21,0.16,0.00,1.90,8.05
ASM,2,2004,,2.41,5.73,1.09,0.39,0.00,0.00,0.00,0.00,0.20,4.25,1.89,4.00
ASM,2,2005,,8.43,3.38,5.28,2.25,3.86,0.00,0.00,0.00,0.16,0.54,0.12,4.79
ASM,2,2006,,9.28,2.24,8.90,7.51,0.78,0.00,0.03,0.00,0.00,0.45,0.46,3.42
ASM,2,2007,,1.09,4.67,2.35,2.45,0.26,0.00,0.00,0.08,0.84,1.13,0.62,5.22
ASM,2,2008,,6.57,6.30,0.54,0.00,0.93,0.00,0.13,0.00,0.00,0.32,3.46,3.65
ASM,2,2009,,3.41,6.44,1.98,1.21,0.78,1.50,0.00,0.07,0.00,3.80,0.22,5.72
ASM,2,2010,,5.85,5.98,2.92,5.66,0.49,0.00,0.00,0.00,0.03,2.22,6.78,13.63
ASM,2,2011,,1.88,4.67,7.78,0.79,1.98,0.97,0.00,0.33,0.02,2.20,1.69,0.00
ASM,2,2012,,4.39,1.55,2.98,4.97,0.07,0.00,0.00,0.00,0.00,1.94,1.46,6.92
ASM,2,2013,,1.81,1.37,0.98,0.53,0.37,0.00,0.00,0.00,0.00,0.00,0.53,0.59
ASM,2,2014,,0.70,3.22,3.29,2.81,1.06,0.00,0.06,0.03,m,m,m,m
ASM,2,,
'End of Data
