'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ATWELL CAMP (ATW), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:51
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ATW,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
ATW,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
ATW,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
ATW,2,1993,,m,m,m,m,m,m,m,0.70,m,0.60,3.60,3.10
ATW,2,1994,,2.00,7.70,2.20,4.60,2.10,m,m,m,m,1.80,6.80,0.50
ATW,2,1995,,15.90,2.00,17.90,5.10,6.30,2.30,0.00,0.00,0.00,0.00,0.00,6.80
ATW,2,1996,,10.90,15.10,4.80,4.10,0.80,0.30,0.00,1.30,0.70,1.70,13.00,16.20
ATW,2,1997,,20.70,1.50,0.60,0.30,0.00,0.00,0.10,0.10,1.10,2.50,5.30,6.10
ATW,2,1998,,8.90,14.30,10.50,5.00,4.20,3.60,0.00,m,2.00,1.20,2.70,2.80
ATW,2,1999,,7.00,3.10,2.60,4.30,0.80,2.20,2.00,0.30,0.00,0.60,3.00,0.30
ATW,2,2000,,7.80,14.10,3.40,3.00,0.50,0.30,0.00,0.00,0.00,5.40,2.00,0.00
ATW,2,2001,,4.90,6.71,0.91,6.30,0.00,0.00,0.80,0.10,0.20,1.50,9.50,10.20
ATW,2,2002,,3.70,0.90,6.10,1.10,2.40,0.20,0.00,0.00,0.00,0.10,14.00,6.30
ATW,2,2003,,0.50,5.10,5.60,5.90,4.40,0.00,0.50,0.60,0.50,0.10,2.70,10.90
ATW,2,2004,,3.70,6.11,1.20,0.30,0.00,0.10,0.10,0.00,0.00,4.42,2.35,5.31
ATW,2,2005,,10.12,2.62,9.62,2.42,4.31,0.01,0.10,2.52,0.60,0.60,0.61,9.82
ATW,2,2006,,7.35,2.90,11.22,8.10,1.32,0.22,2.02,0.11,0.00,0.00,1.70,4.44
ATW,2,2007,,1.06,7.54,3.32,3.60,0.60,0.10,0.00,0.00,0.31,0.90,0.81,6.63
ATW,2,2008,,8.83,9.81,1.11,0.31,1.50,0.41,0.31,0.00,0.00,0.00,0.41,6.61
ATW,2,2009,,4.72,7.85,2.31,3.01,1.71,1.93,0.11,0.00,0.00,0.00,0.14,6.62
ATW,2,2010,,5.82,9.32,4.23,7.14,1.62,0.61,m,0.00,0.00,3.73,5.27,21.32
ATW,2,2011,,2.24,4.33,9.94,1.64,4.63,1.12,1.13,0.54,0.73,3.32,2.32,0.01
ATW,2,2012,,6.71,2.03,4.93,4.92,1.00,0.31,0.20,0.50,0.01,0.98,3.70,10.11
ATW,2,2013,,3.03,1.21,0.98,1.58,1.74,0.74,0.52,0.44,0.51,0.66,0.71,1.39
ATW,2,2014,,1.53,4.50,3.52,3.69,1.57,m,0.10,0.77,1.26,m,m,m
ATW,2,,
'End of Data
