'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station AUBURN (AUB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:52
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
AUB,2,1990,,6.37,5.04,2.07,2.08,5.17,0.00,0.00,0.00,0.03,0.42,1.22,1.75
AUB,2,1991,,0.81,3.43,16.77,0.98,1.30,0.68,0.00,0.28,0.01,3.25,0.80,3.59
AUB,2,1992,,3.12,10.51,3.47,1.84,0.00,0.94,0.00,0.00,0.00,2.40,0.73,10.89
AUB,2,1993,,12.17,9.39,5.10,1.56,1.67,1.52,0.00,0.00,0.00,1.21,3.66,4.74
AUB,2,1994,,2.48,5.91,0.93,1.75,1.11,0.04,0.00,0.00,0.37,0.85,7.54,8.00
AUB,2,1995,,18.42,0.83,16.37,3.97,4.13,1.57,0.00,0.00,0.00,0.00,0.12,8.18
AUB,2,1996,,7.16,9.17,3.14,4.33,4.38,0.15,0.00,0.00,0.20,1.85,5.10,16.78
AUB,2,1997,,16.27,0.96,1.25,1.49,0.37,0.64,0.02,0.47,0.26,2.92,5.77,4.53
AUB,2,1998,,12.35,14.97,3.57,5.20,5.08,0.27,0.00,0.00,0.57,0.97,7.52,3.90
AUB,2,1999,,7.26,10.57,3.02,1.69,0.64,0.21,0.00,0.08,0.00,0.88,3.96,0.87
AUB,2,2000,,11.18,15.16,2.77,2.01,2.19,0.59,0.00,0.00,0.70,4.21,0.79,0.82
AUB,2,2001,,4.46,6.18,2.86,3.40,0.00,0.14,0.00,0.00,0.45,0.65,4.97,9.46
AUB,2,2002,,5.75,3.65,6.39,0.71,2.42,0.00,0.00,0.00,0.00,0.00,2.79,11.75
AUB,2,2003,,2.23,2.51,3.89,7.09,1.46,0.00,0.00,0.47,0.00,0.00,3.16,7.72
AUB,2,2004,,3.53,7.24,1.17,0.87,0.13,0.00,0.00,0.00,0.00,3.88,4.44,7.24
AUB,2,2005,,5.14,2.82,7.97,1.40,3.66,1.41,0.00,0.00,0.64,0.89,2.51,11.28
AUB,2,2006,,6.31,4.35,9.16,9.92,1.04,0.00,0.00,0.00,m,0.00,1.89,4.41
AUB,2,2007,,0.10,9.40,0.02,2.71,0.72,0.05,0.00,0.00,0.22,1.25,m,4.46
AUB,2,2008,,6.91,3.98,0.92,0.32,0.06,0.00,0.00,0.00,0.00,0.88,2.63,3.06
AUB,2,2009,,3.21,6.38,3.81,1.49,3.61,0.45,0.00,0.00,0.20,2.25,0.57,4.22
AUB,2,2010,,7.63,4.17,3.29,5.11,2.26,0.06,0.00,0.00,0.00,3.19,4.80,10.69
AUB,2,2011,,2.25,6.32,12.13,0.58,2.67,2.97,0.00,0.00,0.00,2.90,0.84,0.03
AUB,2,2012,,0.90,1.81,10.15,6.47,0.09,0.21,0.03,0.00,0.00,1.95,7.93,11.19
AUB,2,2013,,0.63,0.50,1.49,1.64,0.72,0.89,0.00,0.00,0.37,0.19,1.68,0.41
AUB,2,2014,,0.56,4.93,4.96,1.79,m,m,0.01,m,m,m,m,m
AUB,2,,
'End of Data
