'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BALCH PH (PG&E) (BAL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:52
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BAL,2,1990,,5.35,3.76,2.61,0.72,2.27,0.00,0.00,0.00,0.40,0.01,0.92,1.01
BAL,2,1991,,1.55,1.16,15.22,0.29,0.40,0.39,0.05,0.00,0.05,2.30,1.44,3.32
BAL,2,1992,,1.86,8.17,4.56,0.11,0.29,0.02,3.87,0.00,0.03,4.41,0.01,7.96
BAL,2,1993,,12.84,7.79,5.15,1.20,0.20,1.63,0.00,0.00,0.00,0.68,3.27,2.09
BAL,2,1994,,1.84,6.76,0.92,3.07,1.48,0.00,0.00,0.00,1.85,2.51,4.37,2.91
BAL,2,1995,,13.93,2.05,15.44,3.54,4.89,1.02,0.04,0.00,0.00,0.02,0.06,4.23
BAL,2,1996,,6.96,7.98,3.63,3.64,2.41,0.01,0.00,0.00,0.00,2.10,7.75,12.61
BAL,2,1997,,13.67,0.89,0.16,0.05,0.02,0.08,0.04,0.00,0.13,0.66,4.50,3.65
BAL,2,1998,,7.70,13.92,5.94,4.96,5.42,5.49,0.00,0.00,3.15,0.60,2.42,1.05
BAL,2,1999,,6.81,3.64,2.46,2.16,0.45,0.81,0.12,0.00,0.47,0.04,1.42,0.01
BAL,2,2000,,7.71,11.67,2.05,2.66,1.67,0.78,0.00,0.00,0.41,2.50,0.46,0.32
BAL,2,2001,,4.81,5.13,1.63,4.26,0.00,0.00,0.09,0.00,0.00,1.00,3.85,5.78
BAL,2,2002,,1.84,0.96,3.13,1.30,1.17,0.00,0.00,0.00,0.00,0.00,5.99,7.44
BAL,2,2003,,0.37,4.79,3.51,5.05,2.60,0.00,0.02,0.09,0.09,0.03,2.36,6.41
BAL,2,2004,,2.30,5.68,1.36,0.15,0.18,0.00,0.00,0.00,0.00,5.46,1.68,7.13
BAL,2,2005,,4.80,1.65,6.60,2.23,3.88,0.00,0.00,0.00,0.00,0.00,0.39,9.56
BAL,2,2006,,7.69,3.31,10.78,9.16,0.71,0.00,0.03,0.00,0.00,0.79,0.42,1.09
BAL,2,2007,,0.82,6.81,1.77,1.43,0.22,0.00,0.00,0.27,0.33,0.58,0.25,2.58
BAL,2,2008,,8.01,7.62,0.80,0.00,1.06,0.00,0.11,0.00,0.00,0.57,2.71,4.07
BAL,2,2009,,3.21,5.47,2.01,1.25,1.07,0.73,0.00,0.00,0.00,6.11,0.31,6.97
BAL,2,2010,,7.67,8.00,2.21,4.37,0.95,0.00,0.00,0.00,0.00,5.17,3.83,20.01
BAL,2,2011,,3.49,4.88,11.48,1.36,3.13,1.37,0.04,0.00,0.20,2.47,1.59,0.00
BAL,2,2012,,4.82,1.72,4.79,3.83,0.11,0.13,0.00,0.00,0.00,0.68,3.86,6.68
BAL,2,2013,,1.69,1.07,1.44,0.32,0.42,0.00,0.05,0.03,0.14,0.94,0.35,0.74
BAL,2,2014,,0.78,4.20,2.09,2.41,0.45,0.00,0.04,0.00,0.59,m,m,m
BAL,2,,
'End of Data
