'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BIG BEAR LAKE (BBE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:53
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BBE,2,1990,,2.76,5.64,1.42,0.73,0.41,0.10,0.74,0.04,0.00,0.00,0.64,0.87
BBE,2,1991,,1.88,3.82,7.59,0.00,0.09,0.00,1.48,0.39,0.69,1.04,0.54,3.05
BBE,2,1992,,2.46,5.94,4.18,0.38,0.40,0.00,0.89,2.09,0.02,1.55,0.00,6.46
BBE,2,1993,,21.15,12.42,0.45,0.00,0.35,1.20,0.00,0.00,0.00,0.00,1.29,0.94
BBE,2,1994,,0.58,4.57,2.74,0.61,0.13,0.00,0.15,0.33,0.00,0.70,1.14,1.95
BBE,2,1995,,8.93,2.25,3.80,0.31,0.16,0.05,0.20,0.26,0.03,0.00,0.00,0.96
BBE,2,1996,,1.56,3.58,1.85,0.39,0.23,0.00,0.53,0.34,0.37,0.77,2.93,1.97
BBE,2,1997,,2.29,0.34,0.23,0.23,0.00,0.27,0.25,0.00,0.00,0.15,1.48,2.25
BBE,2,1998,,2.00,7.23,2.15,1.22,1.08,0.00,0.00,0.01,1.16,0.13,0.58,0.03
BBE,2,1999,,4.15,0.17,0.16,1.59,1.08,0.26,2.59,0.07,0.00,0.00,0.00,0.00
BBE,2,2000,,0.70,4.38,0.87,0.88,0.02,0.02,0.02,1.14,0.01,0.44,0.17,0.06
BBE,2,2001,,1.54,3.54,1.37,0.73,0.09,0.00,0.39,0.01,1.28,0.00,2.04,0.41
BBE,2,2002,,0.31,0.23,1.14,0.34,0.00,0.00,0.15,0.00,0.41,0.13,2.94,4.70
BBE,2,2003,,0.18,5.50,3.82,1.77,0.92,0.02,0.27,2.00,0.48,0.00,1.54,3.77
BBE,2,2004,,0.30,3.29,1.18,0.35,0.00,0.05,0.00,1.58,0.11,7.44,2.92,3.86
BBE,2,2005,,18.37,5.45,3.40,1.24,1.15,0.00,1.42,0.77,0.83,2.55,0.00,0.18
BBE,2,2006,,2.63,2.88,5.09,2.91,m,0.51,2.51,m,0.62,0.01,0.08,1.04
BBE,2,2007,,0.20,1.22,0.60,0.47,0.00,0.00,0.22,0.16,0.75,0.10,1.70,3.25
BBE,2,2008,,12.64,5.29,0.30,0.00,0.13,0.00,0.70,0.38,0.05,0.10,1.33,5.70
BBE,2,2009,,0.73,2.35,0.51,0.58,0.01,0.23,0.36,0.00,0.05,0.40,1.48,6.74
BBE,2,2010,,14.24,5.37,0.78,0.92,0.40,0.00,0.80,0.21,0.12,2.11,2.29,15.92
BBE,2,2011,,0.72,4.39,2.77,1.40,0.76,0.00,1.88,0.18,1.29,1.65,1.14,1.97
BBE,2,2012,,1.24,2.03,3.28,2.15,0.05,0.00,1.52,3.48,0.00,0.07,0.83,2.38
BBE,2,2013,,1.49,2.18,1.02,0.05,0.55,0.00,1.18,0.85,1.09,0.76,0.60,1.02
BBE,2,2014,,0.38,4.30,2.81,0.98,m,m,m,m,m,m,m,m
BBE,2,,
'End of Data
