'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BOCA (BCA), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:53
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BCA,2,1990,,2.35,3.38,1.34,1.29,1.22,0.20,0.94,0.72,1.01,0.18,0.57,0.97
BCA,2,1991,,0.01,0.73,6.31,0.35,1.67,0.66,1.44,0.63,1.65,2.32,2.37,1.30
BCA,2,1992,,0.52,2.69,1.98,0.81,0.45,0.95,0.68,1.37,0.18,2.43,0.07,8.94
BCA,2,1993,,6.20,6.15,2.14,0.55,0.99,1.04,0.00,0.00,0.20,2.64,1.43,1.41
BCA,2,1994,,0.20,3.85,1.01,0.23,2.39,0.00,0.00,0.00,0.33,0.50,4.12,1.76
BCA,2,1995,,8.24,0.84,8.54,2.00,2.95,1.39,1.12,0.00,0.00,0.00,0.40,4.36
BCA,2,1996,,7.09,6.71,3.01,2.21,2.93,0.48,0.19,0.53,1.00,0.22,2.42,14.92
BCA,2,1997,,10.01,0.33,0.84,0.49,0.24,0.95,0.21,0.00,0.17,1.10,3.16,2.09
BCA,2,1998,,4.52,4.28,3.84,0.42,2.23,3.55,0.06,0.11,2.89,0.95,3.56,1.52
BCA,2,1999,,6.18,5.89,2.64,1.24,0.25,0.69,0.03,0.58,0.08,1.04,0.99,0.66
BCA,2,2000,,6.96,5.66,0.51,1.23,1.20,0.20,0.00,0.51,0.43,0.82,0.98,0.27
BCA,2,2001,,0.89,0.91,1.23,1.03,0.08,0.06,0.81,0.00,0.46,0.40,3.73,5.46
BCA,2,2002,,1.64,1.22,2.41,1.39,0.24,0.03,0.87,0.00,0.00,0.03,3.69,6.66
BCA,2,2003,,1.11,1.00,1.29,2.91,0.76,0.24,1.22,1.54,0.29,0.04,0.72,5.65
BCA,2,2004,,1.13,4.40,0.64,0.07,0.64,0.34,0.00,0.00,0.21,3.77,1.74,4.80
BCA,2,2005,,4.69,0.83,4.13,1.33,1.85,0.74,0.17,0.09,0.18,1.17,1.23,12.77
BCA,2,2006,,4.21,3.35,3.92,4.80,0.47,0.23,0.05,0.01,0.00,0.69,1.75,1.73
BCA,2,2007,,0.64,4.95,0.69,0.92,0.47,0.26,0.02,0.07,0.82,1.52,0.55,2.55
BCA,2,2008,,6.28,2.90,0.60,0.01,1.20,0.00,0.05,0.00,0.02,0.34,2.18,2.52
BCA,2,2009,,1.20,2.08,3.87,0.59,1.35,0.90,0.04,0.05,0.02,2.08,0.85,3.74
BCA,2,2010,,3.87,2.46,2.37,3.11,0.94,0.19,0.08,0.50,0.05,5.52,3.90,7.58
BCA,2,2011,,0.46,5.07,7.73,1.03,1.71,2.46,0.65,0.03,0.58,1.08,1.14,0.00
BCA,2,2012,,3.44,1.10,3.80,1.60,0.54,0.54,1.07,1.03,0.32,1.03,2.94,8.13
BCA,2,2013,,0.30,0.06,1.31,0.22,1.61,0.23,0.36,0.01,0.49,0.54,0.47,0.84
BCA,2,2014,,1.27,5.33,1.90,0.69,0.83,0.00,1.34,0.97,0.43,m,m,m
BCA,2,,
'End of Data
