'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BRUSH CREEK (DWR-2) (BCM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:54
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BCM,2,1995,,m,m,m,m,m,m,m,m,m,0.00,0.21,17.99
BCM,2,1996,,18.43,20.01,7.18,5.87,8.00,0.61,0.00,0.00,1.43,3.66,10.15,43.02
BCM,2,1997,,29.46,0.79,4.27,3.72,1.05,1.19,0.16,1.23,0.89,5.96,15.01,7.51
BCM,2,1998,,32.71,28.76,10.56,9.16,10.43,1.68,0.00,0.00,1.16,2.43,20.67,5.83
BCM,2,1999,,15.96,24.21,7.10,5.28,0.53,0.62,0.00,0.23,0.00,4.05,10.63,1.82
BCM,2,2000,,15.88,31.13,7.42,3.24,2.77,0.86,0.00,0.00,1.12,8.00,2.79,5.07
BCM,2,2001,,7.59,15.86,4.52,4.66,0.04,0.38,0.00,0.00,0.68,2.85,16.84,25.60
BCM,2,2002,,8.95,5.85,9.32,2.90,1.59,0.00,0.03,0.00,0.00,0.00,7.73,37.55
BCM,2,2003,,11.21,5.01,8.09,15.22,4.27,0.00,0.00,0.99,0.00,0.46,6.81,28.36
BCM,2,2004,,8.90,21.34,3.84,2.77,0.77,0.00,0.00,0.00,0.41,9.43,3.20,17.24
BCM,2,2005,,10.55,6.25,13.15,5.37,13.34,3.17,0.00,0.00,0.42,0.66,10.17,39.36
BCM,2,2006,,12.87,10.74,23.05,16.20,1.44,0.41,0.00,0.00,0.00,0.51,7.92,14.54
BCM,2,2007,,1.81,25.21,1.65,6.16,1.54,0.48,0.81,0.00,0.90,4.92,1.85,11.78
BCM,2,2008,,17.09,8.92,1.60,1.54,0.79,0.00,0.00,0.00,0.00,4.58,5.92,11.55
BCM,2,2009,,4.94,11.10,5.94,2.10,8.96,0.71,0.00,0.05,0.23,4.03,2.98,9.92
BCM,2,2010,,21.29,8.62,9.22,12.82,5.26,0.58,0.00,0.02,0.34,11.83,13.86,26.78
BCM,2,2011,,3.42,14.25,26.86,4.87,8.68,4.11,0.00,0.00,0.63,6.59,3.30,0.46
BCM,2,2012,,13.69,4.88,27.23,7.91,0.34,1.22,0.01,0.04,0.00,4.93,18.36,26.83
BCM,2,2013,,1.68,1.05,6.88,2.16,0.84,3.09,0.02,0.00,m,1.01,2.80,0.63
BCM,2,2014,,1.44,19.49,16.36,2.16,0.87,0.00,0.04,0.63,1.32,m,m,m
BCM,2,,
'End of Data
