'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BRUSH CREEK RS (BCR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:54
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BCR,2,1990,,13.64,7.00,4.18,2.39,10.85,0.00,0.00,0.37,0.39,2.20,1.80,3.40
BCR,2,1991,,1.30,5.08,30.77,2.00,3.25,1.61,0.00,0.05,0.00,5.97,3.53,6.35
BCR,2,1992,,4.63,19.65,8.64,4.16,0.00,2.71,0.00,0.00,0.00,7.07,1.26,18.42
BCR,2,1993,,23.95,17.10,9.28,5.32,4.69,3.18,0.00,0.32,0.00,2.78,2.51,10.78
BCR,2,1994,,6.19,12.60,1.92,5.53,2.49,0.07,0.00,0.00,0.28,1.00,10.03,14.94
BCR,2,1995,,35.67,3.07,32.50,11.10,3.97,m,0.00,0.00,0.00,0.00,0.00,15.53
BCR,2,1996,,14.18,19.26,6.92,9.52,9.15,0.51,0.00,0.00,1.14,4.19,9.37,43.85
BCR,2,1997,,30.47,0.62,3.97,3.58,0.00,1.04,0.00,0.00,0.91,5.59,13.80,6.49
BCR,2,1998,,30.90,23.85,9.76,7.86,9.51,1.13,0.00,0.00,0.95,2.10,17.03,6.72
BCR,2,1999,,12.35,17.78,7.50,2.57,0.63,0.34,0.00,0.21,0.00,4.20,9.43,2.36
BCR,2,2000,,14.86,27.33,7.63,3.28,3.91,0.88,0.00,0.00,0.90,8.14,2.31,5.09
BCR,2,2001,,4.28,12.18,3.58,3.84,0.05,0.20,0.00,0.00,0.69,2.52,17.21,19.80
BCR,2,2002,,7.91,4.93,8.13,1.61,1.43,0.00,0.03,0.00,0.00,0.00,7.01,37.55
BCR,2,2003,,8.90,4.71,8.01,13.64,4.00,0.00,0.00,0.99,0.00,0.30,6.45,26.89
BCR,2,2004,,6.47,18.99,2.48,2.73,0.84,0.00,m,m,m,10.24,2.69,16.71
BCR,2,2005,,8.51,3.84,13.41,5.45,14.33,2.00,0.00,0.00,0.00,0.63,9.82,43.46
BCR,2,2006,,14.32,7.44,29.57,20.71,1.35,0.00,0.00,0.00,0.00,0.34,7.57,14.68
BCR,2,2007,,1.79,23.26,1.27,5.94,1.54,0.51,0.71,m,0.93,4.33,1.57,11.67
BCR,2,2008,,13.41,12.11,1.49,1.46,0.84,0.00,0.00,0.00,0.00,4.25,6.25,11.45
BCR,2,2009,,5.04,11.10,5.97,2.06,9.00,0.71,0.00,0.02,0.23,3.78,3.00,5.39
BCR,2,2010,,21.30,8.62,8.99,13.05,5.24,m,m,m,m,m,m,m
BCR,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
BCR,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
BCR,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
BCR,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
BCR,2,,
'End of Data
