'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BODIE (BDE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:55
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BDE,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
BDE,2,1996,,m,m,m,m,m,m,m,m,m,1.90,3.35,3.33
BDE,2,1997,,4.52,0.78,0.00,0.75,0.12,2.87,0.39,0.01,0.51,0.02,0.86,0.82
BDE,2,1998,,1.33,5.92,1.93,0.54,1.08,2.08,m,0.04,1.68,0.68,0.51,0.68
BDE,2,1999,,2.21,1.83,0.53,3.69,0.14,0.19,0.00,0.43,0.53,0.09,0.17,0.00
BDE,2,2000,,1.47,1.35,0.50,0.62,0.13,0.96,0.00,1.19,0.05,0.46,0.06,0.05
BDE,2,2001,,1.51,0.91,1.89,1.87,0.14,0.00,0.69,0.14,0.00,0.07,1.21,3.01
BDE,2,2002,,0.25,0.07,0.91,1.26,0.22,0.00,0.31,0.15,0.23,0.21,2.24,2.47
BDE,2,2003,,0.15,1.42,1.21,0.54,0.19,0.04,1.49,0.62,0.42,0.05,0.69,2.51
BDE,2,2004,,0.43,1.41,0.33,0.37,0.50,0.20,0.19,0.50,0.07,0.96,1.39,1.35
BDE,2,2005,,3.05,0.68,1.13,0.76,0.84,0.02,0.17,0.40,0.10,0.30,0.21,4.54
BDE,2,2006,,1.47,0.79,0.59,0.75,0.94,0.14,0.74,0.00,0.00,0.66,0.05,0.91
BDE,2,2007,,0.77,1.27,0.24,1.54,0.11,0.00,0.20,1.81,0.56,0.46,0.20,1.24
BDE,2,2008,,3.59,1.89,0.05,0.00,2.47,0.02,0.00,0.00,0.00,0.50,0.77,1.41
BDE,2,2009,,0.70,0.78,1.81,0.61,0.37,1.85,0.28,0.39,0.02,1.13,0.17,0.90
BDE,2,2010,,1.23,1.42,0.40,0.93,0.28,0.00,1.21,0.00,0.00,1.85,0.97,2.26
BDE,2,2011,,0.17,2.55,2.77,0.33,0.31,0.00,1.58,0.02,0.33,0.00,0.33,0.20
BDE,2,2012,,1.55,0.34,0.90,0.23,0.33,0.21,0.63,1.67,0.36,0.35,0.59,3.57
BDE,2,2013,,0.30,0.39,0.12,0.55,0.01,0.00,1.26,1.04,0.46,0.42,0.32,0.42
BDE,2,2014,,0.73,1.56,1.55,0.26,m,m,m,m,m,m,m,m
BDE,2,,
'End of Data
