'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BRIDGEPORT R S (BDG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:55
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BDG,2,1990,,1.20,0.00,0.00,1.38,0.28,0.10,0.33,0.26,0.42,0.00,0.00,0.25
BDG,2,1991,,0.50,0.50,3.80,0.09,0.12,1.04,0.16,0.94,0.27,0.88,0.38,0.27
BDG,2,1992,,0.21,0.57,0.24,0.02,0.59,0.57,1.32,0.99,0.03,0.28,0.00,2.51
BDG,2,1993,,1.95,1.96,0.60,0.00,0.22,0.30,0.00,0.10,0.00,0.14,0.36,0.30
BDG,2,1994,,0.20,1.00,0.50,0.30,2.40,0.00,0.05,0.00,0.60,0.70,1.10,0.30
BDG,2,1995,,3.20,0.45,6.00,0.05,1.55,0.95,0.00,0.00,0.00,0.00,0.00,2.40
BDG,2,1996,,2.00,3.00,1.10,0.70,0.30,0.00,0.50,0.40,0.00,0.70,2.60,3.20
BDG,2,1997,,4.00,2.20,0.10,0.00,0.20,3.00,0.00,0.00,0.10,0.00,1.30,0.60
BDG,2,1998,,1.70,3.30,2.20,0.00,1.60,0.80,0.30,0.09,1.30,0.30,0.60,0.27
BDG,2,1999,,2.10,1.40,0.40,0.90,0.01,0.00,0.20,0.40,0.30,0.10,0.30,0.00
BDG,2,2000,,2.70,1.50,0.50,0.50,0.00,0.10,0.10,1.00,0.00,0.50,0.00,0.00
BDG,2,2001,,0.90,0.90,0.40,1.15,0.11,0.00,0.64,0.02,0.06,0.20,1.61,2.53
BDG,2,2002,,0.17,0.70,0.47,0.54,0.06,0.00,0.37,0.31,0.08,0.08,2.76,2.25
BDG,2,2003,,0.04,0.62,0.55,0.64,0.06,0.00,2.15,0.75,0.60,0.00,1.14,3.10
BDG,2,2004,,0.70,2.14,0.12,0.32,0.26,0.31,0.00,0.56,0.00,1.70,1.26,1.57
BDG,2,2005,,3.76,1.18,2.23,0.29,1.55,0.20,0.36,0.64,0.20,0.45,0.26,4.64
BDG,2,2006,,3.97,2.23,1.28,1.56,0.16,0.24,0.91,0.00,0.00,0.35,0.02,0.15
BDG,2,2007,,0.28,2.32,0.00,1.09,0.00,0.00,0.17,1.37,1.26,0.27,1.25,0.82
BDG,2,2008,,4.64,2.45,0.19,0.00,1.47,0.01,0.00,0.20,0.00,0.65,0.69,0.81
BDG,2,2009,,1.10,0.79,2.04,0.20,0.46,0.72,0.03,0.98,0.25,0.58,0.58,1.83
BDG,2,2010,,2.18,2.09,0.55,0.99,0.27,0.00,0.68,0.05,0.00,2.34,1.10,4.52
BDG,2,2011,,0.73,1.65,1.50,0.49,0.17,1.32,0.45,0.05,0.36,0.58,0.21,0.00
BDG,2,2012,,2.43,0.17,0.59,1.11,0.06,0.01,0.02,m,m,0.46,0.60,4.63
BDG,2,2013,,0.25,0.04,0.44,0.14,0.31,0.22,1.23,0.37,0.37,0.40,0.12,0.31
BDG,2,2014,,1.19,0.81,1.41,0.26,1.24,0.19,1.33,1.29,0.54,m,m,m
BDG,2,,
'End of Data
