'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BAKERSFIELD AIRPORT (BFK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:56
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BFK,2,1990,,0.85,0.93,0.45,0.18,0.29,0.00,0.00,0.00,0.05,0.03,0.47,0.26
BFK,2,1991,,0.62,0.13,4.33,0.06,0.00,0.00,0.00,0.00,0.01,0.30,0.01,1.04
BFK,2,1992,,1.56,2.14,1.86,0.00,0.08,0.00,0.03,0.00,0.00,0.92,0.00,1.81
BFK,2,1993,,2.33,2.02,1.76,0.00,0.00,0.48,0.00,0.00,0.00,0.10,0.79,0.62
BFK,2,1994,,0.57,1.34,0.97,1.06,0.27,0.00,0.00,0.01,0.09,0.08,0.98,1.32
BFK,2,1995,,2.29,0.87,3.39,0.79,0.35,0.12,0.00,0.00,0.00,0.00,0.00,2.03
BFK,2,1996,,1.08,2.49,0.78,0.12,0.02,0.00,0.00,0.00,0.00,0.94,0.85,1.71
BFK,2,1997,,1.87,0.80,0.21,0.00,0.00,0.00,0.00,0.00,0.05,0.25,1.70,0.97
BFK,2,1998,,1.32,5.36,2.51,0.87,1.33,0.30,0.00,0.00,0.31,0.24,0.46,0.53
BFK,2,1999,,3.90,0.46,0.21,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.13
BFK,2,2000,,1.52,1.62,1.29,0.57,0.08,0.06,0.00,0.00,0.00,0.39,0.00,0.00
BFK,2,2001,,1.81,1.99,0.73,0.81,0.00,0.00,0.05,0.00,0.00,0.22,1.08,0.66
BFK,2,2002,,0.52,0.26,0.43,0.25,0.13,0.00,0.00,0.00,0.00,0.00,1.30,1.40
BFK,2,2003,,0.03,1.50,0.37,1.19,0.16,0.00,0.00,0.04,0.05,0.20,0.32,1.30
BFK,2,2004,,0.56,1.63,0.53,0.02,0.00,0.00,0.00,0.00,0.00,1.54,0.18,1.09
BFK,2,2005,,2.51,1.52,1.11,0.51,0.74,0.00,0.00,0.01,0.08,0.17,0.23,1.11
BFK,2,2006,,0.76,0.28,1.91,1.99,0.30,0.00,0.00,0.00,0.00,0.29,0.02,0.60
BFK,2,2007,,0.21,0.99,0.44,0.51,0.00,0.00,0.00,0.00,0.13,0.28,0.06,0.36
BFK,2,2008,,0.65,0.34,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.06,0.63
BFK,2,2009,,0.38,1.84,0.36,0.41,0.35,0.06,0.00,0.00,0.01,0.08,0.10,1.66
BFK,2,2010,,1.82,1.77,0.25,1.14,0.27,0.00,0.00,0.00,0.00,0.59,0.84,5.82
BFK,2,2011,,0.40,0.49,1.67,0.21,0.23,0.08,0.00,0.00,0.00,0.55,0.76,0.00
BFK,2,2012,,0.44,0.29,1.27,1.62,0.00,0.00,0.02,0.00,0.00,0.02,0.10,0.65
BFK,2,2013,,0.83,0.60,0.83,0.05,0.05,0.00,0.00,0.00,0.00,0.03,0.94,0.10
BFK,2,2014,,0.12,0.32,0.36,0.50,0.04,0.00,0.00,0.00,0.01,m,m,m
BFK,2,,
'End of Data
