'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BARSTOW (BFS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BFS,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
BFS,2,1996,,m,m,m,m,m,m,m,m,m,0.30,0.80,0.45
BFS,2,1997,,0.79,0.04,0.00,0.00,0.00,0.00,0.23,0.00,1.46,0.00,1.39,1.23
BFS,2,1998,,0.52,4.22,0.79,0.21,0.37,0.00,0.44,0.47,0.74,0.00,0.00,0.00
BFS,2,1999,,0.00,0.28,0.01,1.24,0.00,0.60,2.07,0.00,0.63,0.00,0.00,0.00
BFS,2,2000,,0.00,0.54,0.11,0.13,0.00,0.00,0.00,0.32,0.00,0.60,0.00,m
BFS,2,2001,,1.07,2.06,0.67,0.00,m,m,0.00,0.00,0.50,0.14,0.62,0.32
BFS,2,2002,,0.00,0.00,0.15,0.10,0.00,0.00,0.14,0.00,0.40,0.07,0.36,0.51
BFS,2,2003,,0.00,1.58,1.12,0.98,0.01,0.00,0.49,0.07,0.00,0.00,1.37,0.32
BFS,2,2004,,0.34,2.37,0.92,0.91,0.30,0.06,0.00,0.61,0.30,2.26,1.17,1.72
BFS,2,2005,,2.30,2.39,1.34,0.10,0.11,0.00,1.14,0.26,0.71,1.33,0.03,0.00
BFS,2,2006,,0.19,0.10,0.67,0.60,0.01,0.01,0.20,0.00,0.00,0.01,0.00,0.47
BFS,2,2007,,0.00,0.20,0.00,0.24,0.00,0.00,0.01,0.01,0.00,0.00,1.20,0.27
BFS,2,2008,,1.39,0.04,0.00,0.00,0.10,0.00,0.85,0.00,0.12,0.00,0.65,1.90
BFS,2,2009,,0.01,0.73,0.00,0.09,0.04,0.00,0.00,0.01,0.00,0.00,0.01,0.46
BFS,2,2010,,2.69,1.71,0.22,0.64,0.00,0.00,0.00,1.01,0.00,1.13,1.12,7.07
BFS,2,2011,,0.01,0.52,0.24,0.07,0.00,0.00,0.20,0.58,0.34,0.31,0.81,0.28
BFS,2,2012,,0.17,0.15,0.21,0.64,0.00,0.00,0.30,0.06,0.00,0.13,0.00,0.74
BFS,2,2013,,0.43,0.23,0.41,0.00,0.00,0.00,0.33,0.57,0.14,0.00,1.06,0.00
BFS,2,2014,,0.00,0.09,0.54,0.30,0.36,0.00,0.08,0.78,0.06,m,m,m
BFS,2,,
'End of Data
