'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BIG BAR (BGB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BGB,2,1990,,7.06,3.39,2.45,0.57,6.25,0.31,0.20,0.24,0.41,1.04,1.13,1.97
BGB,2,1991,,1.90,3.58,8.07,1.39,0.72,0.70,1.08,0.44,0.10,1.92,2.87,3.28
BGB,2,1992,,1.56,5.15,3.58,3.60,0.00,1.50,0.02,0.00,0.05,3.39,2.59,9.03
BGB,2,1993,,10.89,4.36,3.77,4.57,4.61,0.57,0.00,0.41,0.43,1.04,0.90,6.10
BGB,2,1994,,5.60,4.16,0.56,1.32,1.02,0.10,0.00,0.00,0.00,0.04,7.12,6.16
BGB,2,1995,,17.97,1.58,13.90,6.00,1.41,1.64,0.20,0.00,0.00,0.05,0.60,13.95
BGB,2,1996,,10.25,6.44,3.79,3.62,2.58,0.35,0.17,0.00,0.63,3.07,4.25,17.14
BGB,2,1997,,7.70,1.76,2.41,2.88,0.74,0.90,0.64,0.58,0.87,2.79,6.63,3.33
BGB,2,1998,,14.21,13.83,6.71,2.00,3.70,0.94,0.00,0.01,0.71,1.71,10.77,3.83
BGB,2,1999,,5.06,11.59,4.06,1.37,0.51,0.11,0.00,0.32,0.04,1.92,5.62,2.58
BGB,2,2000,,9.53,8.10,2.39,2.73,1.97,0.29,0.00,0.00,0.50,2.56,1.68,2.97
BGB,2,2001,,3.93,3.85,2.80,1.36,0.54,0.21,0.17,0.00,1.14,0.89,10.50,8.93
BGB,2,2002,,5.36,4.49,2.01,1.22,0.76,0.00,0.37,0.00,0.00,0.00,5.52,18.91
BGB,2,2003,,4.25,2.07,5.22,6.53,1.57,0.01,m,3.02,0.81,0.00,4.57,10.31
BGB,2,2004,,5.53,8.87,2.68,1.34,0.43,0.30,0.06,0.00,0.02,3.81,1.17,7.56
BGB,2,2005,,4.58,1.69,6.38,3.01,5.16,1.28,0.00,0.00,0.00,0.63,4.08,17.20
BGB,2,2006,,8.46,3.61,6.85,3.77,0.96,2.20,0.10,0.02,0.00,0.38,5.68,7.02
BGB,2,2007,,1.07,7.19,1.10,2.17,0.90,0.15,0.20,0.01,0.00,4.54,1.22,5.65
BGB,2,2008,,10.69,5.04,1.49,0.78,1.03,0.60,0.00,0.01,0.00,1.90,4.35,3.76
BGB,2,2009,,1.35,5.56,3.62,0.81,3.69,1.49,0.00,0.19,0.33,3.51,2.52,3.29
BGB,2,2010,,8.27,5.14,1.79,8.64,2.93,0.70,0.08,0.02,0.35,6.91,4.41,10.15
BGB,2,2011,,1.30,3.08,9.51,2.73,1.79,2.65,0.12,0.00,0.11,3.26,2.95,0.52
BGB,2,2012,,7.22,1.76,9.86,2.83,0.22,0.42,0.40,0.00,0.00,1.37,6.58,10.30
BGB,2,2013,,1.34,0.90,2.41,1.52,0.88,0.58,0.00,0.91,2.01,0.01,1.15,0.83
BGB,2,2014,,1.28,5.70,5.85,1.13,0.34,m,m,m,m,m,m,m
BGB,2,,
'End of Data
