'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BIG CREEK 1 (BGC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:58
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BGC,2,1990,,5.39,3.42,2.15,2.59,2.47,0.00,0.00,0.07,0.96,0.08,1.00,2.01
BGC,2,1991,,1.03,1.79,14.37,1.20,1.30,0.52,0.00,0.00,0.00,3.33,0.11,3.39
BGC,2,1992,,2.00,7.61,4.28,0.03,0.00,0.20,2.35,0.00,0.10,4.50,0.20,9.97
BGC,2,1993,,16.01,10.62,5.80,1.40,1.30,1.90,0.00,0.00,0.00,0.17,1.75,2.50
BGC,2,1994,,2.10,7.20,1.10,2.92,2.29,0.00,0.00,0.00,0.96,4.10,6.80,3.64
BGC,2,1995,,18.60,1.50,23.30,5.60,3.91,2.06,0.08,0.00,0.00,0.00,0.08,6.96
BGC,2,1996,,6.48,9.48,4.66,3.93,2.80,0.58,0.26,0.26,0.00,3.24,7.02,11.91
BGC,2,1997,,16.35,0.78,0.22,0.50,0.02,0.43,0.33,0.00,0.15,1.08,4.56,3.73
BGC,2,1998,,8.78,16.58,8.68,4.29,6.49,3.02,0.03,0.03,1.99,0.76,3.35,2.07
BGC,2,1999,,6.35,5.36,3.22,3.49,0.68,1.39,0.99,0.04,0.23,0.00,2.48,0.05
BGC,2,2000,,9.71,12.17,1.72,3.28,1.95,1.06,0.00,0.00,0.50,4.34,0.55,0.64
BGC,2,2001,,5.75,6.05,3.48,5.56,0.00,0.00,0.70,0.00,0.00,1.54,6.02,7.68
BGC,2,2002,,3.00,1.33,3.60,2.16,2.21,0.05,0.00,0.00,0.00,0.23,7.05,8.34
BGC,2,2003,,0.46,4.06,3.28,7.65,2.85,0.00,0.80,0.77,0.10,0.14,2.36,6.54
BGC,2,2004,,1.47,6.06,1.00,0.78,0.65,0.00,m,m,0.21,7.82,1.90,6.70
BGC,2,2005,,11.38,6.38,7.59,2.07,6.73,0.00,0.00,0.25,0.45,0.67,1.18,11.07
BGC,2,2006,,7.84,5.33,9.44,11.02,1.90,0.00,1.84,0.00,m,0.88,0.93,5.01
BGC,2,2007,,1.15,6.35,2.10,1.21,0.31,0.00,0.01,0.39,m,0.45,0.43,3.20
BGC,2,2008,,8.85,5.87,0.59,0.00,1.75,0.00,0.95,0.00,0.01,1.83,3.49,3.52
BGC,2,2009,,4.93,5.43,2.36,1.30,1.28,0.93,0.00,0.36,0.00,5.64,0.36,4.54
BGC,2,2010,,6.79,6.36,2.80,4.95,1.02,0.00,0.00,0.00,0.34,4.84,3.55,12.26
BGC,2,2011,,2.47,4.46,9.08,1.65,2.66,2.48,0.00,0.00,0.43,2.57,1.18,0.00
BGC,2,2012,,4.17,1.37,4.49,3.68,0.15,0.22,0.00,0.42,0.02,1.08,5.05,6.55
BGC,2,2013,,1.50,0.60,2.10,0.70,m,m,m,m,m,1.20,0.50,0.84
BGC,2,2014,,1.59,5.74,2.28,3.34,m,0.00,0.00,m,m,m,m,m
BGC,2,,
'End of Data
