'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BIG SUR STATE PARK (BGS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:58
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BGS,2,1990,,5.53,3.70,2.38,1.06,2.35,0.00,0.00,0.00,0.49,0.01,0.63,1.84
BGS,2,1991,,0.71,4.96,20.72,1.55,0.09,1.91,0.00,0.06,0.00,2.76,0.72,7.82
BGS,2,1992,,2.69,13.00,7.51,0.45,0.00,0.00,0.56,0.02,0.00,3.17,0.56,12.88
BGS,2,1993,,21.04,11.36,2.74,1.46,2.42,0.84,0.00,0.00,0.00,0.26,3.81,3.35
BGS,2,1994,,5.42,9.39,1.34,3.17,1.81,0.00,0.00,0.00,0.32,1.33,6.75,6.06
BGS,2,1995,,26.47,2.22,15.84,5.35,1.86,1.78,0.00,0.00,0.00,0.00,0.00,8.45
BGS,2,1996,,14.65,18.21,3.98,3.07,3.29,0.00,0.00,0.00,0.00,2.83,11.48,22.94
BGS,2,1997,,19.45,0.39,0.22,0.50,0.02,0.20,0.00,1.38,0.00,0.40,9.29,8.09
BGS,2,1998,,17.01,24.30,6.72,4.54,4.93,0.06,0.00,0.00,0.00,0.97,6.38,2.09
BGS,2,1999,,8.23,8.34,7.22,3.54,0.07,0.37,0.00,0.03,0.38,0.18,4.26,0.38
BGS,2,2000,,17.59,20.18,3.01,2.66,1.96,0.01,0.00,0.00,1.25,7.12,0.77,0.55
BGS,2,2001,,9.03,8.83,4.24,3.79,0.00,0.00,0.00,0.00,0.15,1.24,8.28,10.06
BGS,2,2002,,4.61,3.99,4.62,0.74,0.57,0.00,0.00,0.03,0.13,0.05,6.73,13.96
BGS,2,2003,,3.63,3.65,0.40,4.70,1.28,0.00,0.07,0.00,0.00,0.21,2.44,18.07
BGS,2,2004,,3.57,11.38,0.00,0.12,0.28,0.41,0.00,0.00,0.00,7.30,2.87,13.71
BGS,2,2005,,10.45,11.28,8.52,3.32,1.19,0.33,0.02,0.00,0.00,0.04,2.37,15.41
BGS,2,2006,,3.92,3.84,11.84,13.65,2.67,0.00,0.00,0.00,0.00,0.14,2.81,6.58
BGS,2,2007,,1.07,9.28,0.89,1.55,0.32,0.00,0.00,0.00,0.56,2.11,0.63,4.12
BGS,2,2008,,16.62,5.65,0.41,0.80,0.00,0.00,0.00,0.00,0.00,0.57,3.66,4.24
BGS,2,2009,,4.76,13.23,5.92,1.94,0.90,0.10,0.00,0.05,0.24,9.88,0.26,4.20
BGS,2,2010,,12.17,9.40,3.81,7.49,1.71,0.00,0.00,0.00,0.06,2.17,3.81,7.38
BGS,2,2011,,3.64,7.27,12.21,0.70,2.57,4.01,0.00,0.00,0.00,4.13,2.84,0.94
BGS,2,2012,,5.14,2.21,7.51,m,m,m,0.00,0.00,0.00,0.76,10.82,10.13
BGS,2,2013,,2.82,m,m,m,m,m,0.00,m,m,0.28,0.54,0.63
BGS,2,2014,,0.00,10.48,4.17,m,m,m,m,m,m,m,m,m
BGS,2,,
'End of Data
