'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BISHOP (BIS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BIS,2,1990,,0.95,0.50,0.00,0.56,0.21,0.15,0.26,0.45,0.28,0.00,0.00,0.00
BIS,2,1991,,0.01,0.07,2.94,0.07,0.00,0.02,0.00,0.00,0.21,0.69,0.00,0.58
BIS,2,1992,,0.38,1.31,0.67,0.00,0.06,0.30,0.12,0.06,0.05,0.53,0.00,1.50
BIS,2,1993,,2.03,2.62,0.91,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.12,0.03
BIS,2,1994,,0.06,1.49,0.73,0.06,0.84,0.00,0.00,0.00,0.90,0.28,0.09,0.31
BIS,2,1995,,4.22,0.51,4.24,0.07,1.04,0.14,0.34,0.02,0.00,0.00,0.02,1.27
BIS,2,1996,,0.57,2.60,0.82,0.37,0.02,0.00,0.16,0.10,0.00,1.01,0.90,0.98
BIS,2,1997,,2.62,0.00,0.00,0.00,0.00,0.39,0.32,0.00,0.22,0.00,0.32,0.74
BIS,2,1998,,0.58,5.77,0.46,0.80,0.48,0.85,0.01,0.00,0.28,0.13,0.07,0.08
BIS,2,1999,,1.18,0.35,0.00,0.42,0.14,0.02,0.05,0.06,0.13,0.00,0.01,0.00
BIS,2,2000,,0.36,1.15,0.38,0.37,0.00,0.00,0.00,0.27,0.00,0.10,0.00,0.00
BIS,2,2001,,0.78,1.98,0.66,0.25,0.11,0.00,0.99,0.02,0.05,0.01,1.15,0.22
BIS,2,2002,,0.02,0.00,0.02,0.05,0.00,0.02,0.04,0.00,0.02,0.01,2.19,1.59
BIS,2,2003,,0.07,0.91,0.82,0.29,0.01,0.00,0.18,0.17,0.03,0.00,0.79,0.74
BIS,2,2004,,0.07,2.33,0.22,0.02,0.10,0.08,0.00,0.05,0.00,1.24,1.30,1.84
BIS,2,2005,,4.81,1.39,1.41,0.00,0.09,0.00,0.01,0.54,0.31,0.12,0.02,1.28
BIS,2,2006,,4.95,0.66,0.58,0.64,0.19,0.17,0.35,0.00,0.00,0.54,0.00,0.03
BIS,2,2007,,0.49,0.11,0.05,0.12,0.00,0.00,0.00,0.06,0.14,0.00,0.00,0.40
BIS,2,2008,,4.86,0.96,0.00,0.00,0.15,0.00,0.20,0.00,0.03,0.00,0.56,0.61
BIS,2,2009,,0.01,0.48,0.06,0.01,0.02,0.61,0.21,0.02,0.01,1.63,0.00,0.96
BIS,2,2010,,1.28,0.39,0.02,0.39,0.00,0.00,0.07,0.09,0.00,1.33,0.28,5.38
BIS,2,2011,,0.02,0.94,1.00,0.02,0.06,0.01,0.08,0.00,0.09,0.65,0.20,0.00
BIS,2,2012,,1.87,0.04,0.33,0.02,0.00,0.00,0.00,0.07,0.00,0.42,0.04,0.77
BIS,2,2013,,0.00,0.00,0.00,0.00,0.42,0.00,0.43,m,0.02,0.18,0.08,0.03
BIS,2,2014,,0.18,0.75,0.85,0.07,0.34,0.00,0.12,0.23,0.18,m,m,m
BIS,2,,
'End of Data
