'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BLYTHE (BLY), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BLY,2,1990,,0.30,0.00,0.13,0.00,0.00,0.04,0.35,0.61,0.23,0.01,0.00,0.00
BLY,2,1991,,0.33,0.79,0.86,0.00,0.00,0.00,0.07,1.07,0.40,0.66,0.00,0.14
BLY,2,1992,,0.86,0.69,1.31,0.00,0.00,0.00,0.00,1.88,0.00,0.51,0.00,2.32
BLY,2,1993,,2.58,1.80,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.63,0.02
BLY,2,1994,,0.01,0.34,0.57,0.00,0.08,0.00,0.26,0.40,0.00,0.00,0.03,1.77
BLY,2,1995,,1.81,0.39,0.00,0.21,0.00,0.00,0.09,0.03,0.00,0.00,0.00,0.00
BLY,2,1996,,0.10,0.37,0.25,0.00,0.18,0.00,0.00,1.44,0.00,0.02,0.13,0.00
BLY,2,1997,,1.30,0.05,0.00,0.09,0.00,0.00,0.00,0.55,4.96,0.00,0.00,0.33
BLY,2,1998,,0.28,3.13,0.72,0.00,0.03,0.00,0.03,0.10,1.72,0.04,0.16,0.00
BLY,2,1999,,0.04,0.28,0.00,1.08,0.00,0.00,0.72,0.88,0.14,0.00,0.00,0.00
BLY,2,2000,,0.00,0.00,0.49,0.00,0.00,0.02,0.00,0.14,0.00,0.07,0.00,0.00
BLY,2,2001,,0.95,0.85,1.49,0.04,0.00,0.00,0.22,0.03,0.00,0.00,0.11,0.04
BLY,2,2002,,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.75,0.04,0.03,0.00
BLY,2,2003,,0.13,1.10,0.28,0.08,0.00,0.00,0.06,0.07,0.07,0.00,0.35,0.00
BLY,2,2004,,0.02,0.58,0.81,0.06,0.00,0.00,0.00,0.02,0.12,1.04,0.33,0.58
BLY,2,2005,,1.56,2.83,0.24,0.00,0.00,0.00,0.00,1.35,0.00,0.85,0.00,0.00
BLY,2,2006,,0.00,0.00,0.25,0.00,0.00,0.20,0.15,1.46,1.44,0.04,0.00,0.00
BLY,2,2007,,0.03,0.07,0.53,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.11,0.00
BLY,2,2008,,0.77,0.02,0.00,0.00,0.19,0.00,0.00,0.15,0.06,0.00,0.24,0.65
BLY,2,2009,,0.03,0.43,0.00,0.00,0.03,0.01,0.07,0.02,0.03,0.00,0.00,0.85
BLY,2,2010,,2.12,0.90,0.67,0.01,0.00,0.00,0.00,0.03,0.00,0.27,0.00,0.57
BLY,2,2011,,0.00,1.17,0.06,0.00,0.00,0.00,1.64,0.00,0.09,0.12,0.29,0.62
BLY,2,2012,,0.00,0.01,0.19,0.14,0.00,0.00,1.88,1.05,0.07,0.27,0.00,0.86
BLY,2,2013,,0.80,0.01,0.03,0.00,0.00,0.00,0.54,0.66,0.57,0.02,0.74,0.01
BLY,2,2014,,0.00,0.07,0.04,0.00,0.01,0.00,0.00,0.49,0.11,m,m,m
BLY,2,,
'End of Data
