'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BOWMAN LAKE (BOL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 20:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BOL,2,2006,,m,m,m,m,m,m,m,m,m,0.58,6.29,8.17
BOL,2,2007,,7.67,14.70,1.40,5.89,3.70,0.81,0.03,0.23,1.00,5.47,1.84,7.62
BOL,2,2008,,14.27,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.16,8.32,7.08
BOL,2,2009,,7.43,m,m,m,m,1.38,3.71,3.55,2.79,4.63,2.98,9.31
BOL,2,2010,,6.94,7.00,7.89,8.77,7.10,1.97,0.63,0.94,0.00,12.45,9.63,21.82
BOL,2,2011,,3.24,7.87,21.30,5.57,3.73,4.61,1.54,0.77,0.95,4.50,3.11,1.41
BOL,2,2012,,8.12,4.05,18.11,7.62,0.94,3.43,2.23,1.49,0.84,m,m,24.33
BOL,2,2013,,1.84,1.19,4.97,2.14,3.03,2.19,0.10,0.38,3.44,1.27,2.11,2.04
BOL,2,2014,,3.84,17.46,11.85,3.35,2.13,0.13,0.38,1.89,2.45,m,m,m
BOL,2,,
'End of Data
