'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BOWMAN (BOW), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BOW,2,1990,,9.62,6.39,5.86,3.34,9.68,0.12,1.84,0.32,1.15,0.81,3.06,2.62
BOW,2,1991,,1.33,3.56,24.19,1.72,3.32,2.06,0.00,1.56,0.14,6.78,4.57,5.09
BOW,2,1992,,1.85,12.21,3.82,2.79,0.34,4.21,0.15,0.01,0.00,6.87,1.51,11.15
BOW,2,1993,,16.48,15.02,8.10,3.68,5.05,3.54,0.00,0.78,0.14,3.42,4.77,5.41
BOW,2,1994,,3.33,11.24,1.34,3.42,2.25,0.27,0.00,0.00,0.42,0.80,16.21,13.50
BOW,2,1995,,35.73,3.35,33.22,12.41,6.88,3.42,0.11,0.00,0.00,0.00,0.73,15.32
BOW,2,1996,,19.79,19.78,8.82,9.54,13.42,0.44,0.06,0.00,1.95,2.79,12.48,40.70
BOW,2,1997,,30.38,1.67,3.70,3.52,1.60,2.83,0.00,0.62,0.69,3.93,9.79,4.17
BOW,2,1998,,23.46,20.70,8.32,7.15,10.25,1.13,0.00,0.00,2.80,2.31,14.21,7.73
BOW,2,1999,,14.11,22.92,5.18,4.44,1.86,0.54,0.00,0.54,0.00,3.19,5.92,2.13
BOW,2,2000,,19.84,21.47,3.85,3.71,4.47,0.72,0.00,0.00,2.05,7.22,2.32,4.31
BOW,2,2001,,4.81,8.73,4.96,6.26,0.43,0.43,0.01,0.00,0.54,1.80,12.96,19.77
BOW,2,2002,,7.65,5.60,10.17,3.95,2.67,0.00,0.00,0.00,0.00,0.00,12.27,22.91
BOW,2,2003,,6.39,4.26,9.15,14.82,4.94,0.00,0.00,1.02,0.08,0.00,4.96,19.08
BOW,2,2004,,5.06,15.17,1.34,3.18,1.91,0.11,0.06,0.00,0.12,0.98,3.05,9.88
BOW,2,2005,,12.13,5.28,13.04,5.06,13.62,3.26,0.00,0.00,0.24,2.76,8.27,27.49
BOW,2,2006,,19.51,7.47,16.46,16.60,1.68,0.13,0.00,0.00,0.00,0.64,8.49,10.60
BOW,2,2007,,2.99,15.90,1.60,5.00,2.58,0.94,0.00,0.00,1.23,7.20,2.29,10.15
BOW,2,2008,,15.43,9.22,3.20,1.01,2.34,0.00,0.00,0.00,0.00,3.89,8.14,10.11
BOW,2,2009,,5.24,16.26,11.58,1.93,9.45,1.38,0.00,0.24,0.00,5.06,2.64,9.31
BOW,2,2010,,12.65,7.66,10.20,10.45,6.67,0.90,m,m,m,16.16,11.45,32.52
BOW,2,2011,,2.49,12.96,29.33,8.21,4.41,6.12,0.00,0.00,1.35,6.33,4.55,0.32
BOW,2,2012,,7.28,3.59,21.46,9.74,0.56,2.50,0.52,0.06,0.02,3.08,15.68,22.59
BOW,2,2013,,2.01,1.34,3.27,2.08,2.81,2.47,0.00,0.00,3.50,1.15,1.82,1.92
BOW,2,2014,,3.11,17.82,9.26,6.70,1.70,0.06,0.07,1.41,0.07,m,m,m
BOW,2,,
'End of Data
