'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BRIDGEPORT (BPT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BPT,2,2002,,m,m,m,m,m,m,m,m,m,m,m,m
BPT,2,2003,,m,m,m,0.76,0.14,0.29,0.71,0.51,0.62,0.00,1.19,2.42
BPT,2,2004,,0.17,1.12,0.04,0.20,0.60,0.00,0.05,0.93,0.00,2.23,1.19,0.57
BPT,2,2005,,2.18,1.69,2.43,0.36,1.09,0.27,0.91,0.32,0.15,0.21,0.46,7.18
BPT,2,2006,,0.72,1.38,1.10,1.73,0.25,0.00,0.25,0.00,0.00,0.42,0.11,0.31
BPT,2,2007,,0.34,0.92,0.08,0.19,0.00,0.03,0.21,0.33,0.17,0.05,0.23,0.42
BPT,2,2008,,1.83,0.91,0.05,0.00,0.95,0.08,0.00,0.31,0.01,0.13,0.90,0.25
BPT,2,2009,,1.60,0.51,1.52,0.05,0.92,1.18,0.64,0.61,0.11,2.18,0.04,1.02
BPT,2,2010,,1.10,1.67,0.32,0.79,0.20,0.00,0.58,0.08,0.68,3.29,0.15,3.97
BPT,2,2011,,0.41,0.22,1.37,0.31,0.04,1.32,m,m,m,m,m,m
BPT,2,2012,,m,m,m,m,m,m,m,m,m,0.40,1.17,2.29
BPT,2,2013,,1.29,m,0.38,0.10,0.31,m,m,m,m,0.30,0.10,0.08
BPT,2,2014,,0.56,1.30,0.88,0.13,0.74,1.36,1.74,m,m,m,m,m
BPT,2,,
'End of Data
