'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BEAR TRAP MEADOW (BRM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:01
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BRM,2,1990,,6.90,4.60,3.10,1.30,2.70,m,m,m,m,0.10,0.80,1.80
BRM,2,1991,,1.90,3.50,25.20,1.10,1.10,m,m,m,m,3.60,2.10,2.80
BRM,2,1992,,2.20,10.70,5.10,0.70,0.60,m,2.30,0.20,0.20,7.50,0.10,11.40
BRM,2,1993,,21.00,13.70,6.20,2.00,0.30,3.30,0.50,0.10,0.00,0.60,3.30,2.90
BRM,2,1994,,2.30,11.90,1.70,3.90,1.70,m,m,m,m,2.80,6.00,3.00
BRM,2,1995,,25.00,2.00,16.00,m,m,m,m,m,m,m,0.00,7.40
BRM,2,1996,,m,m,m,m,m,1.60,1.10,0.90,0.00,2.60,11.40,19.40
BRM,2,1997,,15.10,2.80,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.20,4.40,4.30
BRM,2,1998,,m,m,m,m,m,m,m,m,0.00,1.70,4.20,2.10
BRM,2,1999,,8.20,4.50,3.40,4.10,1.40,0.00,0.60,0.00,0.70,0.00,2.30,0.10
BRM,2,2000,,12.20,16.50,4.40,2.90,1.40,0.70,0.10,0.50,0.70,5.90,0.40,0.61
BRM,2,2001,,7.10,8.81,2.50,7.50,0.00,0.00,0.10,0.00,0.20,0.00,9.70,11.10
BRM,2,2002,,4.50,2.20,5.32,0.90,2.00,0.20,0.10,0.10,0.20,0.00,13.20,8.80
BRM,2,2003,,1.10,5.10,6.30,6.40,3.50,0.00,0.40,0.70,0.20,0.30,3.80,12.30
BRM,2,2004,,3.90,6.90,0.90,0.61,0.00,0.01,0.00,0.00,0.40,0.10,1.92,9.41
BRM,2,2005,,7.81,5.50,14.25,1.70,3.35,0.00,0.00,0.00,0.00,0.00,1.60,15.92
BRM,2,2006,,10.95,6.40,15.01,13.72,1.42,0.13,0.12,0.00,0.00,0.70,0.10,3.20
BRM,2,2007,,m,9.12,2.52,2.03,0.20,0.00,0.00,0.00,0.00,1.21,0.70,6.91
BRM,2,2008,,7.91,14.71,4.13,0.23,0.53,0.32,0.11,0.00,0.00,0.00,0.52,7.51
BRM,2,2009,,5.41,9.41,4.71,2.72,2.23,1.51,0.01,0.21,0.00,0.00,0.12,9.83
BRM,2,2010,,9.51,11.01,4.20,9.44,1.17,0.22,0.01,0.00,0.00,3.32,6.12,24.35
BRM,2,2011,,5.79,3.34,18.61,4.74,4.35,1.91,1.14,0.64,1.62,6.82,1.94,0.00
BRM,2,2012,,8.11,2.23,6.54,1.11,0.00,0.00,0.00,0.00,0.00,0.03,7.93,10.89
BRM,2,2013,,3.09,0.81,2.79,1.60,m,m,m,m,0.45,2.62,0.60,1.26
BRM,2,2014,,1.67,7.59,3.97,4.50,1.72,0.20,0.02,0.00,0.77,m,m,m
BRM,2,,
'End of Data
