'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BUCKS CREEK POWERHOUSE (BUP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:01
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BUP,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
BUP,2,1999,,m,m,m,m,m,m,m,m,m,4.03,9.16,1.84
BUP,2,2000,,14.60,24.10,5.46,4.23,2.35,0.32,0.00,0.00,0.61,5.67,2.04,4.00
BUP,2,2001,,6.03,14.74,5.96,3.90,0.02,0.65,0.00,0.00,0.81,2.19,15.25,19.44
BUP,2,2002,,6.81,4.56,6.85,2.04,1.65,0.03,0.00,0.00,0.00,0.00,10.93,29.56
BUP,2,2003,,8.27,4.16,7.81,14.31,3.10,0.20,0.00,0.50,0.00,0.21,6.11,21.78
BUP,2,2004,,10.71,19.54,2.18,2.01,2.02,0.21,0.00,0.08,0.13,9.29,2.87,12.71
BUP,2,2005,,11.79,6.23,12.71,7.59,11.17,2.72,0.00,0.00,0.57,1.95,9.16,33.03
BUP,2,2006,,12.19,10.26,18.97,14.96,2.56,0.18,0.04,0.00,0.19,0.54,7.13,11.49
BUP,2,2007,,2.09,15.10,2.27,3.95,1.12,0.23,1.04,0.00,0.88,4.06,1.48,8.56
BUP,2,2008,,17.46,7.66,2.29,0.89,0.69,0.12,0.00,0.00,0.07,4.34,6.48,7.36
BUP,2,2009,,4.22,18.34,11.03,1.17,6.33,0.70,0.00,2.75,0.00,4.93,2.89,6.21
BUP,2,2010,,17.13,7.60,7.88,10.36,4.81,0.32,0.00,0.04,0.06,8.46,9.20,20.42
BUP,2,2011,,2.22,14.64,21.47,3.20,7.83,2.72,0.00,0.00,0.17,4.47,3.17,0.64
BUP,2,2012,,7.67,3.98,17.74,7.63,0.65,0.96,2.50,0.00,m,4.29,14.44,23.05
BUP,2,2013,,1.57,1.22,4.86,1.61,0.79,1.17,0.00,0.06,1.27,0.46,2.32,0.84
BUP,2,2014,,1.26,14.96,13.61,1.50,1.07,0.00,0.01,0.96,1.19,m,m,m
BUP,2,,
'End of Data
