'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station BLUE CANYON (DWR-2) (BYM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:01
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
BYM,2,1995,,m,m,m,m,m,m,m,m,m,0.00,1.41,18.79
BYM,2,1996,,18.70,17.04,10.03,8.90,11.42,0.39,0.08,0.00,1.53,3.15,12.16,43.32
BYM,2,1997,,32.04,1.77,3.00,3.03,1.18,2.56,0.00,0.87,0.43,4.10,10.35,6.81
BYM,2,1998,,25.75,25.08,9.06,9.41,9.50,1.78,0.00,0.00,1.68,1.85,16.72,5.99
BYM,2,1999,,17.24,22.32,5.15,3.61,2.67,0.48,0.43,0.15,0.00,3.42,7.10,1.66
BYM,2,2000,,18.29,23.07,4.37,3.24,4.41,1.08,0.00,0.02,1.65,6.76,2.47,4.10
BYM,2,2001,,5.52,10.14,4.37,5.86,0.19,0.25,0.00,0.00,0.58,1.62,12.38,18.12
BYM,2,2002,,6.60,5.61,10.28,2.85,2.17,0.00,0.00,0.00,0.06,0.00,9.11,16.01
BYM,2,2003,,4.95,3.38,6.74,10.00,3.52,0.00,0.03,2.38,0.01,0.39,4.43,18.11
BYM,2,2004,,6.81,13.26,1.57,2.15,1.21,0.00,0.00,0.00,0.41,8.13,4.17,13.39
BYM,2,2005,,11.65,5.15,12.67,4.03,12.57,3.79,0.00,0.00,0.34,2.41,7.22,36.54
BYM,2,2006,,12.56,10.14,20.01,16.40,2.02,0.00,0.03,0.00,0.00,1.00,8.42,11.24
BYM,2,2007,,2.78,19.17,1.99,5.46,2.10,0.92,0.00,0.01,1.76,5.69,2.03,11.24
BYM,2,2008,,15.92,9.25,3.44,0.91,1.70,0.01,0.04,0.00,0.00,2.92,6.69,10.21
BYM,2,2009,,5.58,17.00,10.30,3.02,8.60,0.41,0.01,0.06,0.06,5.34,2.58,10.12
BYM,2,2010,,13.90,8.03,9.05,11.07,6.58,0.44,0.05,0.11,0.00,10.98,12.22,21.88
BYM,2,2011,,3.92,10.92,25.83,5.10,5.86,4.76,0.00,0.00,0.09,5.33,3.67,0.33
BYM,2,2012,,9.91,4.67,21.85,8.79,0.64,1.65,0.42,0.04,0.00,5.08,17.76,19.46
BYM,2,2013,,1.88,1.15,5.94,1.71,2.03,3.54,0.00,0.04,m,1.18,2.36,2.07
BYM,2,2014,,2.27,18.14,11.76,3.67,1.62,0.00,0.03,0.60,1.28,m,m,m
BYM,2,,
'End of Data
