'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CALLAHAN (CAL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:02
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CAL,2,1990,,4.63,0.67,1.12,1.67,3.10,0.16,1.20,0.33,0.80,1.03,1.31,0.74
CAL,2,1991,,0.68,2.28,3.61,0.81,0.94,1.46,1.28,0.20,0.13,0.61,2.17,2.03
CAL,2,1992,,1.96,3.35,1.74,1.32,0.55,3.15,0.32,0.06,0.50,2.80,1.13,4.15
CAL,2,1993,,4.54,2.59,1.96,2.03,4.52,0.76,0.08,0.76,0.04,0.78,0.69,2.09
CAL,2,1994,,2.00,2.90,0.78,0.36,2.14,0.05,0.11,0.00,0.46,0.00,2.97,1.88
CAL,2,1995,,11.88,0.86,6.44,3.08,1.56,1.55,2.00,0.00,0.18,0.00,0.42,9.86
CAL,2,1996,,5.76,3.54,1.29,1.71,1.58,0.30,0.29,0.03,0.51,1.07,4.01,9.05
CAL,2,1997,,5.06,0.69,1.01,1.09,0.36,1.69,0.16,1.28,0.77,1.53,2.68,2.70
CAL,2,1998,,7.22,6.72,3.61,0.56,4.99,2.34,0.74,0.09,1.01,1.31,6.91,1.30
CAL,2,1999,,3.56,4.71,1.09,0.34,0.05,0.05,0.04,0.22,0.03,1.29,4.06,0.89
CAL,2,2000,,5.53,4.25,1.73,2.73,0.75,0.46,1.16,0.04,0.12,2.08,0.56,0.98
CAL,2,2001,,1.72,1.70,2.73,1.26,0.66,0.09,0.42,0.01,0.76,0.19,5.20,4.28
CAL,2,2002,,1.94,2.34,0.66,1.22,0.37,0.11,0.16,0.01,0.16,0.03,3.39,12.65
CAL,2,2003,,2.45,0.76,3.51,4.23,0.63,0.05,1.63,2.93,0.31,0.00,2.65,3.93
CAL,2,2004,,1.78,5.06,1.41,0.91,1.16,0.31,0.19,0.11,0.03,3.16,1.21,5.23
CAL,2,2005,,2.26,1.20,1.00,1.28,3.26,0.52,0.70,0.00,0.02,0.32,3.95,12.84
CAL,2,2006,,5.58,2.53,2.88,1.42,1.04,0.31,0.00,0.61,0.00,0.15,3.21,4.93
CAL,2,2007,,1.09,3.80,0.19,0.28,0.63,0.13,0.31,0.08,0.20,3.55,0.83,2.77
CAL,2,2008,,5.95,1.06,0.59,0.09,1.10,0.27,0.00,0.00,0.00,1.21,1.06,1.66
CAL,2,2009,,1.06,2.37,1.82,2.15,1.76,2.10,0.00,0.22,0.12,2.12,1.43,1.06
CAL,2,2010,,5.48,2.21,1.91,3.96,0.68,0.55,0.28,0.05,0.50,4.34,1.66,5.65
CAL,2,2011,,0.91,1.06,5.42,0.96,1.54,1.42,0.42,0.23,0.09,0.99,0.91,0.63
CAL,2,2012,,3.85,1.00,4.95,1.96,0.44,0.76,0.12,0.00,0.00,0.84,4.47,4.37
CAL,2,2013,,0.69,0.34,1.62,0.44,2.16,0.17,1.53,0.35,1.48,0.25,0.47,0.38
CAL,2,2014,,0.75,3.59,2.40,0.17,0.62,0.48,0.33,0.61,2.58,m,m,m
CAL,2,,
'End of Data
