'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CAMPTONVILLE (DWR) (CAM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:02
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CAM,2,1990,,3.06,1.78,0.70,0.99,0.23,0.22,0.11,0.18,0.62,0.04,0.56,1.30
CAM,2,1991,,1.35,2.23,13.17,0.05,0.00,0.01,0.62,0.49,0.35,0.58,0.30,2.83
CAM,2,1992,,3.24,5.05,4.94,0.68,0.23,0.00,0.75,2.05,0.00,0.24,0.06,4.04
CAM,2,1993,,18.61,6.51,1.53,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.84,m
CAM,2,1994,,m,m,m,m,m,m,0.00,1.22,0.00,0.19,0.68,0.97
CAM,2,1995,,10.12,3.28,m,m,m,m,m,m,m,m,m,m
CAM,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
CAM,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
CAM,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
CAM,2,1999,,m,m,m,m,m,m,m,m,m,m,m,m
CAM,2,2000,,m,m,m,m,m,m,m,m,m,m,m,m
CAM,2,2006,,m,m,m,m,m,m,m,m,m,1.04,6.54,10.08
CAM,2,2007,,1.32,14.44,2.80,4.52,1.80,1.08,0.20,0.00,1.12,3.80,1.76,8.52
CAM,2,2008,,9.32,m,1.72,0.60,0.56,0.00,0.00,0.00,0.00,2.04,3.76,6.88
CAM,2,2009,,4.32,10.40,7.36,1.68,0.64,0.00,0.00,0.00,0.16,3.16,2.52,7.88
CAM,2,2010,,10.80,6.36,6.00,8.76,3.64,0.00,0.00,0.00,0.00,10.08,11.12,18.68
CAM,2,2011,,2.28,6.96,17.64,3.72,3.16,2.40,0.00,0.00,0.00,4.56,2.64,0.36
CAM,2,2012,,7.76,2.84,18.67,6.92,0.24,1.52,0.00,0.00,0.00,4.24,12.96,15.24
CAM,2,2013,,1.28,0.84,4.48,1.32,1.04,2.44,0.00,0.00,1.92,0.44,2.08,0.92
CAM,2,2014,,1.64,16.52,8.72,2.92,0.44,0.00,0.00,0.44,1.20,m,m,m
CAM,2,,
'End of Data
