'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CARIBOU PH (CBO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CBO,2,1990,,6.47,5.09,2.27,1.56,5.12,0.13,0.00,0.25,0.41,1.51,1.41,1.40
CBO,2,1991,,0.90,2.46,15.36,2.20,2.28,0.73,0.23,0.13,0.18,2.11,2.20,6.24
CBO,2,1992,,2.15,10.49,3.79,2.82,0.47,1.80,0.10,0.11,0.00,3.32,0.74,11.73
CBO,2,1993,,15.58,8.20,6.44,3.90,3.13,1.36,0.11,0.32,0.00,2.65,2.62,5.22
CBO,2,1994,,3.13,7.34,1.28,2.10,2.32,0.13,0.01,0.00,0.22,1.27,8.70,7.65
CBO,2,1995,,24.61,1.23,19.51,8.38,4.04,3.23,0.12,0.12,0.00,0.03,0.85,9.95
CBO,2,1996,,10.34,10.20,5.53,5.03,6.11,0.41,2.57,0.00,0.40,2.36,4.84,18.49
CBO,2,1997,,13.55,0.61,2.57,1.14,0.58,2.09,0.05,0.36,0.10,2.61,5.95,4.41
CBO,2,1998,,10.06,14.91,5.12,2.20,3.46,m,m,m,m,m,m,m
CBO,2,1999,,m,m,m,m,m,m,m,m,m,1.90,5.47,1.68
CBO,2,2000,,9.63,12.84,2.68,3.11,1.40,0.08,0.00,0.00,0.39,3.41,1.58,2.19
CBO,2,2001,,3.42,6.27,3.45,2.38,0.04,0.48,0.01,0.00,0.80,1.18,6.53,7.39
CBO,2,2002,,5.23,2.51,3.88,1.84,0.95,0.12,0.10,0.00,0.00,0.03,6.86,15.74
CBO,2,2003,,4.54,2.59,5.90,8.90,1.98,0.18,0.00,1.14,0.00,0.00,3.98,m
CBO,2,2004,,m,m,m,m,m,m,m,m,m,m,m,m
CBO,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
CBO,2,2006,,m,m,m,10.20,1.14,0.36,0.03,0.00,0.00,0.38,4.35,6.41
CBO,2,2007,,0.56,8.14,1.57,2.56,1.20,0.37,0.47,m,0.51,3.26,0.81,4.00
CBO,2,2008,,7.56,4.06,0.82,0.42,0.38,0.03,0.00,0.03,0.02,1.95,4.03,3.66
CBO,2,2009,,2.85,8.87,7.31,0.57,3.88,2.00,0.00,0.11,0.02,2.93,1.80,2.21
CBO,2,2010,,9.88,3.64,4.40,4.93,3.07,0.25,0.22,0.14,0.01,5.17,4.74,10.49
CBO,2,2011,,1.38,5.11,11.11,2.77,4.08,3.01,0.00,0.00,0.16,2.83,1.82,0.07
CBO,2,2012,,5.04,2.08,12.60,5.67,0.26,0.86,0.00,0.00,0.00,2.84,10.33,12.98
CBO,2,2013,,1.16,0.80,3.33,1.09,2.13,1.23,1.77,0.04,1.27,0.92,0.98,0.26
CBO,2,2014,,0.73,8.26,9.06,1.34,0.95,0.01,0.02,0.90,0.62,m,m,m
CBO,2,,
'End of Data
