'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CACHUMA LAKE (CCH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CCH,2,1990,,2.75,1.52,0.08,0.76,0.63,0.00,0.00,0.00,0.09,0.00,0.38,0.69
CCH,2,1991,,1.26,3.26,18.60,0.13,0.00,0.00,0.00,0.01,0.00,0.52,0.10,6.41
CCH,2,1992,,3.00,13.84,5.18,0.06,0.00,0.00,0.07,0.00,0.41,0.79,0.00,5.47
CCH,2,1993,,11.85,12.09,6.08,0.02,0.00,0.41,0.00,0.00,0.00,0.00,1.06,2.21
CCH,2,1994,,1.65,7.54,2.90,0.15,0.90,m,m,m,m,1.03,1.39,0.93
CCH,2,1995,,25.13,1.95,12.28,0.46,1.78,0.48,0.00,0.00,0.00,0.00,0.30,1.35
CCH,2,1996,,2.16,6.92,1.84,0.57,0.19,0.00,0.02,0.00,0.00,0.30,2.42,4.29
CCH,2,1997,,4.39,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.18,0.00,4.00,10.11
CCH,2,1998,,6.09,23.30,3.40,2.90,3.12,0.03,0.00,0.00,0.46,0.12,1.38,1.31
CCH,2,1999,,3.19,1.54,5.71,3.23,0.02,0.07,0.05,0.02,0.03,0.00,1.62,0.00
CCH,2,2000,,1.94,10.37,2.76,4.73,0.01,0.04,0.00,0.00,0.00,2.64,0.00,0.09
CCH,2,2001,,8.40,5.71,13.44,1.35,0.06,0.00,0.06,0.00,0.00,0.62,3.27,2.66
CCH,2,2002,,0.87,0.24,0.79,0.13,0.12,0.00,0.00,0.00,0.08,0.00,2.50,6.73
CCH,2,2003,,0.06,3.56,2.40,2.15,2.33,0.02,0.01,0.00,0.00,0.41,1.20,2.03
CCH,2,2004,,0.32,6.52,0.48,0.00,0.00,0.00,0.00,0.00,0.00,6.38,0.33,13.25
CCH,2,2005,,10.30,9.22,3.08,1.27,0.51,0.04,0.00,0.00,0.03,0.48,1.64,0.73
CCH,2,2006,,7.82,3.06,4.31,4.89,1.56,0.00,0.00,0.00,0.00,0.16,0.20,1.59
CCH,2,2007,,1.30,3.03,0.15,0.81,0.00,0.00,0.00,0.00,0.17,0.34,0.06,2.39
CCH,2,2008,,16.57,2.33,0.45,0.06,0.38,0.00,0.00,0.00,0.00,0.15,3.39,2.46
CCH,2,2009,,0.44,5.70,0.85,0.19,0.00,0.15,0.00,0.03,0.08,2.20,0.00,3.00
CCH,2,2010,,10.34,4.92,0.26,3.15,0.05,0.00,0.00,0.00,0.00,2.24,1.42,9.48
CCH,2,2011,,1.84,3.36,11.85,0.14,0.42,0.46,0.00,0.00,0.00,0.47,2.81,0.35
CCH,2,2012,,1.58,0.43,3.63,3.21,0.02,0.00,0.00,0.00,0.18,0.12,1.34,2.95
CCH,2,2013,,1.75,0.40,0.80,0.19,0.02,0.00,0.02,0.00,0.00,0.34,1.14,0.18
CCH,2,2014,,0.02,4.10,3.52,0.65,0.00,0.00,0.00,0.00,0.00,m,m,m
CCH,2,,
'End of Data
