'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CEDARVILLE (CDV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CDV,2,1990,,1.11,0.79,1.51,1.01,1.32,0.27,0.80,0.31,0.04,0.52,0.92,0.51
CDV,2,1991,,0.33,0.44,3.39,1.44,1.88,0.66,0.24,0.27,0.09,1.54,1.61,0.74
CDV,2,1992,,0.05,0.37,0.61,1.10,0.26,2.36,0.09,0.23,0.05,2.30,1.03,2.16
CDV,2,1993,,3.59,1.67,1.46,2.12,2.25,1.79,0.14,0.78,0.28,0.97,0.67,1.27
CDV,2,1994,,0.35,1.32,1.08,2.10,1.13,0.53,0.22,0.00,0.36,0.32,2.01,1.60
CDV,2,1995,,2.94,0.46,2.84,3.52,1.89,1.84,0.04,0.04,0.00,0.28,0.69,3.92
CDV,2,1996,,3.87,2.75,1.38,1.55,1.58,0.79,0.08,0.31,0.39,1.72,1.74,4.67
CDV,2,1997,,4.61,0.36,0.85,1.38,0.55,1.47,0.64,0.07,0.24,0.46,1.70,0.88
CDV,2,1998,,3.53,2.15,1.27,0.57,3.25,1.16,0.54,0.00,1.57,0.20,3.65,0.67
CDV,2,1999,,2.53,1.65,0.58,0.46,0.75,0.89,0.03,0.75,0.00,1.02,0.33,0.64
CDV,2,2000,,3.05,1.13,0.78,0.45,0.70,0.07,0.00,0.00,0.10,0.89,0.50,0.58
CDV,2,2001,,0.55,0.34,0.65,1.46,0.03,0.14,0.07,0.18,1.02,0.48,2.84,1.86
CDV,2,2002,,0.84,1.38,0.82,1.39,0.09,0.26,0.17,0.00,0.06,0.43,1.74,0.58
CDV,2,2003,,0.56,0.63,2.05,1.75,2.32,0.07,0.34,0.46,0.61,0.02,1.07,2.62
CDV,2,2004,,0.65,1.02,0.59,0.85,2.27,0.55,0.76,0.61,0.21,1.61,1.66,0.98
CDV,2,2005,,0.55,0.49,1.62,1.58,2.50,0.30,0.00,0.00,0.13,0.43,2.04,5.04
CDV,2,2006,,1.92,1.41,1.38,1.94,0.73,0.11,0.00,0.28,m,0.65,2.43,1.00
CDV,2,2007,,0.60,1.00,0.42,1.38,0.30,0.26,0.00,0.00,0.16,1.93,0.59,1.35
CDV,2,2008,,1.80,1.19,1.23,0.93,2.02,0.17,0.00,0.00,0.06,0.44,1.85,1.68
CDV,2,2009,,0.60,0.90,0.81,0.89,0.98,0.95,0.02,0.25,0.00,0.65,1.14,1.00
CDV,2,2010,,1.66,0.21,1.19,1.25,1.35,0.56,0.28,0.63,0.41,2.82,1.41,3.88
CDV,2,2011,,0.61,1.16,3.00,2.82,1.57,1.01,0.00,0.00,0.00,0.77,0.64,0.32
CDV,2,2012,,1.49,0.79,1.30,1.86,0.60,0.49,0.00,0.17,0.00,0.99,1.34,3.64
CDV,2,2013,,0.96,0.54,0.29,1.39,1.72,0.52,0.30,0.52,0.78,0.54,0.72,1.18
CDV,2,2014,,0.40,2.30,3.24,0.94,1.26,0.32,0.38,0.54,0.51,m,m,m
CDV,2,,
'End of Data
