'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CHICO UNIV FARM (CES), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CES,2,1990,,4.76,2.02,1.89,0.76,2.88,0.04,0.00,0.00,0.10,0.65,1.14,1.08
CES,2,1991,,0.36,3.25,11.39,0.63,0.37,1.40,0.00,0.00,0.02,0.41,0.65,4.49
CES,2,1992,,2.00,7.53,4.77,1.99,0.00,1.27,0.00,0.00,0.00,1.73,0.46,4.48
CES,2,1993,,9.98,8.34,3.45,2.46,2.30,2.17,0.00,0.07,0.00,0.73,2.56,3.13
CES,2,1994,,2.90,5.27,0.70,0.98,1.77,0.00,0.00,0.00,0.01,1.45,4.55,5.87
CES,2,1995,,16.97,0.96,11.67,2.55,2.48,2.00,0.00,0.00,0.00,0.00,0.00,7.15
CES,2,1996,,4.96,6.93,1.79,2.69,3.23,0.03,0.00,0.00,0.15,2.23,1.86,7.80
CES,2,1997,,9.02,0.53,1.90,1.04,0.37,0.35,0.18,0.78,0.41,1.55,7.06,2.89
CES,2,1998,,9.22,14.96,3.81,3.27,4.08,0.80,0.00,0.00,0.32,1.47,4.89,1.94
CES,2,1999,,1.67,6.19,1.73,1.22,0.08,0.66,0.00,0.08,0.00,0.63,2.90,0.75
CES,2,2000,,5.48,8.32,3.39,2.37,0.96,0.39,0.00,0.00,0.26,2.91,1.26,0.25
CES,2,2001,,5.77,5.58,2.25,2.13,1.46,0.31,0.00,0.00,0.35,1.55,4.89,6.94
CES,2,2002,,4.44,0.87,2.78,0.20,1.41,0.00,0.00,0.00,0.00,0.00,2.22,11.74
CES,2,2003,,4.50,2.90,3.10,4.30,1.03,0.00,0.00,0.48,0.00,0.04,3.35,9.15
CES,2,2004,,3.68,7.25,0.94,0.18,0.31,0.00,0.00,0.00,0.00,4.92,1.98,2.39
CES,2,2005,,8.93,2.69,2.57,2.15,3.25,1.94,0.00,m,m,0.72,2.98,12.32
CES,2,2006,,3.61,3.51,8.03,5.02,0.73,0.00,0.00,0.00,0.00,0.19,2.34,1.99
CES,2,2007,,1.86,4.87,0.20,2.45,0.50,0.20,0.28,0.00,0.27,1.53,0.52,4.21
CES,2,2008,,m,m,0.02,0.24,0.05,0.00,0.00,0.05,0.00,1.41,2.32,1.48
CES,2,2009,,2.96,7.84,2.16,0.84,1.38,0.34,0.00,0.00,0.00,1.56,1.17,3.56
CES,2,2010,,9.53,4.14,1.74,4.65,1.27,0.06,0.00,0.00,0.00,2.55,3.23,4.40
CES,2,2011,,3.38,3.67,5.53,0.28,3.97,1.91,0.00,0.00,0.00,2.05,1.59,0.00
CES,2,2012,,5.07,0.96,5.00,2.35,0.00,0.23,0.00,0.00,0.00,1.58,3.38,5.94
CES,2,2013,,1.09,0.50,0.86,1.40,0.13,0.69,0.00,0.00,1.15,0.07,1.16,0.00
CES,2,2014,,0.20,4.26,5.74,0.87,0.04,0.00,0.00,0.42,0.59,m,m,m
CES,2,,
'End of Data
