'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CHALLENGE RANGER STATION (CHL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CHL,2,1990,,14.10,3.39,4.99,1.56,8.68,0.05,0.00,0.00,0.36,1.10,2.61,4.29
CHL,2,1991,,1.12,3.97,28.51,2.51,3.45,2.06,0.00,0.36,0.00,4.75,3.18,7.01
CHL,2,1992,,4.34,16.06,6.53,3.04,0.00,2.10,0.00,0.00,0.04,8.31,1.70,30.35
CHL,2,1993,,25.00,11.78,7.98,4.31,1.94,3.52,0.00,1.36,0.00,2.50,4.37,9.68
CHL,2,1994,,5.51,12.15,1.57,0.77,2.03,0.21,0.00,0.00,0.00,1.32,8.52,15.02
CHL,2,1995,,35.57,1.88,26.79,12.59,3.64,3.75,0.00,0.00,0.00,0.00,0.51,16.56
CHL,2,1996,,14.66,20.36,5.28,8.12,9.94,0.00,0.00,0.32,0.72,2.86,10.61,32.64
CHL,2,1997,,27.21,0.55,2.13,2.88,1.30,2.12,0.00,0.77,0.93,4.92,14.30,6.01
CHL,2,1998,,26.21,24.04,7.13,8.65,7.42,2.43,0.00,0.00,0.45,1.54,14.41,7.08
CHL,2,1999,,14.76,19.13,5.98,3.47,0.93,0.26,0.00,0.20,0.00,3.74,6.03,1.34
CHL,2,2000,,16.03,26.12,7.76,4.04,3.33,0.65,0.00,0.00,1.12,7.22,1.97,3.96
CHL,2,2001,,6.40,7.94,4.15,3.57,0.08,0.30,0.00,0.00,0.86,2.56,11.75,18.64
CHL,2,2002,,7.95,5.11,10.05,1.28,1.95,m,m,m,m,m,m,26.82
CHL,2,2003,,7.49,3.64,6.69,15.42,3.42,m,m,m,m,0.43,3.70,10.02
CHL,2,2004,,3.87,8.05,1.17,1.45,0.46,0.01,0.20,0.00,0.57,10.24,3.97,13.56
CHL,2,2005,,9.07,4.56,13.25,3.70,12.13,2.06,0.00,0.00,0.27,2.84,6.84,36.21
CHL,2,2006,,10.72,m,m,14.62,0.98,m,m,m,m,0.05,6.03,10.68
CHL,2,2007,,0.57,12.67,0.92,5.56,1.38,m,m,m,1.22,4.27,1.60,m
CHL,2,2008,,8.80,5.96,1.24,0.76,0.51,0.00,0.00,m,m,2.43,m,3.08
CHL,2,2009,,4.33,8.34,5.52,1.32,5.44,0.78,0.02,0.00,0.18,3.44,2.71,6.67
CHL,2,2010,,8.63,6.13,4.18,9.33,4.07,m,m,m,m,m,m,m
CHL,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
CHL,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
CHL,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
CHL,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
CHL,2,,
'End of Data
