'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CHESTER (CHS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CHS,2,1990,,6.67,3.70,1.53,1.40,2.74,0.17,0.08,1.27,0.30,1.12,1.19,1.70
CHS,2,1991,,0.85,2.59,11.46,1.72,2.22,0.63,1.02,0.14,0.11,1.40,1.63,4.00
CHS,2,1992,,1.95,7.71,3.54,2.05,0.40,2.04,0.85,0.11,0.00,2.70,1.10,11.41
CHS,2,1993,,10.69,9.95,4.73,2.75,3.00,1.22,0.00,0.45,0.05,3.09,2.44,2.98
CHS,2,1994,,2.50,5.39,1.28,1.46,2.32,0.12,0.00,0.00,0.54,0.98,7.05,5.94
CHS,2,1995,,23.41,1.33,19.43,5.53,3.13,1.62,0.69,0.00,0.00,0.00,0.80,8.42
CHS,2,1996,,8.30,7.19,3.59,4.14,4.50,0.41,0.98,0.00,0.52,2.59,3.09,14.40
CHS,2,1997,,10.58,0.26,1.92,1.88,0.96,1.63,0.49,0.38,1.38,1.89,4.72,3.19
CHS,2,1998,,10.51,11.24,4.21,1.82,5.06,2.28,0.14,0.00,0.84,0.82,8.29,1.81
CHS,2,1999,,4.66,7.95,2.75,1.54,0.18,0.76,0.00,0.60,0.00,1.77,3.05,1.63
CHS,2,2000,,9.02,10.94,1.97,2.13,2.16,0.19,0.00,0.00,0.87,2.87,1.01,0.68
CHS,2,2001,,1.79,2.01,2.77,1.81,0.17,0.43,0.35,0.00,0.89,0.94,4.43,2.45
CHS,2,2002,,1.40,2.17,3.15,2.02,0.67,0.00,0.00,0.00,0.00,0.00,4.53,9.81
CHS,2,2003,,4.79,2.00,4.37,3.15,1.95,0.12,0.02,1.19,0.13,0.01,3.56,7.22
CHS,2,2004,,2.74,6.39,0.57,0.43,1.15,0.69,0.00,0.00,0.38,5.42,1.65,3.60
CHS,2,2005,,4.30,2.84,5.79,2.29,4.30,1.53,0.00,0.00,0.48,0.80,5.10,12.87
CHS,2,2006,,7.35,5.40,7.51,7.14,1.15,0.48,0.21,0.00,0.00,0.12,4.72,3.67
CHS,2,2007,,0.79,8.63,0.92,2.52,1.50,0.11,1.25,0.00,0.49,2.92,0.65,4.09
CHS,2,2008,,10.26,4.71,1.10,0.51,0.82,0.01,0.00,0.00,0.00,1.71,3.99,3.31
CHS,2,2009,,1.34,6.85,4.82,0.68,2.98,1.06,0.40,0.17,0.00,2.84,2.14,3.98
CHS,2,2010,,10.44,4.34,3.39,4.29,1.62,0.08,0.07,0.15,0.10,4.64,4.08,9.24
CHS,2,2011,,1.05,3.13,4.31,2.07,2.87,1.53,0.00,0.00,0.02,2.28,1.15,0.47
CHS,2,2012,,4.33,1.25,10.47,4.47,0.40,0.65,0.00,0.02,0.00,1.38,7.11,11.62
CHS,2,2013,,0.52,0.47,2.76,0.58,1.47,1.26,0.06,0.05,0.69,0.53,1.60,0.31
CHS,2,2014,,0.87,5.69,7.35,1.35,0.42,0.00,0.91,0.73,0.50,m,m,m
CHS,2,,
'End of Data
