'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station COLFAX (CLF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:05
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CLF,2,1990,,8.43,4.81,2.86,1.76,4.80,0.00,0.00,0.00,0.16,1.11,0.94,1.62
CLF,2,1991,,0.71,4.42,19.17,0.00,2.70,2.15,0.00,0.35,0.02,2.83,1.92,3.71
CLF,2,1992,,3.42,12.57,4.36,1.99,0.01,1.22,0.63,0.00,0.00,4.23,0.86,13.29
CLF,2,1993,,16.69,9.75,5.88,2.34,2.88,3.13,0.02,0.03,0.00,1.08,4.73,6.17
CLF,2,1994,,2.64,7.39,1.36,2.82,1.10,0.13,0.00,0.00,0.38,1.15,11.00,9.86
CLF,2,1995,,22.50,1.23,19.63,5.77,4.42,1.89,0.00,0.00,0.00,0.00,0.31,13.28
CLF,2,1996,,11.13,12.48,4.76,6.00,9.00,0.50,0.00,0.00,0.47,2.47,7.86,26.42
CLF,2,1997,,21.28,0.76,1.30,1.98,0.66,1.49,0.00,0.71,0.72,3.64,8.10,4.81
CLF,2,1998,,17.71,18.40,6.06,5.97,6.82,0.56,0.00,0.00,1.23,1.01,11.30,3.70
CLF,2,1999,,10.68,14.61,5.04,2.99,1.24,0.14,0.00,0.17,0.00,1.87,5.58,1.65
CLF,2,2000,,13.38,20.61,4.00,3.02,3.45,0.57,0.00,0.00,1.32,4.31,1.69,2.80
CLF,2,2001,,6.31,8.42,3.50,4.10,0.00,0.16,0.00,0.00,0.38,1.70,7.30,11.86
CLF,2,2002,,4.29,5.06,8.98,1.34,2.20,0.00,0.00,0.00,0.00,0.00,4.89,16.59
CLF,2,2003,,3.84,1.98,6.02,8.34,1.90,0.00,0.03,1.21,0.10,0.37,4.50,13.69
CLF,2,2004,,4.45,12.69,1.05,1.00,0.54,0.00,0.00,0.00,0.33,6.12,4.37,7.72
CLF,2,2005,,8.86,4.92,9.62,3.19,6.68,2.19,0.00,0.00,0.27,1.16,2.83,16.86
CLF,2,2006,,6.45,6.00,10.24,7.59,1.48,0.00,0.00,0.00,0.00,0.46,2.92,6.01
CLF,2,2007,,1.12,11.37,0.88,3.03,1.09,0.19,0.00,0.00,0.84,2.43,1.62,8.08
CLF,2,2008,,7.89,3.72,1.43,0.42,0.02,0.00,0.00,0.00,0.00,1.32,3.39,5.02
CLF,2,2009,,1.47,7.83,3.01,0.90,3.84,0.33,0.00,0.03,0.12,3.93,1.93,5.55
CLF,2,2010,,7.07,5.80,3.78,7.04,3.03,0.05,0.00,0.00,0.00,5.81,6.84,13.11
CLF,2,2011,,1.13,4.22,16.07,1.56,2.01,2.27,0.00,0.00,0.00,3.01,1.78,0.11
CLF,2,2012,,6.29,3.54,17.34,6.06,0.37,0.62,0.05,m,m,0.35,12.36,13.42
CLF,2,2013,,1.17,0.57,3.44,1.12,1.28,1.68,0.00,m,0.88,0.38,1.79,0.60
CLF,2,2014,,1.14,13.63,7.26,2.10,0.71,0.00,0.01,0.15,m,m,m,m
CLF,2,,
'End of Data
