'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station COALINGA (CLN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:05
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CLN,2,1990,,1.65,0.51,0.12,0.38,0.84,0.00,0.00,0.00,0.83,0.03,0.02,0.12
CLN,2,1991,,0.55,1.41,5.85,0.09,0.01,0.00,0.00,0.02,0.00,0.01,0.08,1.89
CLN,2,1992,,1.29,4.20,3.37,0.02,0.00,0.00,0.06,0.00,0.00,0.96,0.00,1.76
CLN,2,1993,,6.15,3.51,2.10,0.05,0.13,0.15,0.00,0.00,0.00,0.09,0.10,1.31
CLN,2,1994,,1.00,1.95,0.65,0.24,0.43,0.00,0.00,0.00,0.39,0.74,0.94,0.21
CLN,2,1995,,6.52,0.67,6.33,0.36,0.07,0.06,0.00,0.00,0.00,0.00,0.00,1.24
CLN,2,1996,,2.25,3.07,0.82,0.23,0.08,0.00,0.00,0.00,0.00,1.51,0.80,2.55
CLN,2,1997,,3.18,0.12,0.01,0.04,0.00,0.00,0.00,0.00,0.02,0.00,1.02,1.27
CLN,2,1998,,0.90,7.74,2.50,0.75,2.30,0.70,0.00,0.00,0.00,0.23,0.75,0.16
CLN,2,1999,,1.48,0.22,0.22,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00
CLN,2,2000,,1.39,1.32,0.66,0.67,0.00,0.00,0.00,0.00,0.00,0.88,0.03,0.26
CLN,2,2001,,1.84,2.41,3.32,0.01,0.01,0.00,0.00,0.00,0.00,0.07,1.45,0.86
CLN,2,2002,,0.20,0.06,0.53,0.53,0.11,0.00,0.00,0.00,0.01,0.04,0.91,2.36
CLN,2,2003,,0.25,1.91,1.16,1.16,0.95,0.00,0.00,0.06,0.00,0.06,0.22,1.66
CLN,2,2004,,0.51,2.33,0.35,0.01,0.00,0.00,0.00,0.00,0.00,1.70,0.54,2.59
CLN,2,2005,,3.23,2.12,0.60,0.99,1.46,0.00,0.00,0.00,0.53,0.02,0.10,0.51
CLN,2,2006,,3.08,0.06,m,0.06,m,0.00,0.02,0.00,0.00,0.05,0.01,0.40
CLN,2,2007,,0.24,1.30,0.03,0.24,0.00,0.00,0.00,0.15,0.22,0.31,0.03,1.08
CLN,2,2008,,4.70,0.51,0.06,0.06,0.01,0.00,0.00,0.00,0.00,0.01,0.11,0.96
CLN,2,2009,,1.77,1.72,0.44,0.33,0.15,0.20,0.00,0.00,0.03,0.56,0.21,1.68
CLN,2,2010,,1.72,1.66,0.31,1.82,0.00,0.00,0.00,0.00,0.00,0.04,0.33,1.63
CLN,2,2011,,1.32,0.14,2.28,0.05,0.24,0.05,0.00,0.00,0.01,0.32,0.98,0.00
CLN,2,2012,,0.62,0.02,1.08,1.93,0.00,0.00,0.00,0.00,0.00,0.01,m,m
CLN,2,2013,,m,0.38,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.05
CLN,2,2014,,0.00,1.57,0.59,0.42,0.00,0.00,0.00,0.00,0.00,m,m,m
CLN,2,,
'End of Data
