'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CHINA LAKE ARMITAGE (CNL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CNL,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
CNL,2,1996,,m,m,m,m,m,m,m,m,m,0.38,0.31,0.67
CNL,2,1997,,0.19,0.00,0.00,0.00,0.03,0.04,0.44,0.00,2.68,0.00,0.37,0.50
CNL,2,1998,,0.13,3.74,0.50,0.00,0.97,0.00,0.10,0.06,0.35,0.00,0.12,0.00
CNL,2,1999,,0.17,0.03,0.12,0.82,0.01,0.00,0.07,0.00,0.07,0.00,0.00,0.00
CNL,2,2000,,0.10,0.58,0.80,0.03,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00
CNL,2,2001,,1.29,2.36,0.17,0.03,0.04,0.00,0.09,0.00,0.05,0.15,0.30,0.13
CNL,2,2002,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.20,0.84
CNL,2,2003,,0.02,1.78,0.11,0.10,0.07,0.00,0.58,0.04,m,m,m,m
CNL,2,2004,,m,m,m,m,m,m,m,m,m,1.11,0.00,2.52
CNL,2,2005,,2.59,2.55,0.53,0.06,0.00,0.00,0.13,0.44,0.52,0.93,0.00,0.16
CNL,2,2006,,0.57,0.50,0.62,0.08,0.00,0.02,0.11,0.00,0.00,1.19,0.00,0.12
CNL,2,2007,,0.08,0.10,0.08,0.23,m,m,m,m,m,0.00,0.30,0.06
CNL,2,2008,,1.41,0.12,0.00,0.00,0.00,0.00,0.64,0.00,0.03,0.10,1.58,0.16
CNL,2,2009,,0.11,0.77,0.01,0.00,m,m,m,m,m,0.00,0.07,0.34
CNL,2,2010,,1.61,0.95,0.01,0.08,0.09,0.00,0.01,0.21,0.00,0.72,0.01,2.09
CNL,2,2011,,0.20,0.34,0.44,0.00,0.00,0.00,0.02,0.05,0.11,0.02,0.26,0.09
CNL,2,2012,,0.13,0.07,0.20,0.18,0.00,0.00,0.00,0.26,m,0.03,0.00,0.02
CNL,2,2013,,0.32,0.00,0.19,0.00,0.00,m,m,m,0.01,0.00,0.54,0.00
CNL,2,2014,,0.00,0.78,0.01,0.00,m,m,m,m,m,m,m,m
CNL,2,,
'End of Data
