'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CANYON DAM (CNY), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CNY,2,1990,,4.42,4.27,1.86,1.72,4.00,0.29,0.00,0.94,0.28,1.17,1.44,1.43
CNY,2,1991,,0.64,2.34,12.01,1.95,1.24,0.92,0.04,0.31,0.00,1.43,1.67,3.39
CNY,2,1992,,1.74,6.15,2.07,2.25,0.31,1.33,0.09,0.23,0.00,3.33,0.51,10.83
CNY,2,1993,,12.56,7.76,3.15,1.35,2.76,1.57,0.00,0.42,0.00,2.65,2.37,4.04
CNY,2,1994,,2.34,5.85,1.45,1.40,2.08,0.21,0.00,0.00,0.31,1.03,7.23,5.90
CNY,2,1995,,20.95,1.95,16.24,7.88,4.03,2.77,0.21,0.19,0.00,0.00,0.32,9.93
CNY,2,1996,,10.02,10.73,5.39,4.92,5.59,0.11,0.62,0.00,0.31,1.84,4.11,19.37
CNY,2,1997,,12.97,0.57,2.29,1.17,0.54,2.60,0.14,0.20,1.37,2.33,5.34,3.90
CNY,2,1998,,10.95,13.53,4.84,2.06,6.60,1.80,0.60,0.00,0.77,0.61,10.13,3.40
CNY,2,1999,,6.48,9.74,2.48,0.77,0.28,0.60,0.17,0.35,0.00,2.27,4.34,1.20
CNY,2,2000,,10.98,10.69,2.39,2.30,1.14,0.10,0.00,0.00,0.25,3.11,1.44,1.64
CNY,2,2001,,2.74,5.69,3.21,2.27,0.01,0.35,0.00,0.00,0.90,1.10,5.19,8.20
CNY,2,2002,,3.84,2.60,3.54,1.25,1.14,0.02,0.00,0.00,0.00,0.14,5.12,16.21
CNY,2,2003,,4.24,1.96,4.67,6.06,1.45,0.00,0.00,1.51,0.02,0.00,3.21,10.97
CNY,2,2004,,3.23,11.20,1.10,0.87,1.25,0.33,0.00,0.00,0.28,5.43,1.55,6.44
CNY,2,2005,,6.93,2.80,5.46,2.59,6.94,2.09,0.00,0.00,0.73,1.04,5.39,18.68
CNY,2,2006,,4.21,5.99,8.42,8.98,0.67,0.21,0.00,0.00,0.00,0.20,3.18,3.25
CNY,2,2007,,0.34,7.40,0.54,2.15,1.07,0.30,0.00,0.12,0.50,3.28,0.96,3.87
CNY,2,2008,,10.03,4.75,1.11,0.60,1.25,0.01,0.00,0.00,0.04,2.00,8.31,4.01
CNY,2,2009,,1.83,8.94,6.08,0.97,3.01,1.05,0.00,0.15,0.01,2.93,2.40,3.13
CNY,2,2010,,9.20,3.14,5.29,4.74,3.17,0.27,0.52,0.36,0.18,4.60,5.28,12.27
CNY,2,2011,,1.05,6.09,9.92,2.42,3.73,2.92,0.00,0.00,0.24,2.45,1.52,0.13
CNY,2,2012,,5.00,2.44,11.44,4.97,0.24,0.87,0.00,0.00,0.00,2.07,9.41,12.69
CNY,2,2013,,1.34,1.18,2.62,0.87,1.55,1.10,0.70,0.30,1.05,1.23,1.25,0.42
CNY,2,2014,,1.61,6.38,7.80,1.24,0.54,0.00,0.00,1.09,0.53,m,m,m
CNY,2,,
'End of Data
