'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station COVELO 1 NNE (COV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:07
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
COV,2,1990,,7.59,4.10,2.45,0.71,7.26,0.04,0.00,0.00,0.08,1.74,0.58,1.36
COV,2,1991,,1.32,2.89,12.75,1.50,0.70,0.14,0.00,0.09,0.03,2.26,2.66,2.21
COV,2,1992,,3.21,9.07,3.95,1.91,0.37,2.04,0.00,0.03,0.00,3.86,1.78,16.57
COV,2,1993,,12.27,6.83,4.66,3.74,5.05,1.20,0.00,0.07,0.00,1.44,1.25,6.05
COV,2,1994,,5.00,6.29,1.46,2.66,1.85,0.12,0.03,0.00,0.00,0.16,6.69,5.33
COV,2,1995,,24.35,1.54,15.67,5.92,2.47,0.84,0.41,0.00,0.00,0.02,0.68,16.05
COV,2,1996,,14.72,9.44,4.77,4.31,3.41,0.09,0.00,0.00,0.55,1.62,5.53,19.75
COV,2,1997,,14.19,2.11,2.96,2.62,1.36,1.42,0.00,0.92,0.71,3.15,6.49,6.60
COV,2,1998,,19.79,15.82,7.95,2.33,3.89,0.12,0.00,0.00,0.02,1.67,9.67,2.37
COV,2,1999,,5.53,15.88,5.05,2.10,0.27,0.06,0.00,0.33,0.00,2.28,5.92,1.78
COV,2,2000,,9.73,11.17,2.18,1.79,1.73,0.16,0.05,0.00,0.17,4.10,2.02,2.49
COV,2,2001,,5.48,6.20,3.01,1.73,0.00,1.07,0.00,0.00,0.30,1.20,10.82,12.36
COV,2,2002,,5.87,3.59,2.73,0.97,1.15,0.00,0.00,0.00,0.00,0.00,5.97,21.68
COV,2,2003,,6.01,2.27,4.70,10.63,0.67,0.00,0.00,0.93,0.15,0.00,6.24,13.42
COV,2,2004,,6.30,10.57,1.88,0.97,0.23,0.02,0.00,0.00,0.03,3.96,1.38,10.13
COV,2,2005,,6.27,3.93,7.36,3.67,5.67,1.93,0.00,0.00,m,0.42,6.71,23.23
COV,2,2006,,8.27,6.07,9.28,6.52,0.70,0.21,0.00,0.00,0.01,0.06,4.20,7.02
COV,2,2007,,0.87,10.39,1.14,2.80,0.86,0.15,0.45,0.01,0.28,3.75,0.94,7.35
COV,2,2008,,12.22,4.77,0.88,1.08,0.86,0.07,m,0.00,0.30,1.73,2.58,5.08
COV,2,2009,,1.51,6.64,3.76,0.59,3.77,1.35,0.00,0.91,0.00,2.68,2.42,4.91
COV,2,2010,,10.92,4.27,4.52,6.45,2.57,0.60,0.00,0.00,0.04,8.45,4.36,10.52
COV,2,2011,,2.20,3.90,12.12,m,3.36,1.19,0.02,0.00,0.10,4.22,2.88,1.11
COV,2,2012,,7.19,2.30,10.56,3.14,0.12,0.56,m,0.00,0.00,2.48,6.07,11.92
COV,2,2013,,1.52,0.99,2.70,2.35,0.40,0.29,m,0.00,m,0.01,2.11,0.40
COV,2,2014,,0.50,9.20,8.69,m,0.16,0.00,m,m,m,m,m,m
COV,2,,
'End of Data
