'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CAMP PARDEE (CPD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:07
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CPD,2,1990,,4.57,2.91,1.80,1.99,2.55,0.01,0.03,0.00,0.00,0.22,0.93,1.06
CPD,2,1991,,0.50,1.55,11.39,0.80,0.69,1.46,0.00,0.29,0.00,2.51,0.53,1.74
CPD,2,1992,,1.66,5.86,2.71,0.59,0.00,0.56,0.06,0.00,0.00,1.03,0.25,6.36
CPD,2,1993,,8.02,6.74,4.15,1.04,1.75,1.02,0.00,0.00,0.00,0.20,2.89,2.64
CPD,2,1994,,2.47,3.95,0.20,2.09,1.05,0.00,0.00,0.00,0.31,0.73,3.61,3.61
CPD,2,1995,,10.50,0.65,9.06,3.63,2.57,1.52,0.00,0.00,0.00,0.00,0.25,5.12
CPD,2,1996,,5.14,4.55,3.25,2.28,5.70,0.06,0.00,0.00,0.02,1.32,4.25,8.64
CPD,2,1997,,8.25,0.62,0.20,0.62,0.20,0.36,0.00,0.10,0.00,1.85,3.96,2.12
CPD,2,1998,,8.73,9.37,4.26,3.38,4.75,0.19,0.01,0.00,0.23,0.59,3.16,2.12
CPD,2,1999,,4.95,6.16,2.06,1.09,0.54,0.35,0.00,0.03,0.00,0.47,3.27,0.37
CPD,2,2000,,6.28,8.58,1.36,1.75,2.50,0.40,0.00,0.00,0.50,4.73,0.61,0.66
CPD,2,2001,,3.31,3.76,1.58,1.91,0.00,0.15,0.00,0.00,0.33,0.75,2.54,6.02
CPD,2,2002,,2.03,2.44,3.57,0.63,1.35,0.00,0.00,0.00,0.00,0.00,1.68,5.44
CPD,2,2003,,0.71,1.40,1.53,5.00,0.59,0.00,0.00,0.20,0.02,0.00,1.82,6.26
CPD,2,2004,,2.08,5.73,0.93,0.18,0.22,0.00,0.00,0.00,0.52,3.72,2.04,4.36
CPD,2,2005,,5.60,3.16,5.53,1.12,2.20,0.83,0.00,m,m,0.23,0.78,8.88
CPD,2,2006,,4.89,1.64,8.04,7.44,1.33,0.00,0.00,0.00,0.00,0.32,1.36,3.59
CPD,2,2007,,0.71,5.59,0.72,1.89,0.39,0.00,0.01,0.00,0.14,1.00,0.98,3.68
CPD,2,2008,,5.84,2.21,0.09,0.08,0.53,0.00,0.00,0.00,0.00,0.56,1.79,2.37
CPD,2,2009,,2.84,4.34,2.83,0.93,1.52,0.17,0.00,0.00,0.13,1.55,0.57,3.73
CPD,2,2010,,5.68,2.97,2.52,4.80,1.52,0.03,0.00,0.00,0.00,2.46,4.01,6.53
CPD,2,2011,,2.43,4.70,6.11,0.51,1.81,1.65,0.01,0.00,0.34,2.08,0.87,0.06
CPD,2,2012,,2.68,1.34,6.10,4.37,0.07,0.31,0.03,0.00,0.13,0.62,3.98,5.76
CPD,2,2013,,1.03,0.38,2.04,0.81,0.59,0.16,0.00,0.00,0.82,0.00,1.67,0.25
CPD,2,2014,,0.55,4.73,3.31,1.65,0.11,0.00,0.00,0.00,0.32,m,m,m
CPD,2,,
'End of Data
