'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CAPLES (TWIN) LAKE (CPT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:07
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CPT,2,1990,,6.03,5.06,2.80,3.56,3.25,0.29,0.67,1.33,0.92,1.07,1.40,2.19
CPT,2,1991,,0.23,2.25,16.82,1.72,2.95,0.84,0.68,0.00,0.72,4.22,2.43,2.47
CPT,2,1992,,2.10,5.69,3.26,1.09,0.79,2.38,2.32,1.97,0.21,5.26,0.84,14.45
CPT,2,1993,,12.04,8.66,5.65,3.13,2.14,2.31,0.00,0.17,0.00,2.01,1.97,3.35
CPT,2,1994,,2.20,7.98,1.09,3.42,2.63,0.00,0.11,0.00,1.25,2.06,12.16,4.77
CPT,2,1995,,17.19,0.89,18.79,5.79,6.38,2.20,0.54,0.09,0.00,0.00,0.12,11.10
CPT,2,1996,,11.94,14.42,7.52,3.74,5.91,1.42,0.13,0.45,0.47,4.37,7.72,16.62
CPT,2,1997,,22.13,1.75,0.85,3.17,1.86,0.00,0.06,0.06,0.82,2.11,4.81,3.90
CPT,2,1998,,11.97,18.08,7.04,0.93,6.65,2.28,0.00,0.00,4.83,1.85,7.44,3.86
CPT,2,1999,,10.29,13.12,3.15,4.66,0.86,0.87,0.00,1.85,0.44,1.75,3.76,0.48
CPT,2,2000,,12.41,11.18,1.68,1.34,3.22,0.27,0.00,0.36,0.00,3.05,1.57,2.05
CPT,2,2001,,4.45,3.95,3.36,5.02,0.33,1.15,0.04,0.00,1.05,1.60,7.47,11.15
CPT,2,2002,,3.15,2.72,5.80,2.14,0.94,0.01,0.05,0.00,0.43,0.07,4.06,11.66
CPT,2,2003,,1.48,2.78,1.66,9.45,2.47,m,m,m,m,0.00,3.11,12.29
CPT,2,2004,,5.00,0.03,1.58,0.03,0.57,1.95,1.65,0.30,m,6.21,2.41,7.71
CPT,2,2005,,9.14,4.23,m,m,m,m,m,m,m,1.16,3.19,17.00
CPT,2,2006,,8.49,9.55,12.44,8.44,2.70,0.68,0.14,0.10,m,0.00,3.87,5.17
CPT,2,2007,,1.66,8.22,1.66,2.31,1.51,0.50,0.23,0.40,0.46,1.56,1.12,4.46
CPT,2,2008,,9.52,4.42,1.10,0.34,2.62,0.00,0.09,0.00,0.01,2.11,4.43,5.07
CPT,2,2009,,2.14,4.80,6.97,1.83,5.31,1.18,0.02,0.24,0.01,5.44,1.83,4.95
CPT,2,2010,,7.84,4.67,4.38,6.66,3.53,0.16,0.36,0.19,0.00,6.97,6.51,11.67
CPT,2,2011,,1.49,6.30,12.91,2.59,3.07,3.55,1.03,0.00,0.81,3.25,1.27,0.09
CPT,2,2012,,5.09,2.22,6.45,3.78,1.11,1.08,0.07,1.36,0.08,2.14,6.44,11.31
CPT,2,2013,,1.44,0.51,3.17,1.32,3.13,0.88,0.25,0.23,m,1.11,1.32,1.33
CPT,2,2014,,3.10,9.35,4.95,1.61,1.79,0.37,1.46,0.58,1.60,m,m,m
CPT,2,,
'End of Data
