'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CROOKED CREEK (LONG VALLEY) (CRC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:08
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CRC,2,1990,,1.30,0.83,0.20,0.39,0.18,0.43,0.35,0.13,0.26,0.00,0.01,0.05
CRC,2,1991,,0.26,0.28,5.69,0.00,0.04,0.02,0.15,0.24,0.98,0.58,0.13,1.44
CRC,2,1992,,0.45,2.29,0.81,0.10,0.16,0.08,0.55,0.19,0.20,0.88,0.00,3.05
CRC,2,1993,,5.57,5.84,2.60,0.00,0.02,0.27,0.00,0.27,0.00,0.19,0.75,0.30
CRC,2,1994,,0.10,1.50,0.88,0.18,0.53,0.00,0.33,0.07,0.86,0.60,0.78,0.40
CRC,2,1995,,5.15,0.39,5.83,0.52,1.69,1.14,0.36,0.12,0.06,0.01,0.00,2.48
CRC,2,1996,,1.06,3.99,0.53,1.53,0.29,0.06,1.05,0.35,0.08,0.68,2.07,2.47
CRC,2,1997,,3.93,0.06,0.13,0.01,0.87,1.02,1.61,0.26,0.42,0.35,1.51,1.47
CRC,2,1998,,0.65,6.13,0.68,0.91,0.86,1.70,0.65,0.09,0.91,0.12,0.45,0.25
CRC,2,1999,,1.32,1.13,0.13,0.59,0.72,0.10,0.58,0.27,0.61,0.00,0.10,0.00
CRC,2,2000,,1.53,1.93,1.28,0.70,0.00,0.10,0.00,0.48,0.01,0.33,0.00,0.00
CRC,2,2001,,1.07,1.18,2.34,0.56,0.03,0.00,0.95,0.18,0.00,0.26,1.38,1.04
CRC,2,2002,,0.55,0.05,0.50,0.61,0.00,0.07,0.10,0.22,0.12,0.00,3.18,2.72
CRC,2,2003,,0.07,1.16,0.50,0.08,0.93,0.40,0.84,0.59,0.01,0.00,0.84,1.67
CRC,2,2004,,0.42,2.65,0.24,0.02,0.17,0.03,0.02,0.10,0.00,1.26,0.84,1.92
CRC,2,2005,,3.30,1.72,1.79,0.16,0.41,0.18,0.15,0.85,0.37,0.15,0.17,2.71
CRC,2,2006,,5.24,1.52,1.60,1.39,0.15,0.00,0.00,0.00,0.00,0.39,0.00,0.32
CRC,2,2007,,0.34,1.12,0.12,0.34,0.00,0.01,0.18,0.22,0.79,0.19,0.09,1.34
CRC,2,2008,,3.92,1.06,0.01,0.01,0.70,0.00,0.19,0.55,0.17,0.01,0.72,1.36
CRC,2,2009,,0.32,1.19,0.70,0.02,0.41,1.08,0.66,0.16,0.36,3.43,0.05,1.33
CRC,2,2010,,2.85,2.42,0.17,0.65,0.06,0.02,0.91,0.01,0.00,2.52,0.53,6.79
CRC,2,2011,,0.04,1.61,3.49,0.30,0.35,0.08,0.66,0.05,0.23,0.90,0.32,0.00
CRC,2,2012,,0.97,0.08,0.58,0.21,0.00,0.05,0.04,1.03,0.13,0.24,0.42,2.12
CRC,2,2013,,0.06,0.00,0.00,0.02,0.30,0.06,0.39,m,0.10,0.12,0.02,0.07
CRC,2,2014,,0.25,0.45,1.31,0.28,0.42,0.02,1.15,0.31,0.27,m,m,m
CRC,2,,
'End of Data
