'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CRANE VALLEY RESERVOIR (PG&E) (CRR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:08
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CRR,2,1999,,m,m,m,m,m,m,m,m,m,0.05,2.53,0.03
CRR,2,2000,,12.10,14.26,2.49,2.79,1.46,0.82,0.00,0.01,0.65,3.34,0.39,0.46
CRR,2,2001,,5.67,7.39,2.40,4.45,0.00,0.00,0.11,0.00,0.00,0.95,6.10,8.75
CRR,2,2002,,2.04,1.30,6.03,0.83,1.50,0.07,0.00,0.00,0.11,0.13,8.53,9.28
CRR,2,2003,,0.46,2.55,3.05,5.79,2.34,0.00,0.20,1.25,0.00,0.00,2.08,8.77
CRR,2,2004,,2.92,6.45,1.34,1.01,0.42,0.00,0.00,0.00,0.00,8.01,2.24,8.22
CRR,2,2005,,10.46,5.58,7.26,2.01,2.38,0.25,0.00,0.08,0.39,0.56,0.47,7.94
CRR,2,2006,,13.93,3.15,9.95,9.00,0.96,0.00,0.00,0.00,0.00,0.48,1.11,4.42
CRR,2,2007,,1.11,7.88,0.93,1.14,0.14,0.00,0.00,0.13,0.31,1.08,0.26,5.13
CRR,2,2008,,11.72,7.63,0.70,0.01,1.02,0.00,0.02,0.00,0.00,1.31,2.82,5.10
CRR,2,2009,,5.20,7.68,3.32,1.29,2.19,0.78,0.00,0.24,0.00,7.89,0.40,8.05
CRR,2,2010,,8.09,7.45,3.12,6.53,0.97,0.00,0.00,0.00,0.00,5.83,4.34,15.88
CRR,2,2011,,3.10,7.05,7.45,0.95,3.00,1.96,0.03,0.00,0.02,2.43,1.22,0.00
CRR,2,2012,,6.90,1.81,6.42,3.62,0.02,0.00,0.00,0.00,0.00,1.29,4.49,9.65
CRR,2,2013,,0.88,0.83,2.42,0.68,0.40,0.00,0.03,0.00,0.50,1.25,0.95,0.99
CRR,2,2014,,1.43,5.04,1.99,3.42,0.56,0.00,0.01,0.00,0.88,m,m,m
CRR,2,,
'End of Data
