'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SANTA CRUZ (CRZ), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:08
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CRZ,2,1990,,2.64,3.33,2.65,0.43,4.11,0.03,0.00,0.00,0.21,0.67,0.47,1.65
CRZ,2,1991,,0.81,4.92,10.60,0.80,0.06,0.26,0.02,0.04,0.06,2.26,1.51,4.25
CRZ,2,1992,,3.19,11.10,4.35,0.28,0.00,0.55,0.00,0.02,0.00,1.18,0.23,7.10
CRZ,2,1993,,13.85,8.02,3.44,1.37,0.94,0.56,0.00,0.00,0.00,0.61,2.70,4.00
CRZ,2,1994,,2.59,8.18,0.74,1.82,1.98,0.00,0.00,0.00,0.06,0.36,4.88,3.24
CRZ,2,1995,,17.56,0.47,8.49,5.13,1.34,1.54,0.00,0.00,0.00,0.00,0.19,6.64
CRZ,2,1996,,8.40,9.20,3.15,1.58,2.43,0.00,0.00,0.00,0.00,2.44,7.33,13.74
CRZ,2,1997,,10.12,0.29,1.26,0.70,0.07,0.19,0.00,0.45,0.01,0.47,9.59,3.67
CRZ,2,1998,,15.58,18.63,4.68,3.11,3.87,0.14,0.00,0.00,0.08,0.88,5.30,1.74
CRZ,2,1999,,7.44,10.66,4.08,2.97,0.04,0.34,0.00,0.02,0.18,0.29,3.41,0.77
CRZ,2,2000,,11.84,14.06,2.41,1.50,1.27,0.19,0.00,0.22,0.31,4.74,1.26,1.03
CRZ,2,2001,,5.92,7.00,3.29,1.76,0.00,0.10,0.00,0.02,0.20,0.70,6.28,11.07
CRZ,2,2002,,3.73,2.28,3.52,0.35,0.81,0.00,0.00,0.04,0.04,0.04,4.27,15.21
CRZ,2,2003,,1.85,1.86,1.45,3.53,0.78,0.07,0.00,0.01,0.00,0.31,3.36,9.93
CRZ,2,2004,,3.27,5.62,1.34,0.43,0.09,0.00,0.06,0.00,0.02,5.80,1.23,10.28
CRZ,2,2005,,5.98,6.26,7.65,3.03,1.34,1.01,0.01,0.02,0.01,0.12,1.82,12.62
CRZ,2,2006,,6.37,2.76,10.99,7.20,0.78,0.00,0.00,0.00,0.00,0.14,3.26,4.73
CRZ,2,2007,,0.80,5.86,0.33,1.53,0.55,0.00,0.00,0.00,0.38,1.40,0.54,3.83
CRZ,2,2008,,12.16,6.10,0.51,0.48,0.00,0.00,0.01,0.00,0.01,1.20,3.70,3.00
CRZ,2,2009,,1.84,10.30,2.07,0.42,1.67,0.00,0.00,0.00,0.36,4.08,0.19,4.06
CRZ,2,2010,,8.19,5.78,3.17,4.47,0.74,0.00,0.02,0.03,0.01,3.16,4.01,9.37
CRZ,2,2011,,2.19,5.75,10.87,0.66,1.53,2.35,0.01,0.06,0.05,2.63,2.54,0.13
CRZ,2,2012,,3.68,0.94,7.38,3.10,0.06,0.19,0.03,0.00,0.02,0.53,5.56,7.95
CRZ,2,2013,,0.90,0.31,1.45,0.93,0.02,0.16,0.03,0.00,0.19,0.07,0.72,0.29
CRZ,2,2014,,0.05,7.19,3.76,1.21,0.04,0.02,0.13,0.00,0.92,m,m,m
CRZ,2,,
'End of Data
