'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station COTTONWOOD GATES (CTT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:09
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CTT,2,1990,,0.45,0.51,0.00,0.11,0.10,0.00,1.40,0.01,0.44,0.00,0.00,0.00
CTT,2,1991,,0.04,0.68,4.12,0.00,0.00,0.00,0.02,0.00,0.62,0.12,0.12,0.48
CTT,2,1992,,0.41,2.99,1.50,0.25,0.30,0.13,0.25,0.00,0.00,0.94,0.00,2.46
CTT,2,1993,,1.24,1.28,1.00,0.00,0.00,0.04,0.00,0.00,0.00,0.10,0.14,0.13
CTT,2,1994,,0.03,1.78,0.43,0.23,0.19,0.00,0.00,0.00,0.38,0.18,0.06,0.43
CTT,2,1995,,4.65,1.09,3.13,0.10,0.40,0.15,0.03,0.04,0.89,0.00,0.00,1.31
CTT,2,1996,,0.25,2.10,1.00,0.34,0.11,0.01,0.31,0.14,0.02,0.38,0.93,1.51
CTT,2,1997,,1.80,0.08,0.00,0.00,0.00,0.47,1.13,0.09,1.67,0.00,0.32,1.58
CTT,2,1998,,0.50,6.36,0.27,0.94,0.35,0.57,0.19,0.18,0.31,0.06,0.09,0.00
CTT,2,1999,,1.28,0.24,0.30,0.30,0.11,0.00,0.55,0.01,0.33,0.00,0.00,0.00
CTT,2,2000,,0.24,2.04,1.15,0.20,0.00,0.00,0.00,0.19,0.00,0.09,0.00,0.00
CTT,2,2001,,1.87,1.59,1.48,0.68,0.02,0.00,0.77,0.00,0.13,0.01,1.28,0.28
CTT,2,2002,,0.01,0.00,0.04,0.00,0.01,0.00,0.95,0.00,0.00,0.00,5.04,2.90
CTT,2,2003,,0.01,1.76,0.49,0.50,0.01,0.00,1.27,0.23,0.26,0.00,0.30,0.18
CTT,2,2004,,0.09,3.10,0.08,0.15,0.05,0.00,0.04,0.20,0.00,1.07,1.00,2.57
CTT,2,2005,,5.25,2.28,0.66,0.12,0.10,0.00,0.00,0.29,1.03,0.34,0.24,1.79
CTT,2,2006,,3.26,1.17,0.59,0.56,0.25,0.44,0.64,0.00,0.12,0.32,0.00,0.16
CTT,2,2007,,0.38,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
CTT,2,2008,,m,0.22,0.00,0.00,0.01,0.00,0.09,0.00,0.03,0.00,1.63,0.80
CTT,2,2009,,0.01,1.64,0.18,0.06,0.00,0.58,0.05,0.01,0.04,1.44,0.00,2.35
CTT,2,2010,,3.57,1.09,0.00,0.39,0.00,0.00,0.19,0.00,0.01,0.27,0.37,5.38
CTT,2,2011,,0.13,0.68,1.40,0.00,0.00,0.00,0.81,0.01,0.29,1.10,0.07,0.02
CTT,2,2012,,2.78,0.02,0.36,0.11,0.00,0.00,0.35,0.43,0.15,0.26,0.02,0.19
CTT,2,2013,,0.17,0.00,0.00,0.00,0.03,0.00,0.84,m,0.00,0.09,0.25,0.07
CTT,2,2014,,0.08,0.56,0.75,0.03,0.04,0.00,0.05,0.98,0.17,m,m,m
CTT,2,,
'End of Data
