'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CUYAMACA DAM (CUY), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:09
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CUY,2,1990,,6.47,4.36,2.42,2.30,1.22,0.70,0.14,1.35,0.15,0.16,2.20,2.99
CUY,2,1991,,1.64,3.95,19.98,0.34,0.05,0.00,0.06,2.57,0.69,2.03,0.98,5.34
CUY,2,1992,,4.79,7.55,9.84,1.53,0.29,0.00,0.29,1.89,0.11,3.05,0.08,8.73
CUY,2,1993,,28.47,13.76,4.16,0.00,0.00,1.58,0.00,0.00,0.00,0.46,4.72,3.66
CUY,2,1994,,2.98,9.09,5.03,4.75,0.35,0.00,0.00,1.09,0.15,0.45,3.70,2.80
CUY,2,1995,,17.86,7.91,16.57,2.56,2.81,1.36,0.13,0.12,0.67,0.00,0.34,1.48
CUY,2,1996,,2.54,6.12,5.37,1.77,0.14,0.00,0.17,0.26,1.01,2.29,3.58,5.69
CUY,2,1997,,8.29,2.29,0.75,0.42,0.10,0.22,0.00,0.24,3.52,0.84,4.61,5.42
CUY,2,1998,,5.87,17.60,7.66,6.88,4.37,0.26,0.00,0.00,0.06,0.21,6.07,1.92
CUY,2,1999,,1.57,2.44,1.84,1.60,0.11,1.24,1.08,0.13,2.20,0.00,0.10,0.34
CUY,2,2000,,1.79,9.84,2.79,2.38,0.07,0.08,0.00,0.88,0.40,1.52,0.85,0.15
CUY,2,2001,,1.75,9.12,1.43,2.40,0.05,0.00,0.00,0.23,1.44,0.02,2.43,2.58
CUY,2,2002,,0.51,0.38,1.82,1.12,0.00,0.00,0.00,0.00,0.67,0.07,5.19,4.72
CUY,2,2003,,0.70,9.86,4.95,3.05,2.36,0.00,0.51,2.42,0.16,0.00,2.03,4.72
CUY,2,2004,,2.34,6.55,1.10,2.05,0.00,0.00,0.06,0.25,0.00,15.35,2.29,7.92
CUY,2,2005,,11.61,9.41,3.94,2.79,0.62,0.00,1.44,0.39,0.12,2.14,0.19,0.50
CUY,2,2006,,2.11,3.00,6.98,6.34,0.76,0.00,1.26,0.08,0.00,0.17,0.57,2.53
CUY,2,2007,,1.62,6.01,2.07,0.97,m,0.00,0.00,0.42,0.10,0.30,0.19,5.70
CUY,2,2008,,14.32,5.14,0.10,0.10,1.20,0.00,0.00,0.44,0.00,0.18,3.31,9.23
CUY,2,2009,,0.34,5.68,0.72,0.58,0.00,0.04,0.00,0.00,m,0.23,1.26,9.72
CUY,2,2010,,10.06,8.84,2.83,5.77,0.00,0.00,0.10,0.00,0.04,5.20,4.97,13.66
CUY,2,2011,,2.61,8.46,4.81,0.84,1.97,0.11,1.32,0.00,m,1.92,5.86,1.83
CUY,2,2012,,2.14,2.21,3.96,4.60,0.00,0.00,1.15,0.17,0.45,1.02,1.48,5.90
CUY,2,2013,,2.12,1.05,1.72,0.15,m,0.00,0.57,2.27,1.38,3.96,1.98,1.71
CUY,2,2014,,0.47,1.06,4.11,m,0.00,0.00,0.25,0.45,0.24,m,m,m
CUY,2,,
'End of Data
