'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CHERRY VALLEY DAM (CVD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:10
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CVD,2,1990,,5.68,4.14,2.58,2.08,3.16,0.57,0.00,0.00,0.63,0.22,1.88,1.86
CVD,2,1991,,0.55,2.07,22.52,1.53,1.56,0.72,0.04,0.02,0.05,6.24,1.88,3.35
CVD,2,1992,,2.33,10.03,4.18,0.00,0.67,2.08,2.30,0.06,0.00,4.99,0.25,13.75
CVD,2,1993,,18.37,9.67,6.99,2.48,1.17,3.72,0.00,0.00,0.00,2.24,1.39,3.26
CVD,2,1994,,2.51,8.52,1.47,3.97,1.83,0.00,0.00,0.00,2.56,2.56,10.00,2.53
CVD,2,1995,,22.62,1.33,20.20,8.67,4.61,1.30,0.02,0.00,0.00,0.00,0.15,11.28
CVD,2,1996,,14.47,14.41,7.60,4.04,5.43,0.77,0.00,0.03,0.07,2.76,11.36,25.14
CVD,2,1997,,25.58,0.62,0.35,1.06,0.78,1.56,0.11,0.00,0.39,0.97,5.84,4.79
CVD,2,1998,,16.51,18.40,8.15,4.74,5.84,2.64,0.00,0.00,2.81,3.36,6.91,2.66
CVD,2,1999,,13.88,13.65,3.57,3.57,0.95,1.05,0.00,0.02,0.60,1.20,4.00,0.08
CVD,2,2000,,18.15,16.39,2.33,3.31,2.99,0.76,0.00,0.02,1.32,4.37,1.85,1.91
CVD,2,2001,,5.61,7.83,3.21,7.19,0.03,0.02,0.34,0.00,0.52,2.07,8.96,12.28
CVD,2,2002,,4.13,3.28,6.46,2.17,2.26,0.15,0.00,0.00,0.14,0.00,9.70,13.87
CVD,2,2003,,1.34,2.48,3.98,10.29,3.11,0.00,0.16,1.34,0.00,0.00,4.67,13.90
CVD,2,2004,,4.47,9.68,1.72,0.52,0.82,0.00,0.00,0.00,0.12,12.98,1.70,9.71
CVD,2,2005,,14.77,7.09,11.48,3.00,6.56,0.83,0.00,0.18,0.95,1.84,2.79,22.78
CVD,2,2006,,11.06,3.55,12.76,9.80,1.50,0.13,0.37,0.00,0.01,1.40,2.44,5.46
CVD,2,2007,,1.70,11.09,1.30,2.91,1.48,0.02,0.11,0.04,0.93,1.34,0.62,6.11
CVD,2,2008,,11.14,9.50,0.64,0.31,1.43,0.03,0.04,0.00,m,2.01,4.75,7.94
CVD,2,2009,,7.10,11.38,7.59,2.24,4.66,1.01,0.00,0.39,0.08,6.11,0.96,9.51
CVD,2,2010,,9.12,7.39,5.68,7.92,3.15,0.01,0.00,0.00,0.01,10.01,9.34,21.05
CVD,2,2011,,3.54,8.78,17.77,2.14,4.34,3.60,0.00,0.00,0.70,3.12,1.77,0.00
CVD,2,2012,,9.54,2.68,7.22,6.06,0.24,0.95,0.06,0.20,0.15,1.47,7.76,19.06
CVD,2,2013,,1.03,0.63,m,1.32,m,0.89,0.00,0.00,0.48,0.75,1.14,1.60
CVD,2,2014,,2.14,8.66,5.29,4.19,0.88,0.23,2.00,0.09,0.97,m,m,m
CVD,2,,
'End of Data
