'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station CALAVERAS BIG TREES (CVT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:10
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
CVT,2,1990,,6.14,5.60,4.41,2.37,5.70,0.00,0.19,0.20,0.31,0.70,1.91,1.59
CVT,2,1991,,0.65,2.45,19.25,2.02,2.97,1.58,0.00,0.05,0.46,6.09,2.63,2.90
CVT,2,1992,,2.11,10.76,6.30,0.66,0.17,1.68,2.47,0.03,0.06,5.70,0.64,18.46
CVT,2,1993,,20.96,13.30,7.59,2.54,1.88,3.51,0.00,0.00,0.00,2.20,2.92,3.34
CVT,2,1994,,4.04,10.70,0.87,5.36,1.81,0.00,0.00,0.00,0.71,1.98,11.37,6.25
CVT,2,1995,,25.07,1.70,25.31,10.01,8.45,1.99,0.01,0.00,0.00,0.00,0.43,11.89
CVT,2,1996,,15.24,15.37,6.97,5.28,4.94,1.18,0.00,0.01,0.30,2.93,8.05,23.56
CVT,2,1997,,28.09,1.13,0.55,1.27,0.80,2.21,0.25,0.01,0.27,2.31,7.56,5.42
CVT,2,1998,,18.99,22.14,7.60,6.97,7.22,1.16,0.00,0.00,2.10,0.64,7.01,5.49
CVT,2,1999,,13.65,17.35,5.25,4.86,1.73,0.98,0.00,0.09,0.06,1.90,4.24,0.98
CVT,2,2000,,20.90,19.44,3.74,3.31,5.02,0.85,0.00,0.02,1.94,5.12,1.95,2.06
CVT,2,2001,,7.23,9.53,3.86,7.47,0.00,0.15,0.10,0.00,0.72,1.37,9.65,13.02
CVT,2,2002,,3.60,4.43,8.71,2.76,2.78,0.00,0.00,0.00,0.00,0.00,6.96,14.72
CVT,2,2003,,1.71,4.34,4.45,13.45,2.95,0.00,0.50,1.32,0.00,0.04,4.46,14.98
CVT,2,2004,,3.41,10.57,1.80,0.87,0.90,0.00,0.08,0.00,0.20,9.22,3.20,12.42
CVT,2,2005,,14.53,7.52,11.48,3.51,5.89,1.54,0.01,0.00,1.66,1.65,4.17,21.67
CVT,2,2006,,11.36,6.38,15.82,14.61,2.55,0.00,0.09,0.00,0.03,1.71,4.77,6.86
CVT,2,2007,,2.20,14.11,2.83,3.67,1.97,0.34,0.00,0.16,0.22,2.20,1.42,7.30
CVT,2,2008,,12.75,8.38,1.33,0.77,1.57,0.00,0.00,0.00,0.00,1.69,5.20,9.46
CVT,2,2009,,6.12,11.24,10.11,3.30,4.07,0.23,0.01,0.04,0.06,6.69,1.28,8.53
CVT,2,2010,,9.68,8.44,5.98,8.48,5.44,0.00,0.00,0.01,0.01,10.93,11.05,19.20
CVT,2,2011,,3.41,8.83,18.63,2.07,4.71,3.79,0.00,0.00,0.28,3.88,1.68,0.02
CVT,2,2012,,8.65,3.16,10.65,5.11,0.30,1.35,0.00,0.02,0.27,2.31,12.80,14.23
CVT,2,2013,,0.98,1.09,3.88,1.09,1.08,0.90,0.00,0.00,0.70,0.10,1.39,1.51
CVT,2,2014,,0.97,11.40,5.76,1.05,0.38,0.01,0.34,0.03,1.90,m,m,m
CVT,2,,
'End of Data
