'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DONNER MEM ST PARK (DMS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:10
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DMS,2,1990,,7.43,5.81,1.83,1.85,2.64,2.64,0.42,0.82,1.51,0.09,1.30,1.75
DMS,2,1991,,0.16,1.53,14.09,3.89,2.72,0.68,0.48,1.28,0.57,3.70,3.05,1.90
DMS,2,1992,,1.03,6.26,1.89,0.48,0.44,1.26,0.40,0.12,0.30,3.80,0.43,13.06
DMS,2,1993,,10.61,10.81,3.79,2.41,1.56,1.89,0.02,0.06,0.02,1.89,1.96,2.42
DMS,2,1994,,1.32,7.17,1.39,0.72,1.08,0.00,0.00,0.00,0.59,0.39,7.19,4.11
DMS,2,1995,,12.39,1.54,20.89,6.69,4.73,1.04,0.28,0.05,0.00,0.00,0.95,8.86
DMS,2,1996,,10.06,11.13,5.45,3.46,4.91,0.50,0.38,0.79,1.59,2.08,5.69,20.20
DMS,2,1997,,19.79,1.12,0.96,1.25,0.67,2.45,0.25,0.06,0.42,1.45,3.47,3.67
DMS,2,1998,,11.34,11.83,5.59,2.78,2.88,1.90,0.38,1.31,4.30,1.13,6.44,3.68
DMS,2,1999,,10.24,15.20,4.71,3.96,1.69,0.62,0.00,1.18,0.36,2.46,2.44,1.48
DMS,2,2000,,11.85,12.43,1.35,2.16,2.48,0.34,0.00,0.03,0.97,3.20,1.48,1.49
DMS,2,2001,,2.54,4.82,2.76,3.36,0.16,0.00,0.00,0.00,0.45,0.88,7.86,9.87
DMS,2,2002,,4.12,2.37,5.58,1.99,0.52,0.05,0.17,0.00,0.00,0.00,7.30,12.38
DMS,2,2003,,2.19,1.87,3.70,7.94,1.62,0.25,0.51,1.26,0.10,0.01,1.66,11.73
DMS,2,2004,,3.64,7.59,1.11,0.41,0.00,0.00,0.00,0.00,0.17,3.70,2.55,7.86
DMS,2,2005,,7.70,1.74,6.97,2.29,5.56,1.54,0.00,0.00,0.35,1.60,3.46,24.99
DMS,2,2006,,7.26,2.67,10.81,5.74,0.92,0.78,0.00,0.24,0.00,0.41,4.21,1.47
DMS,2,2007,,1.55,10.95,2.50,2.02,0.93,0.30,0.00,0.18,1.05,1.92,0.90,4.42
DMS,2,2008,,11.03,6.39,2.05,0.17,1.14,0.00,0.00,m,0.03,1.25,4.03,6.50
DMS,2,2009,,2.13,6.44,7.23,0.17,5.67,0.98,0.20,0.25,0.02,4.10,1.63,7.60
DMS,2,2010,,7.39,3.77,5.83,5.58,m,m,m,m,m,m,5.52,13.68
DMS,2,2011,,5.38,5.56,14.95,3.27,3.02,2.78,0.18,0.00,1.65,2.27,1.77,0.13
DMS,2,2012,,5.86,2.19,14.03,3.15,0.37,0.90,0.24,0.61,0.14,2.62,3.09,10.88
DMS,2,2013,,1.41,0.30,2.81,0.23,1.25,1.00,0.00,0.00,0.35,0.90,0.10,1.75
DMS,2,2014,,2.20,8.41,5.30,1.42,0.54,m,m,m,m,m,m,m
DMS,2,,
'End of Data
