'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DUNSMUIR TREATMENT PLANT (DNM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:11
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DNM,2,1990,,11.97,3.13,3.60,0.93,12.99,0.07,0.14,0.73,0.48,1.17,1.25,1.60
DNM,2,1991,,2.00,5.91,17.98,1.78,1.43,1.48,0.30,0.14,0.00,1.41,3.14,5.20
DNM,2,1992,,5.67,18.62,9.09,4.00,0.00,3.02,0.06,0.00,0.00,4.43,1.32,16.96
DNM,2,1993,,16.32,10.23,11.41,4.99,5.52,1.94,0.00,0.75,0.02,2.07,2.51,11.29
DNM,2,1994,,7.99,7.23,0.94,2.86,2.78,0.13,0.00,0.00,0.58,0.22,7.92,5.77
DNM,2,1995,,39.20,2.45,25.73,8.80,2.48,3.39,0.51,0.00,0.03,0.03,0.86,18.36
DNM,2,1996,,12.01,16.80,5.21,6.35,8.18,0.38,0.15,0.12,1.26,2.67,10.95,38.29
DNM,2,1997,,9.06,0.93,2.95,3.71,0.74,2.92,0.61,1.91,1.57,2.73,13.70,4.55
DNM,2,1998,,23.82,27.48,9.33,6.01,8.77,2.38,0.65,0.00,1.09,1.79,18.87,3.34
DNM,2,1999,,8.71,17.85,6.84,3.78,0.88,0.22,0.00,0.23,0.00,2.74,10.57,1.69
DNM,2,2000,,22.14,22.89,4.04,6.87,1.54,0.74,0.00,0.31,1.39,4.42,1.66,4.08
DNM,2,2001,,5.97,12.53,6.37,2.53,0.49,3.05,0.06,0.03,2.07,3.49,15.30,16.15
DNM,2,2002,,7.76,6.56,5.20,2.17,2.08,0.17,0.01,0.02,0.13,0.00,6.36,34.04
DNM,2,2003,,8.94,2.81,7.95,12.81,0.85,0.02,0.48,1.08,0.14,0.00,9.87,17.75
DNM,2,2004,,6.48,21.68,2.35,2.96,1.06,0.24,0.00,0.05,0.02,8.14,1.34,16.47
DNM,2,2005,,7.72,6.08,9.61,4.96,7.60,4.55,0.00,0.00,0.23,2.41,11.48,25.72
DNM,2,2006,,15.60,2.27,18.71,10.44,2.96,0.80,0.00,0.00,0.00,0.14,8.74,13.18
DNM,2,2007,,1.53,13.87,1.66,2.13,1.06,0.46,0.78,0.05,0.65,5.91,0.97,11.31
DNM,2,2008,,16.28,6.11,0.87,0.85,1.34,0.00,0.00,0.29,0.00,4.03,6.74,5.53
DNM,2,2009,,1.05,15.50,12.32,1.61,6.75,1.50,0.00,0.24,0.14,6.22,3.86,8.92
DNM,2,2010,,22.06,12.24,7.41,9.33,3.59,1.66,0.00,0.05,0.87,8.02,5.92,19.14
DNM,2,2011,,2.03,8.03,22.13,2.86,2.93,2.43,0.24,0.00,0.13,2.71,5.65,1.71
DNM,2,2012,,8.87,3.88,18.11,7.70,1.00,2.02,0.00,0.00,0.00,2.00,16.01,17.60
DNM,2,2013,,1.91,0.48,5.07,1.44,1.07,2.57,0.03,0.02,4.31,0.07,1.37,0.32
DNM,2,2014,,0.61,12.23,11.27,2.66,0.41,0.00,m,m,m,m,m,m
DNM,2,,
'End of Data
