'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DEER CK FOREBAY (PG&E) (DRC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:11
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DRC,2,1999,,m,m,m,m,m,m,m,m,m,3.27,6.98,1.40
DRC,2,2000,,18.58,23.49,4.65,2.62,3.81,0.73,0.00,0.00,1.96,7.56,2.24,4.50
DRC,2,2001,,7.17,10.32,5.15,4.08,0.04,0.17,0.00,0.00,0.77,1.73,12.40,19.18
DRC,2,2002,,6.18,5.05,10.13,2.29,1.95,0.00,0.00,0.00,0.00,0.00,10.35,24.73
DRC,2,2003,,5.19,3.41,6.11,12.72,3.65,0.00,0.02,1.31,0.00,0.53,4.65,9.96
DRC,2,2004,,6.79,15.00,2.13,1.89,0.94,0.00,0.00,0.00,0.00,8.76,4.64,14.49
DRC,2,2005,,12.29,6.73,16.61,4.81,13.05,4.47,0.00,0.00,0.98,2.08,7.11,40.13
DRC,2,2006,,12.46,10.72,23.07,19.84,m,0.00,0.00,0.00,0.00,0.00,7.25,5.74
DRC,2,2007,,0.02,14.93,1.64,4.41,1.56,0.67,0.00,0.04,1.64,5.10,2.07,12.47
DRC,2,2008,,14.08,9.36,2.43,0.84,1.16,0.00,0.00,0.00,0.00,2.47,7.72,7.23
DRC,2,2009,,3.35,16.71,7.90,2.16,7.78,0.44,0.00,0.00,0.05,4.88,2.83,11.07
DRC,2,2010,,9.79,8.91,9.31,12.29,6.20,0.39,0.00,0.12,0.03,11.15,10.94,25.09
DRC,2,2011,,3.10,12.24,25.97,4.60,5.35,3.76,0.00,0.00,0.01,5.64,3.97,0.37
DRC,2,2012,,10.21,6.10,24.20,9.30,1.22,m,0.07,0.02,m,5.12,19.61,19.31
DRC,2,2013,,1.10,1.44,6.03,2.00,1.57,3.36,0.00,0.00,2.29,0.83,1.86,2.07
DRC,2,2014,,2.40,20.30,11.57,3.63,1.45,m,0.13,0.39,0.98,m,m,m
DRC,2,,
'End of Data
