'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DE SABLA (PG&E) (DSB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:11
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DSB,2,1990,,12.34,6.28,3.92,1.63,8.78,0.06,0.12,0.72,0.31,2.67,1.20,1.99
DSB,2,1991,,1.56,4.24,27.10,2.12,2.32,0.89,0.00,0.00,0.03,3.81,1.84,6.84
DSB,2,1992,,5.28,19.02,7.73,3.75,0.61,2.72,0.00,0.06,0.00,5.44,1.06,17.20
DSB,2,1993,,21.87,15.26,7.29,4.20,4.10,3.23,0.00,0.93,0.00,2.68,4.35,9.66
DSB,2,1994,,5.39,12.56,1.46,5.70,2.58,0.29,0.00,0.00,m,0.64,11.00,13.00
DSB,2,1995,,39.56,1.64,26.74,12.36,5.61,3.56,0.00,0.00,0.00,0.00,0.33,18.16
DSB,2,1996,,12.52,16.37,5.83,6.95,7.31,1.07,0.00,0.00,0.00,3.58,7.13,31.59
DSB,2,1997,,24.70,1.25,2.37,3.30,0.86,1.38,0.19,1.26,0.50,4.72,13.62,5.47
DSB,2,1998,,22.33,26.95,7.30,6.04,11.52,2.31,0.00,0.00,0.84,2.14,14.80,4.10
DSB,2,1999,,6.81,17.49,6.18,4.04,0.19,0.21,0.00,0.18,0.00,3.00,8.31,2.04
DSB,2,2000,,13.90,28.07,6.65,4.29,2.38,0.68,0.00,0.00,1.22,7.09,2.36,3.66
DSB,2,2001,,9.21,15.33,5.18,4.91,0.06,0.43,0.12,0.00,0.68,2.73,13.84,19.73
DSB,2,2002,,8.24,4.14,6.34,2.51,1.29,0.00,0.07,0.00,0.00,0.00,5.21,36.49
DSB,2,2003,,9.43,5.52,8.02,14.75,3.55,0.00,0.00,0.37,0.01,0.24,6.44,22.33
DSB,2,2004,,8.00,19.53,2.44,1.97,1.20,0.12,0.00,0.00,0.18,11.81,2.75,14.00
DSB,2,2005,,10.26,5.13,9.98,5.01,9.87,2.97,0.00,0.00,0.15,2.74,7.86,32.19
DSB,2,2006,,12.57,10.45,20.55,15.42,2.13,0.75,0.00,0.00,0.00,0.18,6.34,12.79
DSB,2,2007,,0.34,16.17,1.01,4.57,1.12,0.38,0.62,0.00,1.50,4.49,1.59,9.64
DSB,2,2008,,16.64,8.35,1.24,0.91,0.38,0.06,0.00,0.00,0.00,4.49,5.37,8.18
DSB,2,2009,,4.68,22.84,7.47,0.94,5.98,0.76,0.00,0.00,0.96,5.97,2.87,9.63
DSB,2,2010,,22.48,9.62,4.89,11.83,3.50,0.00,0.00,0.04,0.20,8.52,8.69,19.14
DSB,2,2011,,2.63,12.72,21.25,2.06,8.00,3.30,0.00,0.00,0.09,4.81,2.96,0.44
DSB,2,2012,,9.22,3.80,18.59,6.76,0.13,0.96,m,m,m,2.29,15.17,21.90
DSB,2,2013,,1.66,1.31,5.45,1.04,0.94,2.28,0.00,0.14,2.09,0.64,2.96,0.73
DSB,2,2014,,1.28,14.14,14.61,2.35,0.42,0.00,0.07,1.08,0.19,m,m,m
DSB,2,,
'End of Data
