'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DEATH VALLEY (DTV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:12
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DTV,2,1990,,0.37,0.10,0.05,0.00,0.01,0.04,0.15,0.00,0.56,0.00,0.00,0.20
DTV,2,1991,,0.00,0.51,1.00,0.00,0.06,0.00,0.19,0.00,0.02,0.00,0.00,0.25
DTV,2,1992,,0.53,1.03,0.75,0.00,0.01,0.00,0.02,0.00,0.00,0.15,0.00,0.87
DTV,2,1993,,0.67,1.35,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06
DTV,2,1994,,0.04,0.05,0.14,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03
DTV,2,1995,,2.59,0.17,0.31,0.00,0.07,0.02,0.00,0.00,0.00,0.02,0.00,0.07
DTV,2,1996,,0.00,0.33,0.15,0.00,0.12,0.00,0.00,0.00,0.00,0.42,0.18,0.11
DTV,2,1997,,0.00,0.01,0.00,0.00,0.00,0.00,0.29,0.00,1.48,0.00,0.11,0.52
DTV,2,1998,,0.09,2.31,0.74,0.17,0.16,0.22,0.02,0.04,0.42,0.06,0.00,0.00
DTV,2,1999,,0.14,0.00,0.00,0.46,0.07,0.00,0.42,0.00,0.00,0.00,0.00,0.00
DTV,2,2000,,0.00,0.43,0.29,0.00,0.00,0.00,0.00,0.24,0.00,0.02,0.00,0.00
DTV,2,2001,,1.03,1.33,0.05,0.02,0.01,0.00,0.25,0.00,0.00,0.00,0.01,0.00
DTV,2,2002,,0.00,0.00,0.20,0.00,0.00,0.00,0.06,0.00,0.00,0.05,0.02,0.15
DTV,2,2003,,0.00,1.16,0.05,0.63,0.01,0.00,0.05,0.15,0.00,0.00,0.67,0.24
DTV,2,2004,,0.00,0.85,0.04,0.00,1.56,0.00,0.00,0.33,0.53,0.14,0.78,1.31
DTV,2,2005,,1.84,1.26,0.20,0.05,0.00,0.00,0.00,0.39,0.75,0.12,0.01,0.00
DTV,2,2006,,0.06,0.04,0.24,0.24,0.01,0.00,0.11,0.00,0.52,0.20,0.00,0.06
DTV,2,2007,,0.02,0.04,0.08,0.07,0.63,0.00,0.00,0.00,0.63,0.00,0.00,0.55
DTV,2,2008,,0.06,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.15,0.61,0.04
DTV,2,2009,,0.03,1.36,0.00,0.00,0.00,0.57,0.02,0.02,0.00,0.00,0.03,0.04
DTV,2,2010,,1.56,1.53,0.02,0.09,0.00,0.00,0.01,0.00,0.00,0.13,0.02,0.47
DTV,2,2011,,0.08,0.14,0.10,0.00,0.07,0.00,0.27,0.53,0.09,0.00,0.01,0.03
DTV,2,2012,,0.02,0.01,0.00,0.23,0.00,0.00,0.00,0.74,0.00,0.59,0.00,0.02
DTV,2,2013,,0.17,0.00,0.57,0.00,0.00,0.00,0.75,0.07,0.23,0.00,0.38,0.00
DTV,2,2014,,0.00,0.00,0.36,0.11,0.02,0.00,0.05,0.15,0.76,m,m,m
DTV,2,,
'End of Data
