'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DAVIS 2WSW (DVS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:12
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DVS,2,1990,,4.12,3.70,0.76,0.31,1.85,0.00,0.00,0.00,0.02,0.14,0.27,1.34
DVS,2,1991,,0.32,2.84,8.00,0.79,0.12,0.28,0.00,0.00,0.01,0.52,0.21,2.13
DVS,2,1992,,1.58,8.55,3.63,0.55,0.00,0.20,0.00,0.00,0.00,1.72,0.15,6.16
DVS,2,1993,,10.78,6.04,1.90,0.63,0.73,1.53,0.00,0.00,0.00,0.37,2.10,1.71
DVS,2,1994,,2.28,3.32,0.08,0.75,1.25,0.00,0.00,0.00,0.04,0.61,4.03,2.79
DVS,2,1995,,12.48,0.22,8.13,0.73,1.48,0.71,0.00,0.00,0.00,0.00,0.02,6.64
DVS,2,1996,,4.42,7.06,2.16,1.78,2.42,0.00,0.00,0.00,0.00,1.31,1.43,6.73
DVS,2,1997,,8.66,0.27,0.52,0.07,0.32,0.21,0.00,0.16,0.05,0.48,4.89,2.23
DVS,2,1998,,4.80,11.38,1.69,1.48,2.47,0.06,0.00,0.00,0.50,0.67,2.01,1.06
DVS,2,1999,,3.56,4.03,1.73,1.21,0.07,0.02,0.00,0.00,0.00,0.20,1.42,0.09
DVS,2,2000,,4.76,7.46,1.62,1.31,0.77,0.15,0.00,0.00,0.19,2.21,0.70,0.34
DVS,2,2001,,2.82,5.14,2.39,0.89,0.00,0.12,0.00,0.00,0.26,0.38,2.88,6.71
DVS,2,2002,,2.39,0.56,1.64,0.06,0.65,0.00,0.00,0.00,0.00,0.00,2.82,8.50
DVS,2,2003,,1.94,1.37,2.95,2.66,0.84,0.00,0.06,0.84,0.00,0.00,1.42,5.34
DVS,2,2004,,2.37,6.58,0.47,0.15,0.04,0.00,0.00,0.00,0.01,2.53,2.85,3.98
DVS,2,2005,,3.14,3.39,2.53,0.77,0.08,0.61,0.00,0.00,0.00,0.08,1.42,9.76
DVS,2,2006,,2.59,2.13,m,m,m,m,m,m,m,0.02,2.14,2.39
DVS,2,2007,,0.00,3.34,0.16,1.72,0.36,0.00,0.00,0.00,0.20,1.35,0.83,2.84
DVS,2,2008,,8.16,2.59,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.38,2.26,1.86
DVS,2,2009,,1.46,6.23,1.62,0.64,0.73,0.49,0.00,0.00,m,4.09,0.31,2.25
DVS,2,2010,,6.61,2.87,1.11,m,0.60,m,m,m,m,0.91,2.11,5.49
DVS,2,2011,,1.89,3.47,6.35,m,0.96,1.73,0.00,0.00,0.01,1.18,1.22,0.40
DVS,2,2012,,3.05,0.87,4.06,2.01,0.00,0.04,0.00,0.00,0.00,0.66,3.55,7.33
DVS,2,2013,,0.85,0.18,0.90,0.79,0.62,0.14,0.00,0.00,0.67,0.00,0.68,0.39
DVS,2,2014,,0.16,4.24,1.56,2.29,m,m,0.00,m,m,m,m,m
DVS,2,,
'End of Data
