'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DOWNIEVILLE (DWV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:13
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DWV,2,1990,,10.19,6.44,3.35,2.11,8.24,0.27,0.15,0.24,1.52,1.25,1.63,1.79
DWV,2,1991,,0.91,4.10,26.51,2.61,3.81,2.19,0.72,0.68,0.00,4.23,3.63,5.00
DWV,2,1992,,2.95,13.84,5.14,3.21,0.05,2.46,0.08,0.00,0.00,7.24,1.17,16.08
DWV,2,1993,,21.11,12.34,9.13,5.01,4.68,2.74,0.01,0.64,0.10,3.36,4.63,8.46
DWV,2,1994,,3.36,10.86,1.29,3.52,2.62,0.08,0.00,0.00,1.10,0.56,12.43,11.92
DWV,2,1995,,32.84,2.16,27.79,9.50,7.72,3.20,0.00,0.00,0.00,0.00,1.27,16.72
DWV,2,1996,,17.08,16.78,6.72,9.71,9.73,0.39,0.21,0.00,1.44,2.25,6.79,35.25
DWV,2,1997,,24.62,1.33,3.50,1.64,0.95,1.88,0.00,0.63,0.72,4.12,9.20,5.24
DWV,2,1998,,19.39,22.64,7.59,6.33,9.37,1.09,0.00,0.00,1.83,1.83,16.40,4.06
DWV,2,1999,,12.38,18.00,4.74,3.49,1.51,0.35,0.00,0.18,0.14,3.03,7.04,2.09
DWV,2,2000,,17.61,22.93,4.00,3.06,3.27,0.51,0.00,0.00,1.25,5.17,2.83,3.78
DWV,2,2001,,5.48,8.66,4.83,4.89,0.28,0.37,0.00,0.00,0.82,2.17,10.70,16.33
DWV,2,2002,,6.32,3.98,7.89,2.51,2.24,0.00,0.00,0.00,0.00,0.00,9.36,24.87
DWV,2,2003,,6.98,3.51,7.06,12.76,3.49,0.00,0.00,1.52,0.00,0.66,4.09,19.27
DWV,2,2004,,7.19,14.63,2.85,2.31,1.17,0.14,0.00,0.00,0.55,7.69,2.89,11.10
DWV,2,2005,,11.04,4.33,12.11,4.55,9.89,2.18,0.00,0.00,0.45,2.19,8.76,29.71
DWV,2,2006,,11.51,10.15,11.42,16.49,2.86,0.34,0.00,0.00,0.00,0.89,8.32,9.32
DWV,2,2007,,1.74,16.23,2.32,4.45,1.94,1.23,0.00,0.04,1.08,3.95,1.56,8.12
DWV,2,2008,,17.37,7.74,2.54,0.67,1.56,0.00,0.00,0.00,0.01,4.54,6.27,7.39
DWV,2,2009,,3.84,15.08,10.33,1.86,6.72,0.55,0.01,0.38,0.03,5.90,3.00,8.12
DWV,2,2010,,13.74,6.92,8.91,9.47,5.14,0.10,0.00,0.10,0.04,8.51,10.60,21.46
DWV,2,2011,,2.67,10.20,22.69,5.49,5.21,3.78,0.00,0.00,0.39,4.94,3.47,0.30
DWV,2,2012,,8.41,4.19,20.18,8.51,0.41,1.63,0.09,0.05,0.00,5.22,17.70,17.93
DWV,2,2013,,1.93,1.47,4.44,1.54,1.48,1.72,0.00,0.03,3.72,0.86,1.61,1.62
DWV,2,2014,,1.86,13.90,12.25,2.50,1.90,0.00,0.06,0.95,1.35,m,m,m
DWV,2,,
'End of Data
