'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station DOYLE (DYL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:13
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
DYL,2,1990,,0.68,0.75,0.38,0.81,0.75,0.06,1.73,0.08,0.51,0.10,0.38,0.63
DYL,2,1991,,0.01,0.15,4.08,0.22,0.44,0.50,0.62,0.21,0.55,0.44,0.75,0.25
DYL,2,1992,,0.09,0.42,0.45,0.00,1.24,0.85,0.26,0.51,0.08,1.48,0.03,3.21
DYL,2,1993,,4.95,2.56,0.44,0.51,0.71,0.88,0.38,0.00,0.07,0.78,0.76,1.29
DYL,2,1994,,0.04,1.14,1.11,0.26,1.37,0.01,0.00,0.00,0.78,0.31,3.07,0.85
DYL,2,1995,,6.72,0.76,6.54,2.66,2.67,1.52,1.72,0.00,0.00,0.00,0.43,3.88
DYL,2,1996,,4.55,4.62,2.55,1.05,1.04,0.53,0.39,0.18,0.30,2.28,1.18,6.69
DYL,2,1997,,5.78,0.29,0.23,0.91,0.33,1.45,0.38,0.00,0.25,0.63,0.68,0.70
DYL,2,1998,,1.26,2.19,1.32,0.63,1.71,2.89,0.37,0.57,2.60,0.65,2.49,1.43
DYL,2,1999,,2.94,3.07,0.71,0.38,0.00,0.42,0.00,0.43,0.00,1.35,0.32,0.06
DYL,2,2000,,3.77,2.12,0.67,0.81,0.76,0.16,0.00,0.14,0.09,0.50,0.88,0.17
DYL,2,2001,,0.37,0.33,0.56,0.38,0.00,0.00,0.00,0.00,0.33,0.25,1.47,2.54
DYL,2,2002,,0.58,0.47,0.56,1.11,0.05,0.58,0.04,0.00,0.00,0.20,2.14,3.89
DYL,2,2003,,0.82,0.48,0.90,0.67,0.14,0.00,0.00,1.85,0.13,0.10,0.24,2.97
DYL,2,2004,,0.70,2.02,0.54,0.01,0.43,0.76,0.75,0.42,0.03,1.50,1.97,1.84
DYL,2,2005,,1.13,0.15,1.12,0.36,0.47,0.46,0.00,0.00,0.61,0.10,0.13,m
DYL,2,2006,,2.94,2.89,1.82,2.27,0.43,0.10,0.11,0.00,0.00,0.41,0.75,0.57
DYL,2,2007,,0.55,2.31,0.37,0.36,0.03,0.56,0.02,m,m,0.91,0.24,0.41
DYL,2,2008,,2.71,0.80,0.39,0.20,0.78,0.00,0.11,0.00,0.00,0.10,1.31,0.92
DYL,2,2009,,0.43,0.20,1.80,0.50,0.07,0.97,0.88,0.00,0.00,1.51,0.40,1.96
DYL,2,2010,,1.91,1.08,0.90,1.61,0.57,0.00,0.00,0.38,0.00,3.67,1.10,3.27
DYL,2,2011,,0.12,2.08,2.55,0.37,0.64,2.22,0.00,0.00,0.19,0.97,0.27,0.00
DYL,2,2012,,2.29,0.45,1.46,0.32,0.00,0.00,m,m,m,m,m,m
DYL,2,2013,,m,m,m,m,m,m,m,m,0.26,0.74,0.32,0.12
DYL,2,2014,,0.58,1.88,1.38,0.18,m,0.00,0.14,1.38,m,m,m,m
DYL,2,,
'End of Data
