'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station EAGLE CREEK (EGL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:14
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
EGL,2,1990,,5.00,5.00,3.90,1.60,3.40,0.50,0.00,0.00,0.00,0.00,1.60,1.70
EGL,2,1991,,1.90,2.20,19.10,1.10,0.90,0.10,0.00,0.00,0.10,0.00,1.90,1.90
EGL,2,1992,,2.80,7.50,3.00,0.30,0.10,0.00,0.90,0.00,0.00,4.60,0.10,8.50
EGL,2,1993,,13.40,9.00,5.10,1.00,0.10,3.20,0.00,0.00,0.00,0.70,4.60,3.30
EGL,2,1994,,1.80,9.30,3.20,4.10,1.80,0.00,0.00,0.00,0.30,2.00,5.30,1.50
EGL,2,1995,,16.00,2.00,15.00,4.30,5.30,0.80,0.00,0.00,0.00,0.00,0.20,6.00
EGL,2,1996,,9.80,14.60,5.10,3.40,0.40,0.00,0.00,0.60,0.10,2.50,12.61,16.00
EGL,2,1997,,20.00,1.90,0.40,0.00,0.00,0.00,0.00,0.30,0.80,2.10,6.80,8.60
EGL,2,1998,,9.00,14.70,12.70,8.30,5.00,0.10,0.00,0.00,1.50,0.80,3.40,3.00
EGL,2,1999,,7.60,4.00,2.70,4.70,0.20,0.20,0.12,0.10,0.00,0.00,1.90,0.40
EGL,2,2000,,8.80,14.10,3.10,2.50,1.70,0.50,0.00,0.00,0.30,4.20,0.70,0.20
EGL,2,2001,,6.50,7.80,1.00,6.70,0.00,0.00,0.50,0.00,0.00,0.00,8.60,10.30
EGL,2,2002,,4.60,0.10,6.96,0.90,1.70,0.00,0.00,0.00,0.00,0.00,14.90,6.20
EGL,2,2003,,0.90,5.10,5.00,6.30,4.10,0.00,0.00,0.00,0.00,0.00,2.70,9.70
EGL,2,2004,,3.41,8.51,1.25,0.50,0.00,0.00,0.10,0.00,0.00,4.90,1.85,5.85
EGL,2,2005,,13.80,3.35,8.25,3.25,3.55,0.00,0.00,0.00,0.00,0.00,1.01,7.34
EGL,2,2006,,8.00,3.80,12.26,9.02,0.42,0.11,2.11,0.11,0.00,0.50,0.50,6.72
EGL,2,2007,,1.81,7.22,2.91,3.81,0.40,0.10,0.20,0.00,0.41,0.90,0.31,7.32
EGL,2,2008,,10.51,10.81,0.60,0.40,1.16,0.33,0.01,0.00,0.00,1.11,5.15,6.82
EGL,2,2009,,3.33,6.93,3.47,2.44,2.03,0.83,0.00,0.00,0.00,3.93,0.83,8.43
EGL,2,2010,,6.94,9.82,4.72,6.42,1.92,0.21,0.01,0.10,m,2.22,5.61,22.42
EGL,2,2011,,2.63,5.61,9.53,2.52,4.52,0.21,0.92,0.34,1.24,4.22,3.22,0.00
EGL,2,2012,,5.51,3.51,7.62,7.92,0.14,0.11,0.11,0.12,0.29,1.60,2.09,9.81
EGL,2,2013,,3.39,2.55,1.08,1.52,1.25,0.42,0.82,0.66,0.07,1.11,0.97,1.36
EGL,2,2014,,1.99,4.87,4.90,4.07,0.68,m,m,m,m,m,m,m
EGL,2,,
'End of Data
