'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station EL CAPITAN DAM (ELC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:14
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ELC,2,1990,,3.41,1.39,1.43,0.95,0.34,0.68,0.06,0.14,0.00,0.22,0.86,1.18
ELC,2,1991,,1.46,1.95,10.61,0.17,0.01,0.00,0.88,0.09,0.62,1.45,0.30,1.51
ELC,2,1992,,3.08,3.73,4.76,0.66,0.22,0.00,0.03,0.37,0.00,0.84,0.10,4.16
ELC,2,1993,,14.92,5.72,1.71,0.00,0.00,0.82,0.00,0.32,0.00,0.29,1.69,1.25
ELC,2,1994,,1.47,3.65,4.48,2.35,0.16,0.00,0.04,0.00,0.00,0.12,1.25,1.07
ELC,2,1995,,9.42,3.52,9.56,2.31,1.09,0.76,0.03,0.00,0.05,0.01,0.35,0.49
ELC,2,1996,,1.69,3.94,3.80,0.80,0.00,0.00,0.01,0.00,0.02,0.89,2.18,2.74
ELC,2,1997,,5.94,1.83,0.06,0.16,0.20,0.05,0.02,0.00,1.43,0.30,1.86,3.37
ELC,2,1998,,3.05,12.38,4.83,3.09,2.18,0.28,0.00,0.10,0.12,0.13,2.27,0.17
ELC,2,1999,,2.78,1.02,0.91,2.88,0.12,0.22,0.01,0.00,0.19,0.00,0.00,0.55
ELC,2,2000,,0.94,5.02,1.70,1.10,0.12,0.00,0.00,0.08,0.32,0.92,0.61,0.06
ELC,2,2001,,3.71,3.99,2.22,1.72,0.27,0.00,0.03,0.00,0.00,0.00,1.31,1.58
ELC,2,2002,,0.63,0.26,1.47,0.44,0.00,0.00,0.00,0.00,0.59,0.05,2.50,3.19
ELC,2,2003,,0.15,4.84,2.79,1.82,1.37,0.13,0.00,0.05,0.04,0.00,1.49,1.48
ELC,2,2004,,0.70,5.49,0.58,1.28,0.06,0.00,0.22,0.00,0.00,7.67,1.37,2.88
ELC,2,2005,,5.42,5.99,1.88,1.15,0.36,0.00,0.08,0.00,0.02,1.09,0.01,0.05
ELC,2,2006,,1.21,2.04,3.95,2.27,0.41,0.00,0.10,0.07,0.05,0.42,0.60,1.06
ELC,2,2007,,0.92,3.31,0.51,0.97,0.00,0.00,m,0.11,0.03,0.00,0.09,3.75
ELC,2,2008,,4.39,m,m,m,m,0.00,m,0.20,0.00,0.03,1.98,4.90
ELC,2,2009,,0.18,4.59,0.04,0.23,0.02,0.00,0.00,0.00,0.03,0.09,0.91,4.74
ELC,2,2010,,6.56,4.63,1.03,3.02,0.02,m,0.04,0.00,m,3.74,2.23,9.36
ELC,2,2011,,0.73,5.04,2.76,0.54,1.57,0.15,0.10,0.00,0.12,0.63,3.95,1.66
ELC,2,2012,,m,2.13,2.88,2.18,0.01,0.00,0.00,0.00,0.24,0.38,0.40,3.51
ELC,2,2013,,2.03,0.53,1.26,0.12,0.58,0.00,m,m,0.00,2.05,0.64,1.04
ELC,2,2014,,0.21,m,1.80,0.78,0.00,0.00,0.15,0.21,0.00,m,m,m
ELC,2,,
'End of Data
